"atletas.atleta_id","atletas.nome","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.clube.id.full.name","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP","home_score","away_score","goals_dif","casa"
36540,"Juan Silveira dos Santos","Juan  ( FLA )","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",1,"FLA","Flamengo","zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Casa"
36612,"José Roberto da Silva Júnior","Zé Roberto  ( PAL )","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",1,"PAL","Palmeiras","lat","Nulo",5.1,9.27,1.27,5.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,"Casa"
36943,"Paulo Autuori","Paulo Autuori  ( ATL )","https://s.glbimg.com/es/sde/f/2017/04/23/51bd7e83b21a81fb576ba2321746e749_FORMATO.png",1,"ATL",NA,"tec","Provável",1.64,8.23,-1.77,1.64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37245,"Augusto Sérgio Ferreira","Guto Ferreira  ( BAH )","https://s.glbimg.com/es/sde/f/2017/02/21/f52648766ac7a16d0625f73fbb3daa12_FORMATO.png",1,"BAH",NA,"tec","Provável",8.39,8.76,4.76,8.39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37246,"Ney Franco da Silveira Júnior","Ney Franco  ( SPO )","https://s.glbimg.com/es/sde/f/2017/05/01/e3a7ef289f52e2e872639c6ef7d42044_FORMATO.png",1,"SPO",NA,"tec","Provável",-0.77,2.28,-1.72,-0.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37281,"Luis Antônio Venker de Menezes","Mano Menezes  ( CRU )","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",1,"CRU","Cruzeiro","tec","Provável",5.4,12.31,0.31,5.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"Casa"
37306,"Gilson Kleina","Gilson Kleina  ( PON )","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",1,"PON","Ponte Preta","tec","Provável",9.75,9.72,5.72,9.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,"Casa"
37333,"Marcelo Ribeiro Cabo","Marcelo Cabo  ( ATL )","https://s.glbimg.com/es/sde/f/2017/04/28/b7b4b2976accc2021bc99f72565188c9_FORMATO.png",1,"ATL",NA,"tec","Provável",2.6,3.25,1.25,2.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37604,"Paulo André Cren Benini","Paulo André  ( ATL )","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",1,"ATL","Atlético-PR","zag","Provável",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,"Fora"
37607,"Michel Fernandes Bastos","Michel Bastos  ( PAL )","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",1,"PAL","Palmeiras","mei","Provável",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,"Casa"
