ID,PartidaID,ClubeID,AtletaID,Periodo,Momento,Tipo
121677889,180064,263,38523,1tr,3,FC
121677887,180064,263,37621,1tr,2,FR
121677886,180064,263,37621,1tr,2,RB
121677884,180064,263,38523,1tr,2,FC
121677882,180064,263,37789,1tr,1,PE
121677880,180064,263,73540,1tr,1,FR
121737581,180064,263,38523,1tr,25,ZG
121737585,180064,263,38523,1tr,14,CA
121737584,180064,263,68744,2tr,3,CA
121677930,180064,263,69232,1tr,21,FC
121677936,180064,263,37652,1tr,23,IM
121677935,180064,263,38523,1tr,23,ZD
121677939,180064,263,37652,1tr,24,FR
121677938,180064,263,69232,1tr,24,FR
121678059,180064,263,37678,2tr,38,PE
121678058,180064,263,38523,2tr,37,PE
121678051,180064,263,74065,2tr,33,FR
121678057,180064,263,68744,2tr,36,ZB
121678056,180064,263,37621,2tr,35,PE
121677891,180064,263,38523,1tr,3,PE
121677893,180064,263,37621,1tr,4,PE
121677896,180064,263,50362,1tr,7,FC
121677899,180064,263,78946,1tr,8,FR
121677958,180064,263,69232,1tr,33,RB
121677924,180064,263,38523,1tr,17,ZF
121677927,180064,263,78605,1tr,20,PE
121677920,180064,263,68744,1tr,16,PE
121677921,180064,263,78605,1tr,16,RB
121677922,180064,263,37652,1tr,16,FR
121677929,180064,263,50362,1tr,20,PE
121678048,180064,263,37678,2tr,33,FR
121678049,180064,263,37663,2tr,33,PE
121678043,180064,263,78605,2tr,31,FC
121678040,180064,263,78605,2tr,30,RB
121678045,180064,263,38109,2tr,31,DD
121677951,180064,263,38523,1tr,28,RB
121677950,180064,263,50362,1tr,28,PE
121677953,180064,263,69232,1tr,29,PE
121677956,180064,263,38523,1tr,30,PE
121678077,180064,263,74065,2tr,48,FC
121678076,180064,263,74065,2tr,48,PE
121678073,180064,263,38523,2tr,46,PE
121678072,180064,263,78605,2tr,46,PE
121678071,180064,263,38109,2tr,46,DD
121678024,180064,263,78946,2tr,23,FC
121678060,180064,263,74065,2tr,39,FC
121677943,180064,263,50362,1tr,25,UP
121678062,180064,263,38523,2tr,41,PE
121677941,180064,263,38523,1tr,24,X1
121677946,180064,263,69232,1tr,26,FC
121678065,180064,263,37663,2tr,41,PE
121678066,180064,263,37621,2tr,43,FR
121678069,180064,263,74065,2tr,44,ZB
121677948,180064,263,68744,1tr,27,FR
121678015,180064,263,38523,2tr,18,ZD
121677876,180064,263,69232,1tr,0,RB
121678017,180064,263,37663,2tr,20,PE
121677977,180064,263,37652,1tr,44,FC
121677975,180064,263,37652,1tr,42,FC
121677973,180064,263,78946,1tr,41,PE
121677971,180064,263,73540,1tr,40,FR
121678012,180064,263,73540,2tr,16,PE
121678018,180064,263,38523,2tr,21,FR
121677994,180064,263,37621,2tr,8,FR
121677997,180064,263,78605,2tr,11,FC
121677996,180064,263,73540,2tr,11,PE
121677991,180064,263,69232,2tr,5,PE
121677990,180064,263,50362,2tr,5,RB
121677993,180064,263,68744,2tr,7,PE
121677970,180064,263,37621,1tr,40,PE
121677999,180064,263,68744,2tr,11,PE
121677969,180064,263,78605,1tr,40,RB
121677960,180064,263,68744,1tr,34,RB
121677964,180064,263,37789,1tr,37,FC
121677966,180064,263,37652,1tr,37,FR
121678006,180064,263,37789,2tr,13,PE
121678007,180064,263,38109,2tr,14,GS
121678000,180064,263,50362,2tr,12,PE
121677904,180064,263,50362,1tr,9,ZD
121677985,180064,263,73540,2tr,3,PE
121677983,180064,263,37621,2tr,2,PE
121678020,180064,263,50362,2tr,22,PE
121677988,180064,263,68744,2tr,3,FC
121678039,180064,263,37621,2tr,29,RB
121678038,180064,263,74065,2tr,27,PE
121677919,180064,263,73540,1tr,15,RB
121677918,180064,263,69232,1tr,15,FR
121677915,180064,263,38523,1tr,13,FC
121678031,180064,263,38523,2tr,25,FR
121678030,180064,263,78946,2tr,24,PE
121677911,180064,263,78946,1tr,12,PE
121678036,180064,263,37678,2tr,26,RB
121677913,180064,263,50362,1tr,13,PE
121678037,180064,263,68744,2tr,26,PE
121678013,180064,263,37652,2tr,17,FR
121677908,180064,263,68744,1tr,10,PE
121677909,180064,263,73540,1tr,12,FR
121677906,180064,263,73540,1tr,10,FR
121678026,180064,263,37652,2tr,23,PE
121678027,180064,263,38109,2tr,23,DD
121677902,180064,263,38523,1tr,9,FR
121678021,180064,263,50362,2tr,22,RB
121678035,180064,263,38523,2tr,25,ZF
121677888,180064,283,51772,1tr,2,FC
121677885,180064,283,68833,1tr,2,PE
121677883,180064,283,42145,1tr,2,FR
121677881,180064,283,81150,1tr,1,FC
121737583,180064,283,37694,1tr,39,CA
121737582,180064,283,50459,2tr,14,ZG
121677912,180064,283,60819,1tr,13,PE
121677933,180064,283,60819,1tr,22,FC
121677932,180064,283,51772,1tr,21,ZD
121677931,180064,283,60788,1tr,21,FR
121677937,180064,283,51772,1tr,24,FC
121677934,180064,283,37656,1tr,23,DD
121678050,180064,283,37656,2tr,33,PE
121678053,180064,283,60819,2tr,34,FC
121678052,180064,283,68833,2tr,33,FC
121678055,180064,283,50459,2tr,35,PE
121678054,180064,283,38573,2tr,35,RB
121677890,180064,283,60788,1tr,3,FR
121677892,180064,283,42145,1tr,3,ZF
121677894,180064,283,68833,1tr,5,PE
121677895,180064,283,37694,1tr,7,RB
121677897,180064,283,51772,1tr,7,FR
121677898,180064,283,42145,1tr,8,PE
121677974,180064,283,68833,1tr,42,ZF
121677925,180064,283,37694,1tr,18,PE
121677926,180064,283,51772,1tr,19,PE
121677923,180064,283,79701,1tr,16,FC
121677928,180064,283,42145,1tr,20,PE
121678042,180064,283,42145,2tr,30,PE
121678041,180064,283,42145,2tr,30,RB
121678046,180064,283,38573,2tr,32,ZD
121678047,180064,283,38573,2tr,33,ZT
121678044,180064,283,79701,2tr,31,FR
121677952,180064,283,51772,1tr,29,PE
121677955,180064,283,51772,1tr,30,PE
121677954,180064,283,79701,1tr,30,RB
121677957,180064,283,50358,1tr,31,IM
121678078,180064,283,60819,2tr,49,FR
121677959,180064,283,79701,1tr,33,RB
121678075,180064,283,42116,2tr,46,ZD
121678074,180064,283,37613,2tr,46,ZD
121678070,180064,283,79701,2tr,45,PE
121677879,180064,283,60788,1tr,1,RB
121677942,180064,283,37656,1tr,24,GS
121678061,180064,283,42116,2tr,39,PE
121677940,180064,283,60788,1tr,24,FC
121678063,180064,283,51772,2tr,41,PE
121678064,180064,283,60819,2tr,41,PE
121677947,180064,283,68833,1tr,26,FR
121677944,180064,283,51772,1tr,26,ZB
121677945,180064,283,79701,1tr,26,RB
121678068,180064,283,42116,2tr,44,FC
121677949,180064,283,42145,1tr,27,FC
121677878,180064,283,51772,1tr,1,PE
121678014,180064,283,81150,2tr,18,FC
121677877,180064,283,50459,1tr,1,RB
121677976,180064,283,68833,1tr,43,ZF
121678016,180064,283,51772,2tr,20,PE
121678011,180064,283,68833,2tr,16,PE
121677972,180064,283,81150,1tr,41,FC
121678019,180064,283,79701,2tr,21,FC
121677979,180064,283,42145,1tr,46,RB
121678010,180064,283,51772,2tr,16,RB
121677995,180064,283,81150,2tr,9,FC
121677992,180064,283,37694,2tr,6,ZF
121677998,180064,283,79701,2tr,11,FR
121677968,180064,283,68833,1tr,38,ZF
121677961,180064,283,37694,1tr,34,RB
121677962,180064,283,51772,1tr,36,PE
121677963,180064,283,50358,1tr,37,FR
121677965,180064,283,79701,1tr,37,PE
121677967,180064,283,37694,1tr,37,FC
121678004,180064,283,37613,2tr,12,PE
121678005,180064,283,42116,2tr,12,ZT
121678002,180064,283,50459,2tr,12,PE
121678003,180064,283,37613,2tr,12,RB
121678001,180064,283,42145,2tr,12,PE
121677978,180064,283,37694,1tr,44,FR
121678008,180064,283,50459,2tr,14,X3
121678009,180064,283,60819,2tr,15,UP
121677986,180064,283,51772,2tr,3,PE
121677987,180064,283,79701,2tr,3,RB
121677984,180064,283,60788,2tr,3,PE
121677982,180064,283,60788,2tr,2,ZD
121677980,180064,283,60819,2tr,1,ZB
121677981,180064,283,37656,2tr,1,PE
121677989,180064,283,37694,2tr,3,FR
121678022,180064,283,38573,2tr,22,RB
121678023,180064,283,68833,2tr,22,ZF
121678033,180064,283,42116,2tr,25,PE
121678032,180064,283,50459,2tr,25,PE
121677917,180064,283,50358,1tr,15,FC
121677916,180064,283,50358,1tr,14,ZB
121677910,180064,283,79701,1tr,12,FC
121678034,180064,283,42145,2tr,25,FC
121678067,180064,283,51772,2tr,43,PE
121678025,180064,283,68833,2tr,23,FR
121678028,180064,283,51772,2tr,24,ZD
121678029,180064,283,68833,2tr,24,IM
121677907,180064,283,42145,1tr,10,FC
121677905,180064,283,42145,1tr,10,PE
121677903,180064,283,37656,1tr,9,DD
121677900,180064,283,68833,1tr,8,FC
121677901,180064,283,50459,1tr,9,FC
121677914,180064,283,68833,1tr,13,FR
121691978,180067,276,38064,1tr,14,FC
121691975,180067,276,49675,1tr,13,IM
121691972,180067,276,60803,1tr,12,RB
121691971,180067,276,69308,1tr,11,PE
121692068,180067,276,60803,2tr,13,PE
121692069,180067,276,38064,2tr,13,RB
121692065,180067,276,63008,2tr,10,ZF
121692060,180067,276,73800,2tr,7,FR
121692063,180067,276,62977,2tr,9,FR
121691961,180067,276,68728,1tr,5,FC
121691963,180067,276,68728,1tr,7,PE
121691964,180067,276,60803,1tr,7,FR
121691967,180067,276,60803,1tr,9,PE
121691968,180067,276,49675,1tr,10,ZB
121692092,180067,276,69308,2tr,24,FR
121692095,180067,276,62977,2tr,27,FC
121692097,180067,276,69308,2tr,28,RB
121692099,180067,276,62977,2tr,28,PD
121692019,180067,276,60803,1tr,38,RB
121692018,180067,276,62977,1tr,37,PE
121692140,180067,276,38196,2tr,49,FC
121692011,180067,276,62977,1tr,32,RB
121692010,180067,276,62977,1tr,32,PE
121692013,180067,276,49675,1tr,35,RB
121692012,180067,276,60803,1tr,33,FC
121692015,180067,276,38064,1tr,36,RB
121692014,180067,276,69308,1tr,35,ZD
121692017,180067,276,62977,1tr,37,PE
121692016,180067,276,60803,1tr,36,PE
121692082,180067,276,62977,2tr,21,PE
121692083,180067,276,68728,2tr,21,FC
121692080,180067,276,62977,2tr,18,PE
121692087,180067,276,38064,2tr,22,ZD
121692084,180067,276,60803,2tr,21,PE
121692085,180067,276,69308,2tr,22,PE
121692088,180067,276,69308,2tr,23,ZF
121692008,180067,276,49675,1tr,32,ZB
121692009,180067,276,38196,1tr,32,ZB
121692003,180067,276,62977,1tr,28,ZF
121692000,180067,276,62977,1tr,26,FR
121692001,180067,276,38196,1tr,27,ZF
121692006,180067,276,62977,1tr,31,FR
121692007,180067,276,38196,1tr,31,PE
121692004,180067,276,60803,1tr,29,ZF
121692005,180067,276,38064,1tr,30,FC
121692052,180067,276,38064,2tr,5,RB
121692129,180067,276,63008,2tr,44,RB
121692128,180067,276,69308,2tr,43,PE
121692124,180067,276,63008,2tr,41,IM
121691997,180067,276,69308,1tr,26,PE
121691996,180067,276,62977,1tr,25,PE
121691991,180067,276,68728,1tr,23,PE
121692120,180067,276,68728,2tr,38,PE
121692123,180067,276,62977,2tr,40,FR
121691992,180067,276,50347,1tr,23,ZF
121691986,180067,276,38055,1tr,19,DD
121692039,180067,276,50347,2tr,2,PE
121692037,180067,276,38064,2tr,1,FR
121692135,180067,276,60803,2tr,47,ZD
121692133,180067,276,69308,2tr,46,FC
121692131,180067,276,86841,2tr,45,RB
121691988,180067,276,69308,1tr,20,PE
121691989,180067,276,38196,1tr,20,FC
121692136,180067,276,68728,2tr,47,RB
121691985,180067,276,68728,1tr,19,PE
121692132,180067,276,68728,2tr,45,PE
121691983,180067,276,49675,1tr,17,ZF
121692130,180067,276,63008,2tr,45,PE
121691981,180067,276,49675,1tr,16,FR
121692020,180067,276,49675,1tr,39,ZD
121692021,180067,276,69308,1tr,39,FC
121692022,180067,276,62977,1tr,40,PE
121692023,180067,276,69308,1tr,45,PE
121692024,180067,276,68728,1tr,45,PE
121692025,180067,276,69308,1tr,48,PE
121692026,180067,276,49675,1tr,48,ZD
121691999,180067,276,69308,1tr,26,RB
121692100,180067,276,50347,2tr,28,X3
121692105,180067,276,50347,2tr,31,FR
121692104,180067,276,62977,2tr,31,RB
121692108,180067,276,62977,2tr,33,PE
121692055,180067,276,60803,2tr,7,PE
121692054,180067,276,69308,2tr,6,RB
121692057,180067,276,50347,2tr,7,FC
121692051,180067,276,62977,2tr,5,PE
121692053,180067,276,68728,2tr,6,PE
121691994,180067,276,68728,1tr,24,RB
121692127,180067,276,69308,2tr,42,PE
121691958,180067,276,38196,1tr,4,RB
121692121,180067,276,69308,2tr,40,PE
121691954,180067,276,49675,1tr,0,PE
121735594,180067,276,68728,2tr,34,CA
121735592,180067,276,50347,2tr,28,ZG
121692114,180067,276,69308,2tr,35,RB
121692116,180067,276,74085,2tr,37,ZF
121692117,180067,276,38064,2tr,38,RB
121692110,180067,276,68728,2tr,34,FC
121692111,180067,276,38055,2tr,34,GS
121692118,180067,276,69308,2tr,38,FR
121692046,180067,276,38064,2tr,4,RB
121692044,180067,276,49675,2tr,2,FR
121692045,180067,276,38064,2tr,3,FR
121692040,180067,276,50347,2tr,2,PE
121692041,180067,276,69308,2tr,2,PE
121692048,180067,276,62977,2tr,5,PE
121692079,180067,276,62977,2tr,17,ZD
121692072,180067,276,68728,2tr,14,FR
121692071,180067,276,49675,2tr,14,ZD
121692070,180067,276,49675,2tr,13,IM
121692076,180067,276,73800,2tr,15,FR
121692075,180067,276,73800,2tr,15,RB
121692074,180067,276,68728,2tr,15,RB
121692138,180067,276,50347,2tr,48,IM
121691959,180067,288,50645,1tr,5,PE
121692067,180067,288,78936,2tr,12,RB
121691979,180067,288,38038,1tr,14,DD
121691977,180067,288,38357,1tr,13,PE
121691953,180067,288,78936,1tr,0,RB
121691974,180067,288,73383,1tr,12,FR
121691955,180067,288,68950,1tr,1,PE
121691957,180067,288,38425,1tr,2,RB
121691956,180067,288,50645,1tr,2,PE
121692031,180067,288,38357,1tr,52,PE
121691980,180067,288,80399,1tr,15,PE
121692058,180067,288,72097,2tr,7,PE
121692073,180067,288,83614,2tr,15,FC
121735595,180067,288,38038,2tr,49,CA
121735593,180067,288,78936,2tr,35,ZG
121692081,180067,288,71799,2tr,18,ZF
121692086,180067,288,38038,2tr,22,DD
121692112,180067,288,78936,2tr,35,X3
121692139,180067,288,80399,2tr,49,FR
121692064,180067,288,78936,2tr,9,FC
121692137,180067,288,68908,2tr,47,RB
121692066,180067,288,72097,2tr,11,PE
121692089,180067,288,78936,2tr,23,RB
121691982,180067,288,50645,1tr,16,PE
121692061,180067,288,68950,2tr,8,RB
121692062,180067,288,78936,2tr,9,PE
121692047,180067,288,83614,2tr,4,IM
121692032,180067,288,50908,1tr,53,FR
121692042,180067,288,50645,2tr,2,PE
121692043,180067,288,78936,2tr,2,FC
121692027,180067,288,50645,1tr,49,FC
121692002,180067,288,73383,1tr,27,PE
121692029,180067,288,73383,1tr,50,PE
121692049,180067,288,71799,2tr,5,FR
121691960,180067,288,80399,1tr,5,RB
121775494,180067,288,83614,1tr,19,ZB
121691962,180067,288,71799,1tr,5,FR
121691998,180067,288,72097,1tr,26,PE
121691965,180067,288,83614,1tr,7,FC
121691966,180067,288,78936,1tr,9,FR
121692090,180067,288,78936,2tr,23,PE
121691973,180067,288,73383,1tr,12,RB
121692038,180067,288,73383,2tr,2,FC
121692093,180067,288,38357,2tr,26,RB
121692028,180067,288,78936,1tr,49,RB
121692134,180067,288,50645,2tr,47,FR
121692033,180067,288,73383,1tr,55,FC
121691969,180067,288,38357,1tr,10,FC
121692050,180067,288,38425,2tr,5,RB
121691970,180067,288,80399,1tr,10,PE
121692094,180067,288,38357,2tr,27,FR
121692103,180067,288,72097,2tr,31,FC
121692102,180067,288,38357,2tr,31,PE
121692101,180067,288,73383,2tr,30,PE
121692078,180067,288,38038,2tr,17,DD
121692107,180067,288,72097,2tr,32,PE
121692106,180067,288,68908,2tr,32,RB
121692096,180067,288,72097,2tr,28,PE
121692125,180067,288,80399,2tr,42,PE
121692098,180067,288,38038,2tr,28,GS
121692119,180067,288,78936,2tr,38,FC
121692113,180067,288,78936,2tr,35,RB
121692077,180067,288,83614,2tr,15,FC
121691990,180067,288,80399,1tr,23,RB
121691993,180067,288,80399,1tr,24,PE
121692122,180067,288,38425,2tr,40,FC
121691995,180067,288,68950,1tr,24,PE
121692056,180067,288,80399,2tr,7,FR
121692142,180067,288,61149,2tr,50,FC
121692141,180067,288,71799,2tr,49,PE
121692126,180067,288,78936,2tr,42,PE
121692091,180067,288,83614,2tr,24,FC
121692036,180067,288,50645,1tr,59,FR
121692059,180067,288,71799,2tr,7,FC
121691984,180067,288,73383,1tr,19,FR
