ID,Rodada,Casa,Visitante,PlacarCasa,PlacarVisitante,Resultado
179872,1,262,290,0,0,Empate
179873,1,266,316,3,0,Casa
179874,1,276,263,3,0,Casa
179875,1,277,292,1,1,Empate
179876,1,293,284,1,0,Casa
179877,1,282,264,0,0,Empate
179878,1,265,283,1,2,Visitante
179879,1,285,287,1,0,Casa
179880,1,288,275,1,2,Visitante
179881,1,315,294,0,0,Empate
179882,2,263,285,2,2,Empate
179883,2,292,315,2,1,Casa
179884,2,264,262,2,0,Casa
179885,2,275,266,0,1,Visitante
179886,2,294,277,0,0,Empate
179887,2,283,276,1,1,Empate
179888,2,287,293,2,2,Empate
179889,2,284,282,2,1,Casa
179890,2,316,265,0,2,Visitante
179891,2,290,288,1,0,Casa
179892,20,263,276,2,4,Visitante
179893,3,262,275,4,2,Casa
179894,3,266,287,1,2,Visitante
179895,20,292,277,3,1,Casa
179896,3,276,294,2,2,Empate
179897,3,277,284,0,0,Empate
179898,3,293,283,2,3,Visitante
179899,20,264,282,1,0,Casa
179900,20,275,288,1,0,Casa
179901,3,282,290,0,1,Visitante
179902,20,294,315,3,0,Casa
179903,3,265,263,1,0,Casa
179904,3,285,292,2,1,Casa
179905,20,283,265,2,1,Casa
179906,3,288,316,1,0,Casa
179907,20,287,285,2,0,Casa
179908,3,315,264,0,1,Visitante
179909,4,263,288,6,0,Casa
179910,20,284,293,1,0,Casa
179911,4,266,262,2,0,Casa
179912,20,316,266,1,1,Empate
179913,4,276,264,1,1,Empate
179914,20,290,262,1,0,Casa
179915,4,275,290,2,0,Casa
179916,21,262,264,1,0,Casa
179917,4,294,292,0,1,Visitante
179918,4,282,283,2,1,Casa
179919,21,266,275,3,0,Casa
179920,4,265,287,1,1,Empate
179921,21,276,283,2,0,Casa
179922,4,285,293,2,1,Casa
179923,4,316,277,0,2,Visitante
179924,21,277,294,2,1,Casa
179925,4,315,284,1,2,Visitante
179926,21,293,287,2,0,Casa
179927,5,262,276,0,2,Visitante
179928,5,292,265,1,0,Casa
179929,21,282,284,0,0,Empate
179930,5,264,316,0,1,Visitante
179931,21,265,316,3,0,Casa
179932,21,285,263,2,0,Casa
179933,21,288,290,1,0,Casa
179934,5,277,282,1,2,Visitante
179935,21,315,292,3,1,Casa
179936,5,293,315,1,1,Empate
179937,5,283,294,3,2,Casa
179938,22,263,265,2,3,Visitante
179939,5,287,275,0,1,Visitante
179940,22,292,285,0,0,Empate
179941,22,264,315,1,1,Empate
179942,5,284,266,1,0,Casa
179943,5,288,285,0,0,Empate
179944,5,290,263,2,0,Casa
179945,22,275,262,2,2,Empate
179946,6,262,265,1,1,Empate
179947,22,294,276,3,1,Casa
179948,6,266,276,5,2,Casa
179949,6,264,293,1,1,Empate
179950,6,275,316,1,0,Casa
179951,22,283,293,2,0,Casa
179952,6,294,285,1,1,Empate
179954,22,284,277,0,0,Empate
179955,22,316,288,1,1,Empate
179956,6,283,292,2,0,Casa
179957,22,290,282,2,3,Visitante
179958,6,287,282,2,3,Visitante
179959,6,284,263,2,1,Casa
179960,23,262,266,1,1,Empate
179961,6,288,315,1,0,Casa
179962,23,292,294,1,0,Casa
179963,6,290,277,2,2,Empate
179964,23,264,276,3,2,Casa
179965,7,263,287,1,1,Empate
179966,23,277,316,3,1,Casa
179967,23,293,285,0,1,Visitante
179968,23,283,282,2,3,Visitante
179969,23,287,265,2,1,Casa
179970,23,284,315,1,0,Casa
179971,7,292,264,1,4,Visitante
179972,23,288,263,1,1,Empate
179973,23,290,275,6,0,Casa
179974,24,263,290,1,0,Casa
179975,24,266,284,0,0,Empate
179976,7,276,284,1,0,Casa
179977,24,276,262,2,2,Empate
179978,24,275,287,2,0,Casa
179979,7,277,262,0,0,Empate
179980,24,294,283,1,2,Visitante
179981,7,293,294,2,0,Casa
179982,24,282,277,3,2,Casa
179983,7,282,288,0,0,Empate
179984,24,265,292,1,0,Casa
179985,7,265,266,0,1,Visitante
179986,7,285,283,1,3,Visitante
179987,24,285,288,3,0,Casa
179988,7,316,290,0,1,Visitante
179990,24,315,293,3,0,Casa
179992,25,263,284,0,2,Visitante
179993,25,292,283,0,0,Empate
179994,7,315,275,2,0,Casa
179995,25,276,266,1,3,Visitante
179996,8,262,316,1,1,Empate
179997,8,292,284,0,0,Empate
179998,25,277,290,2,0,Casa
179999,8,264,283,1,0,Casa
180000,8,275,263,0,2,Visitante
180001,25,293,264,1,0,Casa
180002,8,293,276,2,2,Empate
180003,25,282,287,2,0,Casa
180004,25,265,262,2,1,Casa
180005,8,282,266,2,0,Casa
180006,8,265,277,0,2,Visitante
180007,25,285,294,4,2,Casa
180008,8,285,315,2,0,Casa
180009,25,316,275,3,1,Casa
180010,8,288,294,1,0,Casa
180011,25,315,288,1,1,Empate
180012,8,290,287,0,0,Empate
180013,28,263,264,1,0,Casa
180014,26,262,277,0,1,Visitante
180015,9,266,285,1,1,Empate
180016,26,266,265,1,1,Empate
180017,9,276,282,2,1,Casa
180018,26,264,292,3,0,Casa
180019,26,275,315,4,2,Casa
180020,9,277,288,2,0,Casa
180021,26,294,293,1,0,Casa
180022,9,294,290,3,0,Casa
180023,9,283,262,3,0,Casa
180024,26,283,285,2,1,Casa
180025,9,287,292,0,1,Visitante
180026,9,284,275,0,0,Empate
180027,26,287,263,2,1,Casa
180028,9,316,293,1,3,Visitante
180029,26,284,276,0,1,Visitante
180030,9,315,265,2,1,Casa
180031,10,262,293,1,2,Visitante
180032,26,288,282,3,1,Casa
180033,10,292,263,1,0,Casa
180034,10,264,285,2,1,Casa
180035,10,277,275,2,0,Casa
180036,26,290,316,1,0,Casa
180037,10,294,316,0,2,Visitante
180038,10,283,287,3,1,Casa
180039,10,265,276,0,2,Visitante
180040,11,263,294,1,0,Casa
180041,11,266,277,1,0,Casa
180042,10,284,290,0,0,Empate
180043,11,276,315,0,1,Visitante
180044,10,288,266,3,2,Casa
180045,11,275,283,1,2,Visitante
180046,10,315,282,1,1,Empate
180047,11,293,288,2,0,Casa
180048,11,282,265,1,1,Empate
180049,11,287,264,0,0,Empate
180050,11,285,262,4,0,Casa
180051,11,316,284,0,1,Visitante
180052,11,290,292,0,0,Empate
180053,12,262,263,1,0,Casa
180054,12,292,282,2,1,Casa
180055,12,264,275,2,0,Casa
180056,12,277,315,3,0,Casa
180057,22,287,266,3,1,Casa
180058,12,293,266,0,3,Visitante
180059,12,283,316,5,0,Casa
180060,12,265,285,0,1,Visitante
180061,12,284,294,2,3,Visitante
180062,12,288,287,1,3,Visitante
180063,12,290,276,2,1,Casa
180064,13,263,283,1,1,Empate
180065,27,263,275,0,1,Visitante
180066,13,266,290,2,0,Casa
180067,13,276,288,1,1,Empate
180068,27,266,282,0,0,Empate
180069,27,276,293,1,0,Casa
180070,13,275,265,1,1,Empate
180071,13,294,264,0,0,Empate
180072,13,282,293,3,1,Casa
180073,27,277,265,1,0,Casa
180074,13,287,284,2,1,Casa
180075,13,285,277,1,0,Casa
180076,27,294,288,1,0,Casa
180077,13,316,292,3,0,Casa
180078,13,315,262,1,0,Casa
180079,27,283,264,0,1,Visitante
180080,27,287,290,2,2,Empate
180081,27,284,292,2,0,Casa
180082,14,262,292,1,0,Casa
180083,14,266,294,1,1,Empate
180084,27,316,262,1,2,Visitante
180085,14,276,287,3,1,Casa
180086,14,277,264,0,1,Visitante
180087,27,315,285,5,0,Casa
180088,14,293,263,2,0,Casa
180089,14,282,275,2,1,Casa
180090,14,265,290,1,0,Casa
180091,14,285,284,2,0,Casa
180092,14,288,283,0,0,Empate
180093,14,315,316,0,1,Visitante
180094,28,262,283,3,0,Casa
180095,28,292,287,1,2,Visitante
180096,15,263,266,2,0,Casa
180097,9,264,263,1,1,Empate
180098,15,292,293,1,1,Empate
180099,15,264,265,1,1,Empate
180100,15,275,276,1,2,Visitante
180101,28,275,284,2,1,Casa
180102,15,294,262,0,1,Visitante
180103,28,293,316,3,0,Casa
180104,15,283,277,3,0,Casa
180105,15,287,315,0,0,Empate
180106,28,282,276,1,0,Casa
180107,15,284,288,2,0,Casa
180108,15,316,282,2,2,Empate
180109,28,265,315,0,1,Visitante
180110,15,290,285,0,1,Visitante
180111,28,285,266,2,1,Casa
180112,28,288,277,3,0,Casa
180113,28,290,294,3,0,Casa
180114,16,262,282,2,1,Casa
180115,16,292,275,2,1,Casa
180116,16,264,290,5,2,Casa
180117,16,277,293,2,0,Casa
180118,16,294,287,2,0,Casa
180119,16,283,284,1,0,Casa
180120,16,265,288,0,0,Empate
180121,16,285,276,0,1,Visitante
180122,16,316,263,1,0,Casa
180123,16,315,266,1,0,Casa
180124,24,316,264,1,0,Casa
180125,17,263,315,1,0,Casa
180126,17,266,292,4,0,Casa
180127,17,276,277,2,1,Casa
180128,17,275,294,1,0,Casa
180129,17,293,265,0,0,Empate
180130,17,282,285,1,0,Casa
180131,17,287,316,0,1,Visitante
180132,17,284,264,2,1,Casa
180133,17,288,262,0,2,Visitante
180134,17,290,283,0,1,Visitante
180135,31,263,262,2,1,Casa
180136,18,263,277,1,0,Casa
180137,18,292,288,2,0,Casa
180138,18,264,266,1,1,Empate
180139,18,275,285,0,1,Visitante
180140,31,266,293,2,1,Casa
180141,38,263,282,0,0,Empate
180142,18,294,282,0,0,Empate
180143,18,283,315,4,2,Casa
180144,18,287,262,1,2,Visitante
180145,31,276,290,3,0,Casa
180146,31,275,264,1,1,Empate
180147,38,292,276,1,0,Casa
180148,38,264,288,2,1,Casa
180149,38,275,293,1,1,Empate
180150,31,294,284,1,1,Empate
180151,38,294,265,3,2,Casa
180152,38,283,266,2,1,Casa
180153,18,284,265,1,0,Casa
180154,38,287,277,0,1,Visitante
180155,18,316,276,1,1,Empate
180156,31,282,292,3,2,Casa
180157,18,290,293,3,1,Casa
180158,38,284,262,1,1,Empate
180159,31,287,288,3,1,Casa
180160,38,316,285,1,2,Visitante
180161,19,262,284,0,1,Visitante
180162,31,285,265,2,0,Casa
180163,38,290,315,4,2,Casa
180164,19,266,283,3,3,Empate
180165,31,316,283,1,1,Empate
180166,37,262,287,4,0,Casa
180167,19,276,292,2,0,Casa
180168,19,277,287,3,1,Casa
180169,19,293,275,1,1,Empate
180170,37,266,264,5,2,Casa
180171,19,282,263,1,0,Casa
180172,19,265,294,0,0,Empate
180173,31,315,277,1,1,Empate
180174,19,285,316,2,3,Visitante
180175,37,276,316,1,1,Empate
180176,19,288,264,0,0,Empate
180177,37,277,263,2,0,Casa
180178,19,315,290,0,0,Empate
180179,37,293,290,1,0,Casa
180180,32,262,315,3,0,Casa
180181,37,282,294,1,2,Visitante
180182,37,265,284,1,0,Casa
180183,35,263,316,0,1,Visitante
180184,32,292,316,1,0,Casa
180185,34,262,294,3,2,Casa
180186,37,285,275,3,1,Casa
180187,34,266,263,1,0,Casa
180188,35,266,315,1,4,Visitante
180189,32,264,294,2,2,Empate
180190,34,276,275,2,0,Casa
180191,37,288,292,2,2,Empate
180192,34,277,283,0,1,Visitante
180193,35,276,285,1,1,Empate
180194,37,315,283,1,1,Empate
180195,34,293,292,0,1,Visitante
180196,34,282,316,1,1,Empate
180197,35,275,292,0,2,Visitante
180198,34,265,264,1,2,Visitante
180199,32,277,285,1,2,Visitante
180200,34,285,290,1,0,Casa
180201,32,293,282,1,0,Casa
180202,35,293,277,1,1,Empate
180203,34,288,284,0,3,Visitante
180204,34,315,287,0,1,Visitante
180205,32,283,263,2,1,Casa
180206,35,282,262,4,0,Casa
180207,32,265,275,0,1,Visitante
180208,35,287,294,1,1,Empate
180209,33,263,293,0,2,Visitante
180210,32,284,287,1,0,Casa
180211,33,292,262,2,2,Empate
180212,33,264,277,1,0,Casa
180213,33,275,282,0,2,Visitante
180214,32,288,276,1,2,Visitante
180215,33,294,266,1,0,Casa
180216,35,284,283,1,2,Visitante
180217,32,290,266,0,2,Visitante
180218,33,283,288,3,1,Casa
180219,35,288,265,0,1,Visitante
180220,35,290,264,0,1,Visitante
180221,33,287,276,1,2,Visitante
180222,33,284,285,4,1,Casa
180223,33,316,315,1,0,Casa
180224,33,290,265,3,0,Casa
180225,36,262,288,1,1,Empate
180226,30,262,285,2,0,Casa
180227,36,292,266,2,2,Empate
180228,30,292,290,0,1,Visitante
180229,30,264,287,2,1,Casa
180230,30,277,266,0,1,Visitante
180231,36,264,284,1,0,Casa
180232,30,294,263,2,0,Casa
180233,30,283,275,1,1,Empate
180234,36,277,276,0,1,Visitante
180235,30,265,282,1,1,Empate
180236,30,284,316,1,0,Casa
180237,30,288,293,0,1,Visitante
180238,36,294,275,2,0,Casa
180239,30,315,276,0,0,Empate
180240,36,283,290,2,1,Casa
180241,36,265,293,1,2,Visitante
180242,36,285,282,2,1,Casa
180243,36,316,287,2,0,Casa
180244,36,315,263,2,0,Casa
180245,29,263,292,1,1,Empate
180246,29,266,288,4,2,Casa
180247,29,276,265,2,1,Casa
180248,29,275,277,1,3,Visitante
180249,29,293,262,2,1,Casa
180250,29,282,315,1,0,Casa
180251,29,287,283,0,1,Visitante
180252,29,285,264,1,2,Visitante
180253,29,316,294,4,0,Casa
180254,29,290,284,0,0,Empate
