"ID","Nome","Abreviacao","Slug"
262,"Flamengo","fla","flamengo"
264,"Corinthians","cor","corinthians"
266,"Fluminense","flu","fluminense"
267,"Vasco","vas","vasco"
275,"Palmeiras","pal","palmeiras"
276,"São Paulo","sao","sao-paulo"
277,"Santos","san","santos"
282,"Atlético-MG","cam","atletico-mg"
283,"Cruzeiro","cru","cruzeiro"
284,"Grêmio","gre","gremio"
285,"Internacional","int","internacional"
290,"Goiás","goi","goias"
292,"Sport","spo","sport"
293,"Atlético-PR","cap","atletico-pr"
294,"Coritiba","cfc","coritiba"
303,"Ponte Preta","pon","ponte-preta"
314,"Avaí","ava","avai"
315,"Chapecoense","cha","chapecoense"
316,"Figueirense","fig","figueirense"
317,"Joinville","jec","joinville"
