"","game","round","date","home_team","score","away_team","arena","X"
"1","1","1","14/05/2016 - 16:00","Palmeiras - SP","4 x 0","Atlético - PR","Allianz Parque - Sao Paulo - SP",""
"2","2","1","14/05/2016 - 16:00","Flamengo - RJ","1 x 0","Sport - PE","Raulino de Oliveira - Volta Redonda - RJ",""
"3","3","1","14/05/2016 - 18:30","Atlético - MG","1 x 0","Santos - SP","Independência - Belo Horizonte - MG",""
"4","4","1","14/05/2016 - 21:00","Coritiba - PR","1 x 0","Cruzeiro - MG","Couto Pereira - Curitiba - PR",""
"5","5","1","15/05/2016 - 11:00","Botafogo - RJ","0 x 1","São Paulo - SP","Raulino de Oliveira - Volta Redonda - RJ",""
"6","6","1","15/05/2016 - 11:00","Santa Cruz - PE","4 x 1","Vitória - BA","Arruda - Recife - PE",""
"7","7","1","15/05/2016 - 16:00","Corinthians - SP","0 x 0","Grêmio - RS","Arena Corinthians - Sao Paulo - SP",""
"8","8","1","15/05/2016 - 16:00","Figueirense - SC","0 x 0","Ponte Preta - SP","Orlando Scarpelli - Florianopolis - SC",""
"9","9","1","15/05/2016 - 16:00","América - MG","0 x 1","Fluminense - RJ","Independência - Belo Horizonte - MG",""
"10","10","1","15/05/2016 - 18:30","Internacional - RS","0 x 0","Chapecoense - SC","Beira Rio - Porto Alegre - RS",""
"11","11","2","22/05/2016 - 16:00","Vitória - BA","3 x 2","Corinthians - SP","Manoel Barradas - Salvador - BA",""
"12","12","2","21/05/2016 - 18:30","Fluminense - RJ","2 x 2","Santa Cruz - PE","Raulino de Oliveira - Volta Redonda - RJ",""
"13","13","2","21/05/2016 - 21:00","Cruzeiro - MG","2 x 2","Figueirense - SC","Mineirão - Belo Horizonte - MG",""
"14","14","2","22/05/2016 - 11:00","Santos - SP","2 x 1","Coritiba - PR","Vila Belmiro - Santos - SP",""
"15","15","2","22/05/2016 - 11:00","Atlético - PR","1 x 1","Atlético - MG","Arena da Baixada - Curitiba - PR",""
"16","16","2","22/05/2016 - 16:00","Chapecoense - SC","3 x 1","América - MG","Arena Condá - Chapeco - SC",""
"17","17","2","22/05/2016 - 16:00","São Paulo - SP","1 x 2","Internacional - RS","Morumbi - Sao Paulo - SP",""
"18","18","2","22/05/2016 - 16:00","Grêmio - RS","1 x 0","Flamengo - RJ","Arena do Grêmio - Porto Alegre - RS",""
"19","19","2","21/05/2016 - 16:00","Ponte Preta - SP","2 x 1","Palmeiras - SP","Moisés Lucarelli - Campinas - SP",""
"20","20","2","22/05/2016 - 18:30","Sport - PE","1 x 1","Botafogo - RJ","Ilha do Retiro - Recife - PE",""
"21","21","3","25/05/2016 - 19:30","Botafogo - RJ","2 x 1","Atlético - PR","Mário Helênio - Juiz de Fora - MG",""
"22","22","3","25/05/2016 - 21:00","Flamengo - RJ","2 x 2","Chapecoense - SC","Raulino de Oliveira - Volta Redonda - RJ",""
"23","23","3","25/05/2016 - 19:30","Figueirense - SC","2 x 2","Santos - SP","Orlando Scarpelli - Florianopolis - SC",""
"24","24","3","25/05/2016 - 21:00","América - MG","1 x 1","Vitória - BA","Independência - Belo Horizonte - MG",""
"25","25","3","25/05/2016 - 21:45","Santa Cruz - PE","4 x 1","Cruzeiro - MG","Arruda - Recife - PE",""
"26","26","3","25/05/2016 - 21:45","Palmeiras - SP","2 x 0","Fluminense - RJ","Allianz Parque - Sao Paulo - SP",""
"27","27","3","26/05/2016 - 16:00","Internacional - RS","1 x 0","Sport - PE","Beira Rio - Porto Alegre - RS",""
"28","28","3","25/05/2016 - 21:45","Coritiba - PR","1 x 1","São Paulo - SP","Couto Pereira - Curitiba - PR",""
"29","29","3","26/05/2016 - 11:00","Corinthians - SP","3 x 0","Ponte Preta - SP","Arena Corinthians - Sao Paulo - SP",""
"30","30","3","26/05/2016 - 21:00","Atlético - MG","0 x 3","Grêmio - RS","Independência - Belo Horizonte - MG",""
"31","31","4","28/05/2016 - 16:00","Cruzeiro - MG","1 x 1","América - MG","Mineirão - Belo Horizonte - MG",""
"32","32","4","28/05/2016 - 18:30","Atlético - PR","2 x 1","Figueirense - SC","Arena da Baixada - Curitiba - PR",""
"33","33","4","28/05/2016 - 21:00","Chapecoense - SC","1 x 1","Santa Cruz - PE","Arena Condá - Chapeco - SC",""
"34","34","4","29/05/2016 - 11:00","Ponte Preta - SP","1 x 2","Flamengo - RJ","Moisés Lucarelli - Campinas - SP",""
"35","35","4","29/05/2016 - 11:00","Sport - PE","0 x 2","Corinthians - SP","Ilha do Retiro - Recife - PE",""
"36","36","4","29/05/2016 - 16:00","Vitória - BA","1 x 1","Atlético - MG","Arena Fonte Nova - Salvador - BA",""
"37","37","4","29/05/2016 - 16:00","Fluminense - RJ","1 x 0","Botafogo - RJ","Raulino de Oliveira - Volta Redonda - RJ",""
"38","38","4","29/05/2016 - 16:00","São Paulo - SP","1 x 0","Palmeiras - SP","Morumbi - Sao Paulo - SP",""
"39","39","4","29/05/2016 - 18:30","Grêmio - RS","2 x 0","Coritiba - PR","Arena do Grêmio - Porto Alegre - RS",""
"40","40","4","29/05/2016 - 18:30","Santos - SP","0 x 1","Internacional - RS","Vila Belmiro - Santos - SP",""
"41","41","5","01/06/2016 - 21:45","Botafogo - RJ","0 x 1","Cruzeiro - MG","Mané Garrincha - Brasilia - DF",""
"42","42","5","01/06/2016 - 19:30","Internacional - RS","1 x 0","Atlético - PR","Beira Rio - Porto Alegre - RS",""
"43","43","5","01/06/2016 - 21:00","Coritiba - PR","3 x 4","Chapecoense - SC","Durival Britto - Curitiba - PR",""
"44","44","5","01/06/2016 - 21:45","Figueirense - SC","1 x 0","São Paulo - SP","Orlando Scarpelli - Florianopolis - SC",""
"45","45","5","01/06/2016 - 21:00","Santa Cruz - PE","0 x 1","Sport - PE","Arruda - Recife - PE",""
"46","46","5","01/06/2016 - 21:00","Corinthians - SP","1 x 0","Santos - SP","Arena Corinthians - Sao Paulo - SP",""
"47","47","5","01/06/2016 - 21:45","Atlético - MG","1 x 1","Fluminense - RJ","Independência - Belo Horizonte - MG",""
"48","48","5","02/06/2016 - 19:30","América - MG","1 x 2","Ponte Preta - SP","Independência - Belo Horizonte - MG",""
"49","49","5","02/06/2016 - 21:00","Flamengo - RJ","1 x 0","Vitória - BA","Raulino de Oliveira - Volta Redonda - RJ",""
"50","50","5","02/06/2016 - 21:00","Palmeiras - SP","4 x 3","Grêmio - RS","Pacaembu - Sao Paulo - SP",""
"51","51","6","04/06/2016 - 16:00","Atlético - PR","1 x 0","Santa Cruz - PE","Arena da Baixada - Curitiba - PR",""
"52","52","6","05/06/2016 - 18:30","Cruzeiro - MG","0 x 1","São Paulo - SP","Mineirão - Belo Horizonte - MG",""
"53","53","6","04/06/2016 - 20:30","Chapecoense - SC","0 x 0","Fluminense - RJ","Arena Condá - Chapeco - SC",""
"54","54","6","04/06/2016 - 20:30","Corinthians - SP","2 x 1","Coritiba - PR","Arena Corinthians - Sao Paulo - SP",""
"55","55","6","05/06/2016 - 11:00","América - MG","1 x 0","Figueirense - SC","Independência - Belo Horizonte - MG",""
"56","56","6","05/06/2016 - 11:00","Santos - SP","3 x 0","Botafogo - RJ","Pacaembu - Sao Paulo - SP",""
"57","57","6","05/06/2016 - 16:00","Flamengo - RJ","1 x 2","Palmeiras - SP","Mané Garrincha - Brasilia - DF",""
"58","58","6","05/06/2016 - 16:00","Vitória - BA","1 x 0","Internacional - RS","Manoel Barradas - Salvador - BA",""
"59","59","6","05/06/2016 - 16:00","Sport - PE","4 x 4","Atlético - MG","Ilha do Retiro - Recife - PE",""
"60","60","6","05/06/2016 - 16:00","Grêmio - RS","1 x 0","Ponte Preta - SP","Arena do Grêmio - Porto Alegre - RS",""
"61","61","7","11/06/2016 - 16:00","Ponte Preta - SP","2 x 1","Chapecoense - SC","Moisés Lucarelli - Campinas - SP",""
"62","62","7","11/06/2016 - 16:00","Internacional - RS","3 x 1","América - MG","Beira Rio - Porto Alegre - RS",""
"63","63","7","11/06/2016 - 21:00","São Paulo - SP","1 x 2","Atlético - PR","Morumbi - Sao Paulo - SP",""
"64","64","7","12/06/2016 - 19:00","Santa Cruz - PE","0 x 2","Santos - SP","Arruda - Recife - PE",""
"65","65","7","12/06/2016 - 16:00","Figueirense - SC","1 x 0","Flamengo - RJ","Orlando Scarpelli - Florianopolis - SC",""
"66","66","7","11/06/2016 - 18:30","Fluminense - RJ","1 x 1","Grêmio - RS","Raulino de Oliveira - Volta Redonda - RJ",""
"67","67","7","12/06/2016 - 16:00","Atlético - MG","2 x 3","Cruzeiro - MG","Independência - Belo Horizonte - MG",""
"68","68","7","12/06/2016 - 16:00","Palmeiras - SP","1 x 0","Corinthians - SP","Allianz Parque - Sao Paulo - SP",""
"69","69","7","12/06/2016 - 11:00","Coritiba - PR","3 x 2","Sport - PE","Couto Pereira - Curitiba - PR",""
"70","70","7","12/06/2016 - 11:00","Botafogo - RJ","1 x 1","Vitória - BA","Raulino de Oliveira - Volta Redonda - RJ",""
"71","71","8","15/06/2016 - 21:45","Coritiba - PR","2 x 2","Palmeiras - SP","Couto Pereira - Curitiba - PR",""
"72","72","8","15/06/2016 - 19:30","Ponte Preta - SP","3 x 2","Atlético - PR","Moisés Lucarelli - Campinas - SP",""
"73","73","8","15/06/2016 - 21:00","Botafogo - RJ","3 x 1","América - MG","Raulino de Oliveira - Volta Redonda - RJ",""
"74","74","8","15/06/2016 - 21:00","Santos - SP","2 x 0","Sport - PE","Vila Belmiro - Santos - SP",""
"75","75","8","15/06/2016 - 21:00","Santa Cruz - PE","1 x 0","Figueirense - SC","Arruda - Recife - PE",""
"76","76","8","15/06/2016 - 19:30","São Paulo - SP","2 x 0","Vitória - BA","Morumbi - Sao Paulo - SP",""
"77","77","8","15/06/2016 - 21:45","Cruzeiro - MG","0 x 1","Flamengo - RJ","Mineirão - Belo Horizonte - MG",""
"78","78","8","16/06/2016 - 19:30","Internacional - RS","2 x 0","Atlético - MG","Beira Rio - Porto Alegre - RS",""
"79","79","8","16/06/2016 - 20:00","Fluminense - RJ","1 x 0","Corinthians - SP","Mané Garrincha - Brasilia - DF",""
"80","80","8","15/06/2016 - 19:30","Chapecoense - SC","3 x 3","Grêmio - RS","Arena Condá - Chapeco - SC",""
"81","81","9","18/06/2016 - 18:00","Atlético - PR","1 x 0","Santos - SP","Arena da Baixada - Curitiba - PR",""
"82","82","9","18/06/2016 - 16:00","Palmeiras - SP","3 x 1","Santa Cruz - PE","Allianz Parque - Sao Paulo - SP",""
"83","83","9","18/06/2016 - 21:00","América - MG","2 x 1","Coritiba - PR","Independência - Belo Horizonte - MG",""
"84","84","9","19/06/2016 - 16:00","Corinthians - SP","3 x 1","Botafogo - RJ","Arena Corinthians - Sao Paulo - SP",""
"85","85","9","19/06/2016 - 11:00","Atlético - MG","3 x 0","Ponte Preta - SP","Independência - Belo Horizonte - MG",""
"86","86","9","19/06/2016 - 11:00","Vitória - BA","1 x 2","Chapecoense - SC","Manoel Barradas - Salvador - BA",""
"87","87","9","19/06/2016 - 16:00","Flamengo - RJ","2 x 2","São Paulo - SP","Mané Garrincha - Brasilia - DF",""
"88","88","9","19/06/2016 - 16:00","Figueirense - SC","3 x 2","Internacional - RS","Orlando Scarpelli - Florianopolis - SC",""
"89","89","9","19/06/2016 - 16:00","Sport - PE","2 x 1","Fluminense - RJ","Ilha do Retiro - Recife - PE",""
"90","90","9","19/06/2016 - 19:00","Grêmio - RS","2 x 0","Cruzeiro - MG","Arena do Grêmio - Porto Alegre - RS",""
"91","91","10","22/06/2016 - 19:30","Chapecoense - SC","0 x 0","Atlético - PR","Arena Condá - Chapeco - SC",""
"92","92","10","22/06/2016 - 19:30","Ponte Preta - SP","0 x 4","Cruzeiro - MG","Moisés Lucarelli - Campinas - SP",""
"93","93","10","22/06/2016 - 21:00","Botafogo - RJ","0 x 0","Figueirense - SC","Mário Helênio - Juiz de Fora - MG",""
"94","94","10","21/06/2016 - 21:30","Palmeiras - SP","2 x 0","América - MG","Allianz Parque - Sao Paulo - SP",""
"95","95","10","22/06/2016 - 21:00","Santa Cruz - PE","0 x 1","Flamengo - RJ","Arruda - Recife - PE",""
"96","96","10","22/06/2016 - 21:45","Fluminense - RJ","2 x 4","Santos - SP","Kleber Andrade - Cariacica - ES",""
"97","97","10","22/06/2016 - 21:45","Atlético - MG","2 x 1","Corinthians - SP","Mineirão - Belo Horizonte - MG",""
"98","98","10","23/06/2016 - 19:15","Grêmio - RS","1 x 2","Vitória - BA","Arena do Grêmio - Porto Alegre - RS",""
"99","99","10","23/06/2016 - 21:00","São Paulo - SP","0 x 0","Sport - PE","Morumbi - Sao Paulo - SP",""
"100","100","10","23/06/2016 - 21:30","Coritiba - PR","1 x 1","Internacional - RS","Couto Pereira - Curitiba - PR",""
"101","101","11","25/06/2016 - 21:00","Corinthians - SP","2 x 1","Santa Cruz - PE","Arena Corinthians - Sao Paulo - SP",""
"102","102","11","25/06/2016 - 19:00","Cruzeiro - MG","2 x 1","Palmeiras - SP","Mineirão - Belo Horizonte - MG",""
"103","103","11","26/06/2016 - 16:00","Vitória - BA","1 x 1","Ponte Preta - SP","Manoel Barradas - Salvador - BA",""
"104","104","11","26/06/2016 - 16:00","Flamengo - RJ","1 x 2","Fluminense - RJ","Arena das Dunas  - Natal - RN",""
"105","105","11","26/06/2016 - 16:00","Santos - SP","3 x 0","São Paulo - SP","Pacaembu - Sao Paulo - SP",""
"106","106","11","26/06/2016 - 16:00","Internacional - RS","2 x 3","Botafogo - RJ","Beira Rio - Porto Alegre - RS",""
"107","107","11","26/06/2016 - 16:00","Atlético - PR","2 x 0","Grêmio - RS","Arena da Baixada - Curitiba - PR",""
"108","108","11","26/06/2016 - 11:00","América - MG","0 x 1","Atlético - MG","Independência - Belo Horizonte - MG",""
"109","109","11","26/06/2016 - 18:30","Figueirense - SC","0 x 0","Coritiba - PR","Orlando Scarpelli - Florianopolis - SC",""
"110","110","11","26/06/2016 - 18:30","Sport - PE","5 x 1","Chapecoense - SC","Ilha do Retiro - Recife - PE",""
"111","111","12","29/06/2016 - 19:30","Vitória - BA","3 x 2","Sport - PE","Manoel Barradas - Salvador - BA",""
"112","112","12","29/06/2016 - 19:30","Grêmio - RS","3 x 2","Santos - SP","Arena do Grêmio - Porto Alegre - RS",""
"113","113","12","29/06/2016 - 21:00","Chapecoense - SC","3 x 2","Cruzeiro - MG","Arena Condá - Chapeco - SC",""
"114","114","12","29/06/2016 - 19:30","Flamengo - RJ","1 x 0","Internacional - RS","Kleber Andrade - Cariacica - ES",""
"115","115","12","29/06/2016 - 21:00","Coritiba - PR","1 x 0","Atlético - PR","Couto Pereira - Curitiba - PR",""
"116","116","12","29/06/2016 - 21:45","São Paulo - SP","2 x 1","Fluminense - RJ","Morumbi - Sao Paulo - SP",""
