"ID","Rodada","CasaID","VisitanteID","PlacarCasa","PlacarVisitante","Resultado"
201233,1,327,266,0,1,"Visitante"
201235,1,344,287,4,1,"Casa"
201239,2,277,294,2,1,"Casa"
201242,2,293,282,1,1,"Empate"
201240,2,283,316,2,2,"Empate"
201237,2,266,344,2,2,"Empate"
201243,2,315,327,3,1,"Casa"
201238,2,276,285,1,2,"Visitante"
201234,1,282,277,1,0,"Casa"
201244,2,303,275,2,1,"Casa"
201241,2,284,262,1,0,"Casa"
201236,2,287,264,3,2,"Casa"
201245,2,292,263,1,1,"Empate"
201246,3,263,293,2,1,"Casa"
201247,3,262,315,2,2,"Empate"
201250,3,282,284,0,3,"Visitante"
201254,3,327,287,1,1,"Empate"
201248,3,264,303,3,0,"Casa"
201255,3,344,283,4,1,"Casa"
201249,3,275,266,2,0,"Casa"
201251,3,285,292,1,0,"Casa"
201252,3,294,276,1,1,"Empate"
201257,4,266,263,1,0,"Casa"
201256,4,287,282,1,1,"Empate"
201258,4,276,275,1,0,"Casa"
201259,4,277,285,0,1,"Visitante"
201261,4,284,294,2,0,"Casa"
201260,4,283,327,1,1,"Empate"
201263,4,315,344,1,1,"Empate"
201265,4,292,264,0,2,"Visitante"
201266,5,263,283,0,1,"Visitante"
201264,4,303,262,1,2,"Visitante"
201262,4,293,316,2,1,"Casa"
201270,5,282,266,1,1,"Empate"
201267,5,262,287,1,0,"Casa"
201269,5,275,284,4,3,"Casa"
201273,5,316,276,1,0,"Casa"
201272,5,294,315,3,4,"Visitante"
201271,5,285,293,1,0,"Casa"
201274,5,327,303,1,2,"Visitante"
201268,5,264,277,1,0,"Casa"
201277,20,266,327,1,0,"Casa"
201281,20,284,264,3,0,"Casa"
201276,5,344,292,0,1,"Visitante"
201279,20,277,282,3,0,"Casa"
201275,20,287,344,2,2,"Empate"
201282,20,293,275,0,1,"Visitante"
201278,20,276,263,0,1,"Visitante"
201287,21,262,284,2,1,"Casa"
201285,20,292,262,1,0,"Casa"
201284,20,303,316,2,0,"Casa"
201289,21,275,303,2,2,"Empate"
201293,21,316,283,1,2,"Visitante"
201283,20,315,285,1,0,"Casa"
201288,21,264,287,2,1,"Casa"
201291,21,285,276,1,1,"Empate"
