AtletaID,Apelido,ClubeID,PosicaoID
36540,Juan,262,3
36612,Zé Roberto,275,2
36940,Oswaldo de Oliveira,282,6
36943,Paulo Autuori,293,6
37245,Guto Ferreira,315,6
37246,Ney Franco,294,6
37281,Mano Menezes,283,6
37306,Gilson Kleina,303,6
37604,Paulo André,293,3
37607,Michel Bastos,275,4
37608,Cristian,284,4
37623,Rafael Marques,267,3
37644,Rodrigo,303,3
37646,Betão,314,3
37652,Carlos Alberto,293,4
37653,Nilmar,277,5
37655,Rafael Moura,282,5
37656,Fábio,283,1
37657,Edu Dracena,275,3
37662,Jonathan,293,2
37673,Alecsandro,294,5
37674,Wagner,267,4
37688,Cícero,276,4
37694,Henrique,283,4
37701,Léo Moura,284,2
37705,Juan,314,4
37718,Arouca,275,4
37770,Marcelo Grohe,284,1
37792,Edinho,294,4
37798,Rafael Sobis,283,5
37840,Gustavo,314,3
37851,Maicosuel,276,4
37919,Luis Fabiano,267,5
37934,Roger Bernardo,282,4
37984,Aranha,303,1
38001,Anderson,265,1
38021,Wendel,303,4
38062,Lugano,276,3
38067,Danilo,264,4
38100,Durval,292,3
38109,Jefferson,263,1
38138,Jô,264,5
38140,Fernando Prass,275,1
38150,Marquinhos,314,4
38162,Fred,282,5
38196,Maicon,284,4
38225,Muriqui,267,5
38229,Fábio Santos,282,2
38230,Grafite,293,5
38246,Robinho,282,5
38277,Thiago Neves,283,4
38279,Wellington Paulista,315,5
38287,Roger,263,5
38311,Márcio Araújo,262,4
38315,Jadson,264,4
38394,Thiago Heleno,293,3
38400,Vinícius Pacheco,314,4
38421,Rafinha,283,4
38431,Diego Cavalieri,266,1
38440,Pierre,266,4
38508,Eder Luis,267,5
38509,Diego Alves,262,1
38523,Edílson,284,2
38530,Cleiton Xavier,287,4
38545,Felipe Melo,275,4
38617,Danilinho,287,5
38632,Matheus Ferraz,292,3
38648,Hernanes,276,4
38748,Maicon,314,2
38768,Andrezinho,267,4
38852,Anderson,294,4
38908,Renato,277,4
38909,Diego,262,4
38910,Ricardo Oliveira,277,5
38913,Nenê,267,4
38928,Dudu Cearense,263,4
38957,Rafael Marques,283,5
39355,Carpegiani,265,6
39572,Renato,266,2
39850,Vagner Mancini,315,6
40006,Abel Braga,266,6
40025,Levir Culpi,277,6
40179,Kleber,294,5
40990,Dorival Júnior,277,6
41218,Magrão,292,1
41327,Vanderlei Luxemburgo,292,6
41363,Alexandre Gallo,287,6
41929,Renato Gaúcho,284,6
42116,Willian,275,5
42140,Felipe Santana,282,3
42145,Egídio,275,2
42213,Fernando Bob,303,4
42222,Osvaldo,292,5
42232,Amaral,315,4
42234,Cássio,264,1
42330,Felipe Garcia,373,1
42411,Cuca,275,6
42499,Bruno,276,2
42500,Fagner,264,2
42501,Rhodolfo,262,3
49673,Júlio César,266,1
49674,Fabrício,293,2
50284,Wilson,294,1
50294,Guilherme,293,4
50301,Everton,262,4
50307,Adilson,282,4
50313,Elicarlos,315,4
50317,David Braz,277,3
50324,Hudson,283,4
50328,Marcelo Oliveira,284,2
50348,Conca,262,4
50362,Lucas,266,2
50369,Carlos Eduardo,287,4
50402,Kayke,277,5
50407,Marquinho,266,4
50408,Breno,267,3
50421,Wesley,276,4
50427,Kadu,303,3
50459,Léo,283,3
50645,Eduardo,265,2
50856,Henrique,266,3
50880,Keirrison,294,5
51042,Apodi,315,2
51299,Emerson Silva,263,3
51318,Leandro Donizete,277,4
51319,Renato Cajá,303,4
51413,Walter,264,1
51415,Roger Carvalho,373,3
51700,Thiago Carleto,294,2
51705,Bruno Rodrigo,284,3
51772,Éverton Ribeiro,262,4
51792,Kanu,287,3
51905,Leandro Salino,287,2
52253,Réver,262,3
52618,Anderson Martins,267,3
52674,Gilson,263,2
52950,Victor,282,1
53669,Lins,303,5
53865,Léo Gamalho,303,5
54395,Elias,282,4
54797,Túlio de Melo,315,5
55348,Luis Ricardo,263,2
55594,Xuxa,303,4
56102,João Paulo,294,4
60780,Vinícius Eutrópio,315,6
60784,Rafael Carioca,282,4
60787,Willians,314,5
60788,Marquinhos,292,5
60802,Bruno Gallo,267,4
60819,Dedé,283,3
60859,Jael,284,5
60969,Patric,287,2
61033,Rodriguinho,264,4
61149,Lucca,303,5
61188,Gilberto,276,5
61211,Carlos Cesar,282,2
61985,Airton,263,4
62009,Camilo,263,4
62024,Edimar,276,2
62047,Jean,275,2
62069,Maikon Leite,265,5
62086,Pará,262,2
62104,Robinho,283,4
62121,Vanderlei,277,1
62128,Walter,373,5
62129,Wellington,267,4
62130,William Matheus,294,2
62136,Marcelo Oliveira,294,6
62974,Werley,294,3
62997,João Paulo,314,2
63000,Victor Ramos,315,3
63013,Marcos Rocha,282,2
63058,Willian Farias,287,4
63110,Alan Ruschel,315,2
63119,Juninho,287,2
63128,Douglas,276,3
63158,Moisés,275,4
63172,Paulão,267,3
63177,Júnior Viçosa,373,5
63219,Luan,282,5
63422,Jucilei,276,4
68690,André,292,5
68693,Armero,265,2
68698,Bruno Silva,263,4
68725,Diego Renan,315,2
68744,Emerson Sheik,303,5
68745,Vecchio,277,4
68749,Everton Heleno,373,4
68758,Fernandinho,284,5
68770,Camacho,264,4
68773,Henrique Almeida,294,5
68784,Júnior Dutra,314,5
68807,Neto Berola,294,5
68808,Nino Paraíba,303,2
68821,Rafael Galhardo,283,2
68827,Renato Chaves,266,3
68834,Rithely,292,4
68873,Paulo Victor,284,1
68884,Klever,373,1
68886,Digão,283,3
68887,Gum,266,3
68893,André Lima,287,5
68895,Wellington Silva,266,5
68896,Ramon,267,2
68901,Rodrigo Pimpão,263,5
68910,Anselmo,292,4
68911,Diego Souza,292,4
68920,Dudu,275,5
68925,Leonardo Silva,282,3
68928,Rafael,283,1
68929,Thiago Ribeiro,277,5
68930,Kieza,287,5
68932,Renan Ribeiro,276,1
68938,Giovanni Augusto,264,4
68950,Ronaldo Alves,292,3
68953,Leandro Damião,262,5
68954,Marquinhos Gabriel,264,4
68958,Wallace Reis ,287,3
68979,Giovanni,282,1
68995,Régis Souza,265,2
69010,João Carlos,303,1
69012,Santos,293,1
69014,Manoel,283,3
69016,Paulinho,373,4
69018,Deivid,293,4
69036,Eduardo,373,2
69047,Paulo Roberto,264,4
69095,Montillo,263,4
69138,Pablo,293,5
69160,Gastón Fernández,284,4
69165,Pablo,264,3
69177,Léo,294,2
69249,Martín Silva,267,1
69282,Lucas Barrios,284,5
69486,Reinaldo Rueda,262,6
69705,Nikão,293,4
70009,Romulo,262,4
70046,Victor Ferraz,277,2
70058,Tiago Real,294,4
70116,Fellipe Bastos,264,4
70132,Alan Santos,294,4
70173,Ederson,262,4
70222,Sidão,276,1
70323,Jorginho,265,6
70526,Rogério Micale,282,6
70581,Fillipe Soutto,287,4
70666,Marllon,303,3
70696,Fábio Carille,264,6
70742,Seijas,315,4
70916,Diogo Barbosa,283,2
70929,Negueba,303,5
70944,Bruno Henrique,275,4
70986,Léo Cittadini,277,4
70987,Pablo Diogo,282,5
71066,Mancuello,262,4
71116,Roberto,315,2
71123,Thiago Mendes,276,4
71162,Vinícius,265,4
71227,Maicon,276,3
71389,Baumjohann,294,4
71479,Lucho González,293,4
71549,Kelvin,267,5
71571,Fernando Miguel,287,1
71631,Weverton,293,1
71704,Manga Escobar,267,5
71709,Cuéllar,262,4
71719,Elton,303,4
71724,Agenor,292,1
71818,Bruno Grassi,284,1
71920,Michel ,284,4
71927,Diego Rosa,373,4
71937,Juninho,265,4
72007,Uillian Correia,287,4
72037,Renan Fonseca,263,3
72079,Bruno Cortez,284,2
72150,Fernandinho,303,2
72168,João Paulo,263,4
72290,Jailson,275,1
72297,Airton ,314,3
72362,Rodrigo Lindoso,263,4
72376,Cléber,277,3
72386,Hernane,265,5
72490,Fred,287,3
72491,Bressan,284,3
72565,Luan,314,4
72595,Mauricio Kozlinski,314,1
72745,Escudero,267,4
72879,Vladimir Hernández,277,5
72893,Eduardo da Silva,293,5
73144,Jorge Mendoza,303,4
73281,Renê Júnior,265,4
73340,Getterson,294,5
73384,Samuel Xavier,292,2
73421,Rafael Vaz,262,3
73446,Éderson,293,5
73513,Maranhão,266,5
73515,Gabriel,262,5
73540,Rogério,292,5
