"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean"
"apodi",51042,"Apodi","315","lat",8.68,3.84545454545455,2.48181818181818,0.61160490780196,11,5.46,2.5,0.545454545454545,2,1.63636363636364,2.27272727272727,0.181818181818182,0.272727272727273,1,0.545454545454545,0,0,0
"arthur",80337,"Arthur ","315","ata",8.66,4.7,4.7,0.807617773243378,11,5.88,3.71666666666667,1.81818181818182,2.09090909090909,0.909090909090909,2,0,0.0909090909090909,2.18181818181818,1.18181818181818,0.363636363636364,0,0
"sidcley",86764,"Sidcley","264","lat",14.47,6.07,4.07,-2.28532397288855,10,5.1,7.525,0.3,0.6,2,2.2,0.1,0,1,0.1,0.1,0,0
"roger-guedes",89898,"Róger Guedes","282","ata",18.04,10.6272727272727,10.6272727272727,1.14490117233627,11,11.9,9.1,2.81818181818182,1.27272727272727,0.818181818181818,2.18181818181818,0.272727272727273,0.272727272727273,3.36363636363636,1.09090909090909,0.727272727272727,0,0
"vinicius-junior",99535,"Vinicius Junior","262","ata",15.93,6.60909090909091,6.60909090909091,-2.73827262140859,11,4.55,9.08,1.72727272727273,0.909090909090909,1.09090909090909,3,0.272727272727273,0.0909090909090909,1.90909090909091,0.545454545454545,0.363636363636364,0,0
"bremer",99817,"Bremer","282","zag",6.26,3.71,2.71,-0.0205807302883811,10,4.61666666666667,2.35,0.3,1.3,2,1.8,0,0,0.4,0.1,0.1,0,0
"thiago-carleto",51700,"Thiago Carleto","293","lat",17.77,7.31666666666667,5.65,1.30534413555473,12,8.46,6.5,2.16666666666667,0.666666666666667,1.25,3.41666666666667,0.25,0.0833333333333333,1.25,0.833333333333333,0.166666666666667,0,0
"serginho",88002,"Serginho","327","mei",16.58,5.34166666666667,5.34166666666667,3.02329473228067,12,7.98571428571428,1.64,1.5,1.5,0.916666666666667,2.5,0.25,0.0833333333333333,1.16666666666667,0.666666666666667,0.333333333333333,0,0
"gustavo-blanco",91191,"Gustavo Blanco","282","mei",19.53,8.86363636363637,8.86363636363637,-2.35507629887897,11,7.13333333333333,10.94,1.63636363636364,2.18181818181818,4.63636363636364,2.27272727272727,0.363636363636364,0.0909090909090909,0.363636363636364,0.454545454545455,0,0,0
"rodriguinho",61033,"Rodriguinho","264","mei",22.06,6.08,6.08,0.924165963505843,10,7.03333333333333,4.65,1.4,1.7,0.5,2.2,0.2,0.3,2.3,0.6,0.5,0,0
"leo-itaperuna",50808,"Léo Itaperuna","217","ata",3.75,1.84545454545455,1.84545454545455,-0.130065393868272,11,2.06,1.66666666666667,0.727272727272727,0.909090909090909,0.545454545454545,0.727272727272727,0.0909090909090909,0,1.18181818181818,0.545454545454545,0,0,0
"guilherme",94207,"Guilherme","315","ata",4.88,1.82,1.82,0.509183770904642,10,2.62,1.02,0.8,0.4,0.4,1.9,0,0.1,1.2,0.5,0.1,0,0
"eder-militao",99424,"Éder Militão","276","lat",13.26,6.36363636363636,4.09090909090909,-0.768873088223526,11,6.83333333333333,6.1875,1,2.18181818181818,2.63636363636364,2.36363636363636,0.0909090909090909,0,1.27272727272727,0.727272727272727,0.0909090909090909,0,0
"david-braz",50317,"David Braz","277","zag",8.7,2.46153846153846,1.30769230769231,-0.100045405467334,13,2.38333333333333,2.52857142857143,0.538461538461538,1,1.30769230769231,1.69230769230769,0,0,0.538461538461538,0.538461538461538,0,0,0
"danilo-fernandes",69051,"Danilo Fernandes","285","gol",10,4.34166666666667,3.50833333333333,-1.37148020833059,12,6.36666666666667,2.31666666666667,0,0,0,0.25,0,0,0.166666666666667,0,0,1.16666666666667,0
"kanu",51792,"Kanu","287","zag",2.18,0.985714285714286,-0.0857142857142857,-0.552552583569708,14,1.35,0.7125,0.5,2.35714285714286,1.07142857142857,0.714285714285714,0,0.214285714285714,0.357142857142857,0.285714285714286,0,0,0
"marquinhos-gabriel",68954,"Marquinhos Gabriel","264","mei",3.63,0.83,0.83,-1.40238313756685,10,-0.375,1.63333333333333,0.6,1.2,0.3,1.4,0,0,1,0.5,0.1,0,0
"leo-cittadini",70986,"Léo Cittadini","277","mei",7.97,2.38181818181818,2.38181818181818,-1.29201553315164,11,1.4,3.2,0.545454545454545,1,1.18181818181818,0.272727272727273,0.0909090909090909,0.0909090909090909,1.09090909090909,0.363636363636364,0,0,0
"lucca",61149,"Lucca","285","ata",8.41,4.20769230769231,4.20769230769231,1.84999249654317,13,6.11428571428571,1.98333333333333,1.23076923076923,1.23076923076923,1,1.53846153846154,0.230769230769231,0,2.23076923076923,0.692307692307692,0.0769230769230769,0,0
