"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","G","I","RB","CA","PE","A","SG","DD","FT","GS","CV","GC"
"1","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/03/17/6d461d0451195bc6232d8e0dbd1cc5d8_FORMATO.png",38632,1,"AME","zag","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/03/17/3d9ef83a1f78786f2014412ea6d66bc0_FORMATO.png",38506,1,"AME","zag","Nulo",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_FORMATO.png",83004,1,"ATL","mei","Provável",16.5,14.81,9.81,16.5,"Atlético-MG",1,2,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,1,"FLA","mei","Provável",0.8,10.89,-4.11,0.8,"Flamengo",3,NA,1,8,NA,1,1,1,5,NA,NA,NA,NA,NA,NA,NA
"5","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2018/03/20/c125fa08820e1bbf4a2640e7108b05d2_FORMATO.png",61033,1,"COR","mei","Provável",16.5,23.08,6.08,16.5,"Corinthians",1,NA,NA,2,2,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA
"6","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/03/17/c92fb62fdff92f23d776e13ffe71e713_FORMATO.png",37655,1,"AME","ata","Provável",5.1,10.4,0.4,5.1,"América-MG",1,NA,1,NA,NA,1,1,NA,4,1,NA,NA,NA,NA,NA,NA
"7","Renan Henrique Oliveira Vieira","renan-oliveira","Renan Oliveira","https://s.glbimg.com/es/sde/f/2018/03/17/5d1966ddb337e155bf00b90eb080a388_FORMATO.png",60822,1,"AME","mei","Nulo",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/03/17/7787fa3ecd62a5111d49080ab527bfe1_FORMATO.png",50401,1,"AME","mei","Nulo",1.2,4.27,-0.73,1.2,"América-MG",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"9","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,1,"AME","mei","Contundido",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,1,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2018/03/20/10d52089593cd93bf39b041d2f84a8ed_FORMATO.png",50361,1,"AME","zag","Provável",6.2,8.4,2.4,6.2,"América-MG",NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"12","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/03/17/da3cd31850e8d5668e2a014fbe7847c3_FORMATO.png",50421,1,"AME","mei","Nulo",-0.5,3.1,-1.9,-0.5,"América-MG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/03/20/9553c277fb201f9f309befb27b0c4841_FORMATO.png",72097,1,"AME","lat","Contundido",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/03/17/5ecf7c4819b775697ebc381145f01283_FORMATO.png",63194,1,"AME","lat","Provável",15.9,14.4,9.4,15.9,"América-MG",NA,1,1,1,1,1,1,NA,2,NA,1,NA,NA,NA,NA,NA
"15","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/03/17/1f23eed160c1e8ba9d4402d6859d4e72_FORMATO.png",60834,1,"AME","ata","Provável",11.7,12.88,5.88,11.7,"América-MG",3,1,2,2,NA,1,5,1,2,1,NA,NA,NA,NA,NA,NA
"16","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2018/03/17/4a6e561bbf1123eb516161678dea131e_FORMATO.png",62137,1,"AME","tec","Provável",10.05,8.99,5.99,10.05,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/03/17/0dc321c764f4ca32447947b34c86167f_FORMATO.png",60788,1,"AME","ata","Nulo",0,7,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Messias Rodrigues da Silva Júnior","messias","Messias","https://s.glbimg.com/es/sde/f/2018/03/17/16371bd074e975b7918c2095443865e4_FORMATO.png",87402,1,"AME","zag","Provável",9.6,9.37,5.37,9.6,"América-MG",1,NA,NA,NA,NA,NA,4,NA,3,NA,1,NA,NA,NA,NA,NA
"19","Ruy Franco de Almeida Junior","ruy","Ruy","https://s.glbimg.com/es/sde/f/2018/03/17/e5c923c2884a22666c9fa588105d9986_FORMATO.png",82939,1,"AME","mei","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Glauco Tadeu Chaves","glauco","Glauco","https://s.glbimg.com/es/sde/f/2018/03/17/e3246102469114723b041fe2dddac1df_FORMATO.png",84555,1,"AME","gol","Nulo",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2018/03/17/8f235fbb0170bc112cf17a2bfaa54499_FORMATO.png",81881,1,"AME","gol","Contundido",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Adilson dos Anjos Oliveira","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/03/17/5ac7a1ff64724f5d36e60c546485f596_FORMATO.png",82381,1,"AME","mei","Provável",2.6,4.55,0.55,2.6,"América-MG",2,NA,NA,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA
