"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","GC","I","PE","RB","SG","FF","FD","G","DD","GS","A","FT","CV","DP","PP"
"1","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,10,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,10,"PAL","zag","Provável",0,5.18,0,1.62,"Palmeiras",1,4,6,1,1,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,10,"FLA","zag","Contundido",0,7.2,0,2.6,"Flamengo",NA,NA,1,NA,NA,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,10,"CRU","tec","Provável",3.42,10.8,-0.22,4.42,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Gilson Kleina","gilson-kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2018/05/24/1d41c49023a010d80f959bd498bb24df_FORMATO.png",37306,10,"CHA","tec","Provável",2.54,7.3,-0.03,3.48,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Wagner Ferreira dos Santos","wagner","Wagner","https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png",37674,10,"VAS","mei","Provável",-3.6,9.17,-0.79,1.99,"Vasco",5,11,12,NA,2,17,5,NA,4,4,2,NA,NA,NA,NA,NA,NA,NA
"7","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,10,"CRU","gol","Provável",1,11.55,-1.14,6.49,"Cruzeiro",NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,14,4,NA,NA,NA,NA,NA
"8","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,10,"ATL","zag","Contundido",0,8.08,0,5.8,"Atlético-PR",1,4,4,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,10,"SPO","mei","Nulo",-0.3,4.07,-0.22,2.4,"Sport",NA,2,2,NA,NA,4,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA
"10","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,10,"GRE","mei","Nulo",0,5.28,0,1.27,"Grêmio",NA,2,1,NA,NA,8,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"11","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,10,"ATL","lat","Nulo",0,9.36,0,4.45,"Atlético-PR",NA,NA,2,NA,NA,4,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"12","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,10,"AME","ata","Nulo",0,12.08,0,5.4,"América-MG",1,13,6,NA,3,16,2,NA,3,4,3,NA,NA,2,NA,NA,NA,NA
"13","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,10,"ATL","lat","Provável",0,5.16,-1.09,3.1,"Atlético-MG",NA,10,2,NA,1,23,12,1,1,1,NA,NA,NA,1,NA,NA,NA,NA
