"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","CV","FD","FT","GC","I","G","A","DD","GS","DP","PP"
"1","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,17,"FLA","zag","Nulo",-1.6,5.74,-1.46,1.55,"Flamengo",1,1,1,1,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,17,"PAL","zag","Nulo",0,5.06,0,1.25,"Palmeiras",2,7,1,12,7,10,2,1,1,1,1,3,NA,NA,NA,NA,NA,NA
"3","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,17,"ATL","zag","Contundido",4.7,7.57,0.32,4.12,"Atlético-PR",2,6,NA,5,11,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"4","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,17,"AME","ata","Nulo",1.2,9.58,0.27,2.57,"América-MG",3,18,4,10,22,3,NA,NA,6,NA,NA,3,3,2,NA,NA,NA,NA
"5","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,17,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,17,"CRU","gol","Nulo",0,9.72,0,3.25,"Cruzeiro",NA,NA,NA,1,6,NA,5,NA,NA,NA,NA,NA,NA,NA,17,13,NA,NA
"7","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,17,"SPO","mei","Nulo",0,4.33,0,2.17,"Sport",1,8,7,8,21,2,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA
"8","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,17,"PAL","gol","Nulo",0,12,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/05/26/26b64322c996fe0f87c76923b389b7b2_FORMATO.png",50324,17,"SAO","mei","Provável",1.9,9.06,-0.38,4.05,"São Paulo",6,32,7,13,20,48,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"10","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,17,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,NA,NA,1,7,NA,2,NA,NA,NA,NA,NA,NA,1,16,16,NA,NA
"11","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,17,"SPO","zag","Nulo",0,6.27,0,6.75,"Sport",NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Wagner Ferreira dos Santos","wagner","Wagner","https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png",37674,17,"VAS","mei","Nulo",0,9.26,0,2.14,"Vasco",6,13,5,20,19,7,NA,NA,5,NA,NA,2,2,NA,NA,NA,NA,NA
"13","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,17,"COR","mei","Nulo",0.5,2.97,-0.56,1.25,"Corinthians",NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,17,"ATL","lat","Provável",6.4,9.36,0,4.12,"Atlético-PR",1,4,NA,3,7,5,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"15","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,17,"GRE","lat","Nulo",0,11.66,0,6.13,"Grêmio",NA,5,NA,8,11,8,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"16","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,17,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,17,"CRU","ata","Nulo",8.3,8.9,0.21,4.81,"Cruzeiro",2,6,12,15,14,10,NA,NA,5,2,NA,2,2,1,NA,NA,NA,NA
"18","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,17,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,17,"BAH","gol","Provável",-1.5,3.27,-0.14,2.55,"Bahia",NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA
"20","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,17,"PAR","mei","Provável",0,2.52,-0.4,0.35,"Paraná",NA,2,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,17,"CRU","tec","Provável",4.46,11.1,0.73,3.79,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,17,"GRE","mei","Nulo",0,5.49,0,1.82,"Grêmio",3,10,5,8,15,11,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA
