"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","I","PE","RB","CV","FT","GC","SG","DD","GS","PP","DP"
"1","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,18,"AME","ata","Nulo",0,9.58,0,2.57,"América-MG",2,3,18,6,4,10,3,3,22,3,NA,NA,NA,NA,NA,NA,NA,NA
"2","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,18,"PAL","zag","Nulo",0,5.06,0,1.25,"Palmeiras",NA,2,7,1,1,12,NA,3,7,10,1,1,1,2,NA,NA,NA,NA
"3","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,18,"CRU","gol","Nulo",0,9.72,0,3.25,"Cruzeiro",NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,5,17,13,NA,NA
"4","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,18,"ATL","lat","Provável",4.2,9.06,-0.3,4.13,"Atlético-PR",3,1,5,NA,NA,3,NA,NA,8,5,NA,NA,NA,4,NA,NA,NA,NA
"5","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,18,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,18,"CRU","tec","Provável",2.27,10.69,-0.41,3.71,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,18,"SPO","mei","Nulo",0,4.33,0,2.17,"Sport",NA,1,8,2,7,8,2,NA,21,2,NA,1,NA,NA,NA,NA,NA,NA
"8","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,18,"ATL","zag","Contundido",0,7.57,0,4.12,"Atlético-PR",NA,2,6,NA,NA,5,1,NA,11,3,NA,NA,NA,4,NA,NA,NA,NA
"9","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/08/07/272c62a282abd56a319bf12b78566c25_FORMATO.png",37245,18,"CHA","tec","Provável",3.6,8.7,-0.55,4.08,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,18,"FLA","zag","Nulo",0,5.74,0,1.55,"Flamengo",NA,1,1,NA,1,1,NA,NA,7,3,NA,NA,NA,1,NA,NA,NA,NA
