"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","FT","G","I","RB","A","PE","CA","SG","DD","GS","GC","CV"
"1","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_FORMATO.png",83004,2,"ATL","mei","Provável",11.3,19.83,5.02,13.9,"Atlético-MG",2,3,4,9,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"2","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,2,"AME","mei","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/03/17/6d461d0451195bc6232d8e0dbd1cc5d8_FORMATO.png",38632,2,"AME","zag","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/03/17/3d9ef83a1f78786f2014412ea6d66bc0_FORMATO.png",38506,2,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/03/17/c92fb62fdff92f23d776e13ffe71e713_FORMATO.png",37655,2,"AME","ata","Dúvida",1.7,9.47,-0.93,3.4,"América-MG",2,1,2,1,NA,NA,1,1,1,5,NA,NA,NA,NA,NA,NA
"6","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,2,"FLA","mei","Provável",0,10.89,0,0.8,"Flamengo",3,NA,1,8,NA,NA,1,1,NA,5,1,NA,NA,NA,NA,NA
"7","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,2,"ATL","mei","Provável",2.3,5.19,-0.81,2.3,"Atlético-MG",2,NA,NA,3,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA
"8","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2018/03/20/10d52089593cd93bf39b041d2f84a8ed_FORMATO.png",50361,2,"AME","zag","Provável",-2.1,6.77,-1.63,2.05,"América-MG",NA,NA,1,NA,NA,NA,NA,1,NA,4,1,1,NA,NA,NA,NA
"9","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/03/17/7787fa3ecd62a5111d49080ab527bfe1_FORMATO.png",50401,2,"AME","mei","Nulo",0,4.27,0,1.2,"América-MG",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"10","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/03/20/08e587e5b70fbd4605dddaf9aaae5281_FORMATO.png",38910,2,"ATL","ata","Provável",14.2,7.65,4.89,6.6,"Atlético-MG",4,NA,3,3,NA,1,3,2,1,4,1,NA,NA,NA,NA,NA
