"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","FD","FF","FT","A","GC","I","DD","GS","PP","DP","CV"
"1","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,23,"CEA","gol","Provável",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,23,"ATL","zag","Nulo",0,7.57,0,4.12,"Atlético-PR",2,6,5,1,11,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,23,"SPO","mei","Nulo",0,4.49,0,1.9,"Sport",1,9,9,2,25,3,NA,2,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/08/07/272c62a282abd56a319bf12b78566c25_FORMATO.png",37245,23,"CHA","tec","Provável",2.62,8.42,0.03,3.51,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,23,"GRE","mei","Provável",3.9,5.8,0.05,2.45,"Grêmio",4,18,14,1,30,15,NA,8,7,NA,2,NA,NA,NA,NA,NA,NA,NA
"6","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,23,"GRE","lat","Provável",0,11.95,0,5.78,"Grêmio",NA,9,11,NA,18,12,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"7","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,23,"CRU","mei","Suspenso",-2,7.97,-0.64,2.14,"Cruzeiro",6,18,16,NA,18,31,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA
"8","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,23,"ATL","lat","Provável",-1.7,8.39,-0.75,4.15,"Atlético-PR",2,9,5,1,17,8,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"9","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,23,"CRU","tec","Provável",2.19,10.75,-0.3,3.67,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,23,"VIT","mei","Contundido",0,2.86,0,0.38,"Vitória",3,7,3,NA,9,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"11","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,23,"PAR","mei","Nulo",3.2,2.91,0.49,0.72,"Paraná",NA,2,3,NA,4,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Wagner Ferreira dos Santos","wagner","Wagner","https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png",37674,23,"VAS","mei","Provável",2.4,9.62,0.46,2.89,"Vasco",7,19,28,4,29,11,NA,7,7,NA,NA,NA,2,NA,NA,NA,NA,NA
"13","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,23,"BAH","gol","Nulo",0,2.84,0,1.92,"Bahia",NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,10,11,NA,NA,NA
"14","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,23,"CEA","mei","Provável",2.7,3.23,0.5,0.13,"Ceará",2,20,5,NA,18,10,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,23,"FLA","zag","Nulo",0,5.74,0,1.55,"Flamengo",1,1,1,NA,7,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,23,"GRE","gol","Provável",8.7,16,0.32,5.03,"Grêmio",1,NA,2,NA,5,NA,11,NA,NA,NA,NA,NA,NA,11,5,NA,NA,NA
"17","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,23,"COR","mei","Nulo",0,2.63,0,0.67,"Corinthians",NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
