"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","I","PE","RB","SG","GC","DD","GS","CV","PP","DP"
"1","Diego Fabián Torres","diego-torres","Diego Torres","https://s.glbimg.com/es/sde/f/2018/08/08/403dbf41c52f6b7063f9a1d999627b58_FORMATO.png",98794,28,"CHA","mei","Provável",0.6,5.63,-0.02,2.27,"Chapecoense",1,2,9,1,4,3,1,2,1,24,6,NA,NA,NA,NA,NA,NA,NA
"2","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/09/03/e0930336daf900b7753094d97c05ff41_FORMATO.png",98765,28,"CHA","mei","Nulo",0,0.99,0,1.55,"Chapecoense",NA,1,2,1,NA,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA
"3","Marcelo Nicolás Benítez","marcelo-benitez","Marcelo Benítez","https://s.glbimg.com/es/sde/f/2018/07/07/e9fe9dcb5968a3169c73bb4550fc9fdb_FORMATO.png",98711,28,"VIT","lat","Nulo",0,5.51,0,4.7,"Vitória",NA,NA,9,1,NA,2,1,NA,NA,12,8,1,NA,NA,NA,NA,NA,NA
"4","Pedro Victor Delmino da Silva","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2018/03/20/647d2f9294de7cfe0e135b44beacdfa9_FORMATO.png",98706,28,"COR","mei","Provável",2.5,4.05,0,2.16,"Corinthians",1,2,22,15,21,37,NA,1,2,72,17,NA,NA,NA,NA,NA,NA,NA
"5","Derlan de Oliveira Bento","derlan","Derlan","https://s.glbimg.com/es/sde/f/2018/07/31/24afd410e27731384e1a8a4db2986220_FORMATO.png",98945,28,"GRE","zag","Nulo",0,1.52,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ánderson Daniel Plata Guillén","plata","Plata","https://s.glbimg.com/es/sde/f/2018/08/15/e5c84107ae73d82ddbf8e716b4feacc7_FORMATO.png",98841,28,"ATL","ata","Contundido",0,4.77,0,2.7,"Atlético-PR",NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,28,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",NA,1,1,NA,1,1,NA,NA,NA,7,3,1,NA,NA,NA,NA,NA,NA
"8","Marcelo dos Santos Rosa","marcelo","Marcelo","https://s.glbimg.com/es/sde/f/2018/05/08/38e74b2d891b77e8bf5e2528f09608c3_FORMATO.png",98874,28,"ATL","ata","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Elias Lira Nogueira Junior ","elias","Elias","https://s.glbimg.com/es/sde/f/2018/09/12/7611a5bada11e1caea4cac58a32db3e8_FORMATO.png",99034,28,"SPO","lat","Nulo",0,2,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Riuler de Oliveira Faustino","riuler","Riuler","https://s.glbimg.com/es/sde/f/2018/05/08/d02df5afc866bff4bd57ec2a89b945d3_FORMATO.png",99021,28,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
