"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","GS","FS","SG","A","FC","FD","FF","G","I","PE","RB","CA","FT","CV","GC"
"1","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,3,"CRU","gol","Provável",0,7.68,0,-0.5,"Cruzeiro",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Marcelo Augusto Oliveira Chamusca","marcelo-chamusca","Marcelo Chamusca","https://s.glbimg.com/es/sde/f/2018/03/15/8575ab3c43af119d65d706a9e1c8e87f_FORMATO.png",37319,3,"CEA","tec","Provável",1.25,4.15,-0.32,2.86,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/01/4453ab9213082aaadb532ea2c41941ea_FORMATO.png",37607,3,"SPO","mei","Nulo",0,5,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/03/02/04627b6d62a4bbd729133e9eabd5b593_FORMATO.png",37245,3,"BAH","tec","Provável",5.8,8.46,0.79,4.64,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,3,"PAL","zag","Provável",0,7.46,0,6,"Palmeiras",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/03/17/c92fb62fdff92f23d776e13ffe71e713_FORMATO.png",37655,3,"AME","ata","Provável",8.8,11.21,1.74,5.2,"América-MG",NA,NA,3,NA,1,6,3,2,1,1,12,2,NA,NA,NA,NA
"7","Gilson Kleina","gilson-kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2018/03/02/86350cc46965a483a2b3f7a6e31cf52a_FORMATO.png",37306,3,"CHA","tec","Provável",5.62,6.25,1.14,3.19,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,3,"FLA","zag","Provável",5,7.83,-0.78,2.75,"Flamengo",NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA
"9","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,3,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,3,"CRU","tec","Provável",4.5,9.01,0.33,2.71,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,3,"ATL","zag","Provável",6.7,8.08,1.09,5.8,"Atlético-PR",NA,NA,4,2,NA,4,NA,NA,NA,NA,3,3,1,NA,NA,NA
"12","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,3,"ATL","lat","Nulo",4.7,9.63,-0.15,5.45,"Atlético-PR",NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"13","Wagner Ferreira dos Santos","wagner","Wagner","https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png",37674,3,"VAS","mei","Provável",0,13,0,6.25,"Vasco",NA,NA,4,NA,NA,2,3,1,1,2,3,2,1,NA,NA,NA
"14","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,3,"GRE","gol","Provável",0,18.65,0,7.85,"Grêmio",2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"15","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2018/03/21/0c565870c992530e8a61a4620fdf8425_FORMATO.png",39850,3,"VIT","tec","Provável",2.82,6.33,0.11,2.18,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/02/07/2579c294b6dea3b9b44c1e0ddbe0a64f_FORMATO.jpeg",37688,3,"GRE","mei","Nulo",0,5.45,-1.65,1.15,"Grêmio",NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA
"17","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,3,"FLU","tec","Provável",3.85,10.21,-0.18,4.3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/04/13/441a4c5211eb67346524c663e768f7b3_FORMATO.png",37694,3,"CRU","mei","Provável",0,11.91,0,5.6,"Cruzeiro",NA,NA,2,NA,NA,2,NA,2,NA,NA,3,7,NA,NA,NA,NA
"19","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2018/03/20/10d52089593cd93bf39b041d2f84a8ed_FORMATO.png",50361,3,"AME","zag","Provável",2,6.79,0.02,2.03,"América-MG",NA,NA,NA,1,NA,NA,NA,2,NA,NA,5,2,1,NA,NA,NA
