"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","A","CV","FD","G","I","FT","DD","DP","GS","GC","PP"
"1","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,30,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,1,1,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,30,"AME","ata","Nulo",-0.8,8.47,-0.43,2.07,"América-MG",3,31,8,14,32,4,NA,2,1,8,5,7,NA,NA,NA,NA,NA,NA
"3","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,30,"ATL","lat","Dúvida",5.2,9.7,0.31,4.31,"Atlético-PR",3,13,1,6,27,11,9,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"4","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,30,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,30,"SPO","mei","Provável",1.1,4.64,0.14,2.61,"Sport",1,15,12,12,31,5,NA,1,NA,3,3,2,2,NA,NA,NA,NA,NA
"6","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,30,"CRU","gol","Provável",10.4,12.02,-0.21,4.41,"Cruzeiro",NA,NA,NA,1,10,NA,8,NA,NA,NA,NA,NA,NA,31,1,18,NA,NA
"7","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,30,"CRU","tec","Provável",7.75,11.66,1.31,3.67,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,30,"PAL","zag","Provável",-0.6,5.04,-1.11,1.47,"Palmeiras",3,10,1,12,10,11,4,NA,1,1,NA,3,1,NA,NA,NA,1,NA
"9","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,30,"ATL","zag","Dúvida",4.7,7.18,-0.1,2.98,"Atlético-PR",5,11,NA,7,24,6,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"10","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,30,"CRU","ata","Nulo",0,7.75,0,3.92,"Cruzeiro",2,6,14,18,20,15,NA,1,NA,6,2,2,2,NA,NA,NA,NA,NA
"11","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,30,"PAR","mei","Contundido",0,2.37,0,0.5,"Paraná",NA,2,1,4,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,30,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,30,"GRE","mei","Nulo",0,5.46,0,2.43,"Grêmio",4,26,10,21,40,20,NA,2,NA,11,1,1,NA,NA,NA,NA,NA,NA
"14","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,30,"COR","mei","Nulo",0,2.55,0,0.5,"Corinthians",NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,30,"CEA","mei","Nulo",-1.4,2.5,-0.51,0.29,"Ceará",2,31,3,9,28,16,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"16","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,30,"VIT","mei","Nulo",-0.9,2.55,-0.4,0.39,"Vitória",3,13,NA,7,13,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"17","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,30,"GRE","lat","Contundido",0,12.33,0,5.75,"Grêmio",NA,11,NA,12,25,19,9,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"18","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,30,"GRE","gol","Contundido",0,13.66,0,4.14,"Grêmio",2,NA,NA,2,5,NA,11,NA,NA,NA,NA,NA,NA,14,NA,9,NA,NA
"19","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,30,"CRU","mei","Provável",4.6,8.63,0.66,2.3,"Cruzeiro",6,19,9,17,18,33,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"20","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,30,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,30,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",1,NA,NA,3,5,NA,4,NA,NA,NA,NA,NA,NA,10,NA,11,NA,NA
"22","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,30,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,NA,NA,1,7,NA,2,1,NA,NA,NA,NA,NA,16,NA,16,NA,NA
"23","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,30,"PAL","gol","Dúvida",0,9.55,0,1.7,"Palmeiras",1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"24","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,30,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",NA,8,2,6,10,7,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"25","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,30,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",NA,8,5,4,8,4,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA
"26","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,30,"BAH","mei","Provável",0,5.1,0.04,2.02,"Bahia",NA,6,3,3,5,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"27","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,30,"CRU","ata","Provável",0,11.91,0,-1.45,"Cruzeiro",1,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,30,"PAL","mei","Provável",-0.5,3.01,-0.16,1.55,"Palmeiras",11,35,9,15,45,36,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA
"29","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,30,"ATL","lat","Nulo",0,4.21,0,1.41,"Atlético-MG",2,32,2,4,49,21,3,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA
"30","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,30,"GRE","mei","Nulo",0,7.02,0,3.22,"Grêmio",3,21,4,14,58,32,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,1
"31","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,30,"SAN","mei","Nulo",0,5.79,0.03,1.18,"Santos",1,4,2,9,18,7,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA
"32","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,30,"GRE","mei","Nulo",0.2,5.08,-0.2,1.43,"Grêmio",1,8,3,11,45,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"33","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,30,"FLA","mei","Nulo",2,9.73,0.79,4.69,"Flamengo",7,29,17,63,74,29,NA,2,1,6,5,8,1,NA,NA,NA,NA,NA
"34","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,30,"AME","zag","Provável",-0.3,6,-1.23,2.94,"América-MG",3,22,2,11,29,34,8,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"35","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,30,"SAO","mei","Nulo",1.2,10.33,-0.06,4.41,"São Paulo",7,23,17,56,90,21,NA,4,NA,10,8,4,3,NA,NA,NA,NA,NA
"36","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,30,"VIT","tec","Provável",3.5,8.65,-0.36,3.24,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,30,"ATL","ata","Provável",1.1,11.79,0.15,5.66,"Atlético-MG",2,40,27,31,38,9,NA,6,NA,24,11,20,2,NA,NA,NA,NA,NA
"38","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,30,"SPO","ata","Nulo",0,3.59,0,1.75,"Sport",1,13,8,15,24,11,NA,1,NA,10,1,6,NA,NA,NA,NA,NA,NA
