"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","G","CV","FD","FT","GC","I","A","DD","GS","DP","PP"
"1","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,31,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,1,1,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,31,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,31,"CRU","tec","Provável",5.23,11.38,-0.28,3.72,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,31,"COR","mei","Nulo",16,5.37,2.82,3.08,"Corinthians",NA,2,NA,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,31,"PAL","zag","Provável",0.5,5.21,0.17,1.41,"Palmeiras",3,10,1,13,10,11,4,NA,1,1,1,1,3,NA,NA,NA,NA,NA
"6","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,31,"SPO","mei","Provável",9.3,6.1,1.46,3,"Sport",1,15,13,12,36,5,NA,3,NA,3,2,NA,2,3,NA,NA,NA,NA
"7","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,31,"ATL","zag","Provável",0,7.18,0,2.98,"Atlético-PR",5,11,NA,7,24,6,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,31,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",1,NA,NA,3,5,NA,4,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA
"9","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,31,"CRU","ata","Nulo",12.2,14.15,2.24,3.1,"Cruzeiro",1,5,NA,4,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"10","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,31,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
