"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","I","SG","GC","FT","G","DD","GS","CV","PP","DP"
"1","Jean Lucas de Souza Oliveira","jean-lucas","Jean Lucas","https://s.glbimg.com/es/sde/f/2018/05/04/df072b66382b41b7f73cd8db00006b61_FORMATO.png",98517,33,"FLA","mei","Nulo",0,1.05,0,-0.08,"Flamengo",1,10,1,6,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Caio Henrique Oliveira Silva","caio-henrique","Caio Henrique","https://s.glbimg.com/es/sde/f/2018/04/24/40342104df0af7d7d4501ca775f4197b_FORMATO.png",98569,33,"PAR","mei","Nulo",0,4.34,0,1.86,"Paraná",2,16,4,21,48,26,3,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,33,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,33,"GRE","lat","Nulo",6.7,11.92,-0.41,5.81,"Grêmio",NA,11,NA,13,26,20,4,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA
"5","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,33,"CRU","mei","Provável",-0.6,8.01,-1.79,2.64,"Cruzeiro",7,21,1,20,23,38,1,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,33,"ATL","zag","Provável",4.5,8.99,1.16,3.43,"Atlético-PR",2,21,1,14,16,11,NA,5,NA,7,1,1,2,NA,NA,NA,NA,NA
"7","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,33,"VIT","mei","Nulo",-0.5,2.51,0.27,0.02,"Vitória",4,17,NA,8,16,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,33,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,NA,1,7,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,33,"GRE","gol","Contundido",0,13.66,0,4.14,"Grêmio",2,NA,NA,2,5,NA,NA,NA,NA,11,NA,NA,NA,14,9,NA,NA,NA
"10","Ronald Sant'anna Rodrigues","ronald","Ronald","https://s.glbimg.com/es/sde/f/2018/04/09/d8829876bb546c5fdeb9d31081f228cf_FORMATO.png",98593,33,"INT","ata","Nulo",0,1,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,33,"ATL","zag","Contundido",0,7.18,0,2.98,"Atlético-PR",5,11,NA,7,24,6,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA
"12","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,33,"CRU","tec","Provável",-0.11,10.57,-0.66,3.61,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,33,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
