"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","A","FC","I","RB","CA","FD","FF","GC","G","CV","FT","PP"
"1","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,34,"CRU","tec","Provável",6.13,11.47,0.9,3.69,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,34,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,34,"CRU","gol","Provável",16.4,12.95,2.82,4.3,"Cruzeiro",37,1,2,22,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,34,"GRE","lat","Provável",0,11.92,0,5.81,"Grêmio",NA,NA,13,NA,26,9,4,11,2,20,NA,NA,NA,NA,NA,NA,NA,NA
"5","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,34,"CRU","mei","Provável",0,8.01,0,2.64,"Cruzeiro",NA,NA,20,NA,23,NA,1,21,NA,38,7,1,10,1,NA,NA,NA,NA
"6","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,34,"GRE","mei","Dúvida",0.4,5.14,0.09,2.18,"Grêmio",NA,NA,22,NA,47,NA,2,28,1,21,4,11,11,NA,1,NA,NA,NA
"7","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,34,"PAL","zag","Provável",0,5.33,0,1.64,"Palmeiras",NA,NA,17,NA,11,4,NA,12,3,12,5,1,2,1,1,1,1,NA
"8","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,34,"ATL","lat","Provável",1,8.93,-0.35,4.05,"Atlético-PR",NA,NA,7,NA,29,10,5,15,NA,12,4,NA,1,NA,1,NA,NA,NA
"9","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,34,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",NA,NA,1,NA,7,1,NA,1,NA,3,1,NA,1,NA,NA,NA,NA,NA
"10","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,34,"AME","ata","Provável",-0.3,8.46,-0.48,2.01,"América-MG",NA,NA,15,NA,35,NA,2,39,11,6,4,9,12,NA,6,1,NA,NA
"11","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,34,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,34,"PAR","mei","Nulo",0,2.37,0,0.5,"Paraná",NA,NA,4,NA,5,NA,NA,2,NA,2,NA,1,1,NA,NA,NA,NA,NA
"13","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,34,"GRE","gol","Contundido",0,13.66,0,4.14,"Grêmio",14,NA,2,9,5,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"14","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,34,"CEA","mei","Provável",-1.8,2.32,-0.99,0.26,"Ceará",NA,NA,13,NA,31,NA,NA,39,1,19,3,1,4,NA,NA,NA,NA,NA
"15","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,34,"CRU","ata","Dúvida",0,7.52,0,4.44,"Cruzeiro",NA,NA,20,NA,22,NA,1,8,2,19,3,7,16,NA,3,NA,3,NA
"16","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,34,"COR","mei","Dúvida",1.4,3.21,-0.45,2.73,"Corinthians",NA,NA,8,NA,1,NA,NA,2,NA,1,NA,3,1,NA,2,NA,NA,NA
"17","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,34,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",16,NA,1,16,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,34,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",NA,NA,6,NA,10,4,NA,8,1,7,NA,NA,2,NA,NA,1,NA,NA
