"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","CA","FT","G","I","SG","GC","DD","GS","CV","PP","DP"
"1","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,35,"PAR","mei","Nulo",0,2.37,0,0.5,"Paraná",2,1,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,35,"CRU","ata","Nulo",0.8,7.75,0.23,4.25,"Cruzeiro",8,7,17,20,22,19,1,3,3,3,2,NA,NA,NA,NA,NA,NA,NA
"3","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,35,"GRE","lat","Dúvida",8.5,12.21,0.29,5.98,"Grêmio",11,NA,1,16,27,21,4,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA
"4","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,35,"CRU","tec","Provável",1.16,10.74,-0.73,3.62,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,35,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,35,"CRU","mei","Provável",0.4,8.03,0.02,2.52,"Cruzeiro",23,1,11,20,26,39,1,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"7","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,35,"GRE","gol","Contundido",0,13.66,0,4.14,"Grêmio",NA,NA,NA,2,5,NA,NA,2,NA,NA,NA,11,NA,14,9,NA,NA,NA
"8","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,35,"SPO","mei","Provável",3.3,5.29,0.27,2.89,"Sport",19,5,17,15,45,9,3,1,3,3,5,NA,NA,NA,NA,NA,NA,NA
"9","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,35,"CEA","mei","Provável",0,2.32,0,0.26,"Ceará",39,1,4,13,31,19,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"10","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,35,"ATL","zag","Contundido",0,7.18,0,2.98,"Atlético-PR",11,NA,NA,7,24,6,NA,5,NA,1,NA,7,NA,NA,NA,NA,NA,NA
"11","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,35,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,NA,1,1,7,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"12","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,35,"VIT","mei","Nulo",0,2.53,0,0.01,"Vitória",18,NA,NA,10,18,12,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"13","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,35,"COR","mei","Provável",-1.3,2.77,-0.44,2.33,"Corinthians",7,3,1,9,2,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
