"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","CV","FF","I","FD","DD","GS","DP","A","FT","GC","PP"
"1","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,36,"ATL","zag","Dúvida",0,7.18,0,2.98,"Atlético-PR",5,11,7,1,24,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,36,"CRU","tec","Provável",5.5,11.37,0.63,3.67,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,36,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",NA,8,6,NA,10,7,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,36,"COR","mei","Provável",0.1,2.95,0.18,2.13,"Corinthians",NA,10,11,2,5,3,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA
"5","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,36,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,1,NA,7,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,36,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",1,NA,3,NA,5,NA,4,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA
"7","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,36,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",2,NA,7,NA,28,NA,11,NA,NA,NA,NA,29,16,1,NA,NA,NA,NA
"8","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,36,"SPO","mei","Provável",7.1,5.95,0.66,3.08,"Sport",1,20,16,4,48,9,NA,NA,17,5,5,NA,NA,NA,3,3,NA,NA
"9","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,36,"BOT","gol","Provável",0,8.15,0,2.46,"Botafogo",NA,NA,1,NA,7,NA,2,NA,NA,NA,NA,16,16,NA,1,NA,NA,NA
"10","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,36,"ATL","mei","Nulo",-1.1,5.73,-0.18,2.55,"Atlético-MG",8,34,29,NA,38,53,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,36,"FLA","mei","Dúvida",8.8,10.6,1.36,4.15,"Flamengo",10,34,78,6,86,30,NA,1,21,8,8,NA,NA,NA,2,1,NA,NA
"12","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,36,"SAN","mei","Nulo",0,5.84,0,1.12,"Santos",1,5,11,1,20,8,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA
"13","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,36,"GRE","mei","Nulo",0,4.72,0,1.04,"Grêmio",1,9,13,2,54,1,NA,NA,3,NA,4,NA,NA,NA,1,NA,NA,NA
"14","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,36,"SAO","mei","Provável",3.4,10.44,-0.38,4.02,"São Paulo",8,27,67,8,100,22,NA,NA,21,7,12,NA,NA,NA,5,3,NA,NA
"15","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,36,"SPO","ata","Nulo",0,2.82,0,1.52,"Sport",2,16,16,1,25,11,NA,NA,8,6,10,NA,NA,NA,1,NA,NA,NA
"16","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,36,"ATL","ata","Provável",-1,11.14,-0.56,4.97,"Atlético-MG",3,48,36,11,41,11,NA,NA,27,23,27,NA,NA,NA,7,2,NA,NA
"17","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,36,"FLA","tec","Provável",6.67,15.95,0.07,5.98,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,36,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",4,1,3,NA,14,NA,4,NA,NA,NA,NA,38,42,2,NA,NA,NA,NA
"19","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,36,"PAL","ata","Nulo",11.1,13.11,1.85,5.21,"Palmeiras",2,45,35,10,30,28,NA,NA,18,7,19,NA,NA,NA,3,3,NA,NA
"20","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,36,"GRE","tec","Provável",1.65,14.89,-1.07,4.76,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,36,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",NA,8,4,1,8,4,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA
"22","Levir Culpi","levir-culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2018/10/19/ae6ff45c9b9c188b0c6fb42f4573451d_FORMATO.png",40025,36,"ATL","tec","Provável",3.82,9.98,-0.31,3.31,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,36,"CRU","lat","Dúvida",0,9.88,0,4.56,"Cruzeiro",4,30,26,NA,90,62,9,NA,7,8,2,NA,NA,NA,1,NA,1,NA
"24","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,36,"SAN","tec","Provável",2.8,10.9,0.07,4.03,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,36,"BAH","lat","Provável",2,3.85,0.51,2.51,"Bahia",1,26,14,NA,41,19,4,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA
"26","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,36,"COR","gol","Provável",7.7,10.86,-0.1,3.55,"Corinthians",4,1,2,NA,14,1,8,NA,NA,NA,NA,35,23,NA,NA,NA,NA,NA
"27","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,36,"ATL","lat","Provável",0,4.54,0,1.19,"Atlético-PR",2,6,8,NA,10,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,36,"CHA","mei","Provável",3.7,4.45,0.9,1.7,"Chapecoense",3,35,11,NA,19,35,NA,NA,5,1,4,NA,NA,NA,NA,NA,NA,NA
"29","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,36,"COR","lat","Provável",-1.1,9.62,-1.86,3.93,"Corinthians",5,18,21,NA,77,35,5,NA,3,NA,2,NA,NA,NA,4,NA,NA,NA
"30","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,36,"FLA","zag","Nulo",8.2,8.02,0.56,3.99,"Flamengo",NA,2,3,NA,8,11,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,36,"SPO","zag","Provável",-0.5,4.58,-0.56,2.36,"Sport",4,17,16,NA,30,29,8,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"32","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,36,"PAL","tec","Provável",10.25,15.66,1.08,5.45,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,36,"VAS","lat","Nulo",0,4.72,0,3.41,"Vasco",2,8,10,1,26,6,2,NA,5,1,5,NA,NA,NA,1,NA,NA,NA
"34","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,36,"FLU","gol","Dúvida",0,7.43,0,3.25,"Fluminense",2,1,9,NA,17,1,12,NA,NA,NA,NA,44,39,NA,NA,NA,NA,NA
"35","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,36,"CHA","mei","Nulo",2.2,6.12,0.07,3.25,"Chapecoense",3,34,41,2,34,41,NA,NA,8,NA,6,NA,NA,NA,NA,NA,NA,NA
"36","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,36,"SAO","mei","Provável",-4,8.95,-1.09,3.34,"São Paulo",5,34,49,5,68,17,NA,NA,8,12,6,NA,NA,NA,6,NA,NA,NA
"37","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,36,"SAO","mei","Dúvida",-2.5,8.65,-1.28,3.72,"São Paulo",10,61,37,1,39,83,NA,NA,21,4,7,NA,NA,NA,NA,NA,NA,NA
"38","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,36,"ATL","mei","Contundido",0,6.8,0,1.68,"Atlético-PR",4,18,19,2,35,7,NA,NA,8,NA,3,NA,NA,NA,1,NA,NA,NA
"39","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,36,"VIT","lat","Nulo",1.7,5.45,-1.05,2.57,"Vitória",NA,5,8,1,13,7,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"40","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,36,"GRE","lat","Nulo",0.4,2.96,-0.35,2.07,"Grêmio",5,23,9,NA,21,18,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"41","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,36,"AME","mei","Nulo",1.4,3.34,-0.1,1.69,"América-MG",4,25,15,2,49,25,NA,NA,5,5,11,NA,NA,NA,NA,NA,NA,NA
"42","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,36,"FLU","ata","Nulo",0,3.13,0,0.27,"Fluminense",2,18,1,NA,10,6,NA,NA,4,4,7,NA,NA,NA,NA,NA,NA,NA
"43","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,36,"PAL","gol","Nulo",0,9.55,0,1.7,"Palmeiras",1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"44","Givanildo José de Oliveira","givanildo-oliveira","Givanildo Oliveira","https://s.glbimg.com/es/sde/f/2018/11/13/0060adc224a8a007641085c7f316e46c_FORMATO.png",39431,36,"AME","tec","Provável",-0.59,7.14,-1.09,1.62,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,36,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,36,"GRE","zag","Nulo",0,7.39,0,4.77,"Grêmio",2,12,16,NA,31,23,7,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA
"47","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,36,"CRU","gol","Provável",0,11.1,0,4.28,"Cruzeiro",NA,NA,2,NA,15,NA,9,NA,NA,NA,NA,39,23,1,NA,NA,NA,NA
"48","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,36,"AME","ata","Provável",0.4,8.64,-1.32,2.2,"América-MG",5,41,17,7,40,7,NA,1,14,11,10,NA,NA,NA,2,NA,NA,NA
