"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","PE","RB","SG","CA","FD","FF","G","I","A","DD","GS","FT","CV","GC","PP","DP"
"1","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,5,"ATL","zag","Provável",0,9.33,0,4.05,"Atlético-PR",3,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,5,"GRE","mei","Provável",2.4,9.02,-2.62,7.22,"Grêmio",4,6,8,9,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,5,"FLA","zag","Contundido",2.3,7.2,-0.63,2.6,"Flamengo",NA,1,5,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,5,"ATL","lat","Provável",1.2,4.54,0.3,1.28,"Atlético-MG",5,8,13,5,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,5,"COR","mei","Nulo",-0.5,6.98,-1.15,1.03,"Corinthians",3,1,7,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,5,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,5,"CEA","ata","Provável",1.6,4.17,-0.83,1.6,"Ceará",NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/03/02/e9caaeeaca6f6814e4b5092423294e48_FORMATO.png",38311,5,"CHA","mei","Provável",-0.4,2.28,-0.66,0.72,"Chapecoense",4,3,7,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/03/20/dcf1263fda5e3c6b655a72d32ff0d6be_FORMATO.png",38162,5,"CRU","ata","Contundido",0,16,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,5,"PAL","gol","Nulo",0,12,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,5,"CRU","mei","Nulo",0,10.56,0,0.23,"Cruzeiro",2,1,13,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,5,"CRU","mei","Provável",7.9,8.33,1.2,3.4,"Cruzeiro",4,5,5,4,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"13","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/04/20/191fa97ef9fa9152ad4a8b2ed77e1eee_FORMATO.png",38287,5,"COR","ata","Dúvida",-1.6,4.61,-1.03,0.05,"Corinthians",3,NA,2,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"14","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/03/02/04627b6d62a4bbd729133e9eabd5b593_FORMATO.png",37245,5,"BAH","tec","Provável",3.07,8.24,0.06,3.8,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,5,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,5,"CHA","ata","Provável",0,10.6,0,3.33,"Chapecoense",9,7,5,2,NA,3,NA,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"17","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,5,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Marcelo Augusto Oliveira Chamusca","marcelo-chamusca","Marcelo Chamusca","https://s.glbimg.com/es/sde/f/2018/03/15/8575ab3c43af119d65d706a9e1c8e87f_FORMATO.png",37319,5,"CEA","tec","Provável",5.73,5.47,1.03,3.23,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
