"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean","status","price_diff","last_points"
"paulo-andre",37604,"Paulo André","293","zag",3.91,0.725,-0.525,-0.149438875119047,4,4.5,-0.533333333333333,0,1.5,0.5,0.5,0,0,0,0,0,0,0,"Provável",0.11,1.7
"evandro",37614,"Evandro","277","mei",5.48,2.93888888888889,2.93888888888889,1.59356385375232,18,4.92222222222222,0.955555555555556,0.555555555555556,1.94444444444444,1.05555555555556,1.27777777777778,0.277777777777778,0.111111111111111,1.72222222222222,0.277777777777778,0.0555555555555556,0,0,"Dúvida",-1.78,2.8
"betao",37646,"Betão","314","zag",3.97,1.91428571428571,0.842857142857143,-0.625980820678795,28,2.20769230769231,1.66,0.142857142857143,0.964285714285714,1.14285714285714,1.78571428571429,0,0,1,0.107142857142857,0,0,0,"Provável",-0.14,0.1
"rafael-moura",37655,"Rafael Moura","290","ata",7.86,3.33181818181818,3.33181818181818,0.701919930816584,22,4.30909090909091,2.35454545454545,1.63636363636364,2.63636363636364,0.363636363636364,1.40909090909091,0.0454545454545455,0.318181818181818,1.18181818181818,1,0.409090909090909,0,0,"Provável",2.89,22.2
"fabio",37656,"Fábio","283","gol",10.35,3.44571428571429,1.73142857142857,0.131503738208508,35,4.55555555555556,2.27058823529412,0,0.0571428571428571,0,0.371428571428571,0,0,0.142857142857143,0,0,1.25714285714286,0.0571428571428571,"Provável",0.42,2
"edu-dracena",37657,"Edu Dracena","275","zag",5.61,3.7,1.7,0.389710274065741,5,4.45,0.7,1,1,1,0.6,0,0,0.6,0.8,0,0,0,"Dúvida",-1.36,-0.3
"jonathan",37662,"Jonathan","293","lat",6.24,4.47142857142857,1.61428571428571,-2.16940178336617,7,3.425,5.86666666666667,0.285714285714286,1,0.857142857142857,1.14285714285714,0,0,0.571428571428571,0,0.142857142857143,0,0,"Nulo",-0.03,4.7
"alecsandro",37673,"Alecsandro","341","ata",4.54,1.14,1.14,0.859927111939233,20,2.41111111111111,0.1,0.95,1.05,0.35,0.95,0,0.35,0.55,0.55,0.1,0,0,"Nulo",0.64,3.5
"cicero",37688,"Cícero","263","mei",10.58,2.5625,2.5625,0.367553459715682,32,3.1625,1.9625,0.71875,1.15625,1.125,1.625,0.03125,0.125,1.8125,0.34375,0.09375,0,0,"Suspenso",-0.63,-1.6
"henrique",37694,"Henrique","283","mei",8.38,3.29090909090909,3.29090909090909,-0.0596168875332659,33,3.4125,3.17647058823529,0.606060606060606,1.57575757575758,2.15151515151515,1.66666666666667,0,0.0303030303030303,2.12121212121212,0.484848484848485,0,0,0,"Provável",0.26,3.7
