"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","I","PE","RB","A","CA","G","SG","CV","DD","DP","GS","PP","GC","FT"
"1","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,15,290,"ata","Nulo",0.1,3.6,-0.32,0.57,"Goiás",4,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alecsandro Barbosa Felisbino","alecsandro","Alecsandro","https://s.glbimg.com/es/sde/f/2019/08/16/4a2c1f65c81e89225ad8cbc89dbf310c_FORMATO.png",37673,15,341,"ata","Provável",0.9,4.36,-0.56,0.86,"CSA",7,3,4,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,15,263,"mei","Suspenso",-3.3,12.18,-0.78,4.56,"Botafogo",7,2,7,36,1,27,18,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"4","Maurício Donizete Ramos Júnior","mauricio-ramos","Maurício Ramos","https://s.glbimg.com/es/sde/f/2019/08/16/019effb07a1b8eb64d39d92e80bdc238_FORMATO.png",42477,15,315,"zag","Provável",5.8,5.49,0.98,3.57,"Chapecoense",4,NA,1,5,NA,5,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"5","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,15,293,"lat","Provável",0,7.3,0,4.32,"Athlético-PR",4,1,NA,3,NA,7,6,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA
"6","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,15,265,"ata","Nulo",0,18.43,0,7.65,"Bahia",7,4,10,6,4,14,8,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"7","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,15,277,"mei","Nulo",0,4.51,-0.16,0.53,"Santos",1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,15,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",3,1,3,2,NA,1,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"9","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,15,282,"mei","Provável",0,6.71,0,3.44,"Atlético-MG",11,NA,1,13,NA,9,14,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,15,290,"tec","Provável",3.04,8.75,0.12,3.21,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
