"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FD","FS","PE","RB","A","CA","FC","FF","FT","GC","I","DD","GS","G","CV","SG","DP","PP"
"1","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,2,284,"lat","Provável",0,7,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Felipe Dias Fonte Mosquete","felipe-mosquete","Felipe Mosquete","https://s.glbimg.com/es/sde/f/2019/03/26/6b0ace75db697f11e8d9bd5d9c4e920e_FORMATO.png",105397,2,290,"gol","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,2,284,"zag","Contundido",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/03/30/2278e80f7f1079a8d5156292e3fe8bef_FORMATO.png",49673,2,284,"gol","Provável",0,6,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,2,284,"tec","Provável",1.53,10.27,-1.2,3.03,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/04/02/74a6e14ea8d6948485a09a674bb1bf31_FORMATO.png",38231,2,284,"ata","Dúvida",-1.2,9.96,-2.53,1.9,"Grêmio",3,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,2,284,"mei","Dúvida",0,11.66,0,6.8,"Grêmio",NA,1,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alan Carlos de Paula Dias Filho","alan","Alan","https://s.glbimg.com/es/sde/f/2019/03/26/4ebe446997649a79d3d0d6f81824f76d_FORMATO.png",105395,2,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Rafael Barbosa dos Santos","rafael-barbosa","Rafael Barbosa","https://s.glbimg.com/es/sde/f/2019/03/26/277c76b8820a7ddb5193448964e883e4_FORMATO.png",105396,2,290,"mei","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Iago Pereira Mendonça","iago-mendonca","Iago Mendonça","https://s.glbimg.com/es/sde/f/2019/03/26/0a85b74cc382e686bc790312c4cd7983_FORMATO.png",105278,2,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Miguel Ferreira Damasceno","figueira","Figueira","https://s.glbimg.com/es/sde/f/2019/03/26/7e19f3b4700aea39ef02fe83399dfc6c_FORMATO.png",102565,2,290,"mei","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Vinícius Lopes da Silva","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/27/5ed5059957839ba01890f61649b417e8_FORMATO.png",104660,2,290,"ata","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,2,284,"ata","Dúvida",1,8.56,0.17,4.05,"Grêmio",2,4,2,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,2,262,"gol","Contundido",0,5,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Felipe dos Reis Pereira Vizeu do Carmo","felipe-vizeu","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2019/04/17/8b7d801745d2cddf31bb8885e947242a_FORMATO.png",94138,2,284,"ata","Dúvida",0,2.77,-1.18,-0.15,"Grêmio",NA,1,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
