"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","DD","GS","FF","CV","DP","A","I","PP","FT","GC"
"1","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,21,293,"lat","Nulo",0,7.3,0,4.32,"Athlético-PR",2,4,1,3,1,7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,21,275,"tec","Provável",8.13,10.46,0.63,3.73,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,21,356,"gol","Dúvida",3.7,3.56,0.96,-0.2,"Fortaleza",1,NA,NA,NA,NA,3,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA
"4","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,21,277,"mei","Nulo",0,5.04,0,1.12,"Santos",NA,6,1,3,NA,8,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"5","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,21,314,"zag","Provável",-0.1,3.92,-1.06,2.41,"Avaí",4,13,NA,19,NA,36,25,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"6","Oswaldo de Oliveira","oswaldo-de-oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2019/08/27/835aad64e86b5c595fe6a647b4ada118_FORMATO.png",36940,21,266,"tec","Provável",2.31,7.18,0.21,3.18,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,21,290,"tec","Provável",5.84,9.44,0.12,3.43,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,21,283,"gol","Provável",16,12.28,2.61,3.51,"Cruzeiro",2,NA,NA,3,NA,8,NA,6,24,24,NA,NA,2,NA,NA,NA,NA,NA
"9","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,21,284,"lat","Provável",-0.9,5.03,-0.66,2.51,"Grêmio",NA,2,NA,7,NA,24,6,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"10","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,21,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",NA,3,1,2,NA,1,4,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
