"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CV","FC","FD","FF","FS","I","PE","RB","CA","G","SG","FT","DD","GS","PP","DP","GC"
"1","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,31,277,"mei","Nulo",0,4.68,0,1.34,"Santos",2,1,21,2,2,16,2,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,31,267,"zag","Suspenso",-5,8.45,-1.85,3.07,"Vasco",1,1,16,2,4,15,2,23,20,9,2,6,NA,NA,NA,NA,NA,NA
"3","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,31,293,"zag","Provável",8.3,2.47,1.22,0.74,"Athlético-PR",NA,NA,16,5,3,11,NA,15,4,5,NA,2,NA,NA,NA,NA,NA,NA
"4","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,31,293,"lat","Contundido",0,9.3,0,2.67,"Athlético-PR",1,NA,9,NA,1,3,NA,18,8,3,1,2,NA,NA,NA,NA,NA,NA
"5","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,31,275,"tec","Provável",1.72,10.07,-0.58,3.99,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,31,341,"lat","Provável",0,7.45,0,4.56,"CSA",NA,NA,18,6,10,21,2,56,39,2,2,8,NA,NA,NA,NA,NA,NA
"7","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png",38315,31,264,"mei","Nulo",0,2.86,0,-0.1,"Corinthians",1,NA,6,1,6,3,NA,21,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"8","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,31,356,"ata","Provável",0,10.77,0,5.03,"Fortaleza",2,NA,45,15,18,34,11,36,8,7,12,NA,2,NA,NA,NA,NA,NA
"9","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,31,263,"gol","Nulo",0,6.35,0,6.31,"Botafogo",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,21,9,NA,NA,NA
"10","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,31,314,"zag","Provável",1,4.11,0.05,1.98,"Avaí",NA,1,18,1,3,27,NA,47,31,6,NA,6,NA,NA,NA,NA,NA,NA
