"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","I","PE","PP","RB","CA","CV","SG","DD","DP","GS","GC"
"1","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,32,282,"ata","Nulo",0,12.31,-0.32,2.63,"Atlético-MG",2,15,9,14,17,1,2,2,11,1,6,NA,NA,NA,NA,NA,NA,NA
"2","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,32,290,"ata","Provável",0,3.19,0,1.28,"Goiás",NA,32,3,12,19,NA,3,4,21,NA,6,3,1,NA,NA,NA,NA,NA
"3","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,32,262,"mei","Nulo",0,4.65,-0.01,1.27,"Flamengo",NA,10,6,8,16,2,NA,NA,27,1,9,5,NA,NA,NA,NA,NA,NA
"4","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,32,277,"mei","Dúvida",0,4.68,0,1.34,"Santos",2,21,2,2,16,NA,NA,2,20,NA,12,NA,1,NA,NA,NA,NA,NA
"5","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,32,314,"zag","Provável",0.1,3.97,-0.14,1.91,"Avaí",NA,20,1,3,28,NA,NA,NA,50,NA,32,6,1,6,NA,NA,NA,NA
"6","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,32,262,"lat","Provável",5.7,13.55,0.5,5.88,"Flamengo",NA,21,1,NA,10,NA,NA,NA,31,NA,40,NA,NA,6,NA,NA,NA,NA
"7","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/09/16/40b7b1cc3de40d354e30d2cf85c1fd24_FORMATO.png",38632,32,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",NA,7,4,3,2,NA,1,1,6,NA,11,1,NA,NA,NA,NA,NA,NA
"8","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,32,276,"mei","Nulo",0,12.79,-0.35,3.34,"São Paulo",4,23,13,15,24,NA,2,1,26,NA,24,4,NA,NA,NA,NA,NA,NA
"9","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,32,275,"mei","Provável",0,7.04,0,2.74,"Palmeiras",1,32,4,14,26,NA,3,1,41,NA,26,7,1,NA,NA,NA,NA,NA
"10","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,32,341,"mei","Nulo",0,2.71,0,0.28,"CSA",NA,10,NA,2,7,NA,NA,NA,12,NA,8,3,NA,NA,NA,NA,NA,NA
"11","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,32,275,"tec","Provável",2.64,10.27,0.2,3.94,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,32,314,"mei","Contundido",0,5.08,0,0.27,"Avaí",1,3,1,6,8,NA,NA,2,34,NA,2,1,NA,NA,NA,NA,NA,NA
"13","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,32,276,"lat","Provável",1.2,15.18,0.63,5.08,"São Paulo",3,31,3,11,27,1,1,3,56,NA,24,4,NA,5,NA,NA,NA,NA
"14","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,32,290,"tec","Provável",1.66,9.45,-0.18,3.65,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2019/10/14/3dae22953d2e8c2aeb64c86e29127080_FORMATO.png",40006,32,283,"tec","Provável",4.44,10.15,-0.09,3.69,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2019/10/15/4210fc1f14796956aaef1b20096062da_FORMATO.png",39850,32,282,"tec","Provável",3.7,7.26,-0.61,3.71,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,32,266,"mei","Provável",0.5,6.22,0.59,2.56,"Fluminense",2,19,5,18,32,NA,3,2,72,NA,15,1,1,NA,NA,NA,NA,NA
"18","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,32,315,"ata","Provável",2,5.08,-0.39,2.11,"Chapecoense",NA,8,5,6,24,NA,NA,NA,10,NA,9,2,NA,NA,NA,NA,NA,NA
"19","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,32,283,"gol","Provável",5,11.13,-2.13,3.76,"Cruzeiro",NA,NA,NA,NA,5,NA,NA,NA,11,NA,NA,2,NA,11,35,2,30,NA
"20","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/08/28/fe269809a0e929e19becd912bd4a29e3_FORMATO.png",38959,32,264,"ata","Nulo",0.8,5.22,0.11,2.28,"Corinthians",NA,29,5,9,33,NA,5,8,33,NA,13,4,NA,NA,NA,NA,NA,NA
"21","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,32,284,"tec","Provável",4.81,13.13,0.43,4.64,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2019/10/04/a6a0d5b8242ab97c304e5febe7e6a675_FORMATO.png",41258,32,354,"tec","Provável",0.47,10.3,-1.01,3.67,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,32,267,"tec","Provável",5.64,8.95,0.99,3.1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
