"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","CV","FF","FT","DD","DP","GS","A","I","GC","PP"
"1","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,33,293,"lat","Contundido",0,7.3,0,4.32,"Athlético-PR",2,4,1,3,1,7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,33,283,"lat","Nulo",0,6.12,0,2.69,"Cruzeiro",2,16,NA,10,NA,26,18,4,2,5,2,NA,NA,NA,NA,NA,NA,NA
"3","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,33,314,"zag","Contundido",0,3.97,0,1.91,"Avaí",6,20,1,28,NA,50,32,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"4","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,33,262,"gol","Nulo",8.2,9.68,1.22,5.37,"Flamengo",NA,NA,NA,4,NA,16,2,13,NA,NA,NA,37,2,20,NA,NA,NA,NA
"5","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,33,267,"zag","Nulo",0,8.45,0,3.07,"Vasco",9,16,2,15,2,23,20,6,1,4,NA,NA,NA,NA,1,2,NA,NA
"6","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,33,314,"zag","Provável",4.7,6.23,0.8,2.01,"Avaí",2,15,NA,7,NA,25,16,2,NA,9,1,NA,NA,NA,NA,1,NA,NA
"7","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,33,290,"tec","Provável",1.55,9.33,-0.12,3.58,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,33,277,"mei","Dúvida",2,4.63,-0.05,1.39,"Santos",NA,25,2,20,NA,21,13,NA,1,3,NA,NA,NA,NA,2,2,NA,NA
"9","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,33,290,"ata","Provável",0.9,3.47,0.28,1.26,"Goiás",3,36,3,20,3,21,6,NA,1,15,NA,NA,NA,NA,NA,4,NA,NA
"10","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,33,341,"lat","Nulo",-2,7.16,-0.36,4.11,"CSA",2,22,6,24,2,59,41,8,NA,11,NA,NA,NA,NA,NA,2,1,NA
