"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","RB","A","SG","DD","DP","GS","FT","CV","PP","GC"
"1","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,6,262,"ata","Nulo",10.5,20.56,0.74,6.8,"Flamengo",2,6,6,9,8,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png",83257,6,262,"ata","Nulo",7.1,15.72,1.34,5.2,"Flamengo",1,2,4,2,7,2,3,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Iago Amaral Borduchi","iago","Iago","https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png",97868,6,285,"lat","Nulo",3.6,9.28,-0.52,3.32,"Internacional",1,7,2,NA,2,NA,1,16,6,1,2,NA,NA,NA,NA,NA,NA,NA
"4","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,6,283,"gol","Provável",2,10.1,0.14,3.6,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,9,NA,NA,NA,NA
"5","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,6,262,"gol","Provável",5,4.2,1.65,0.67,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA
"6","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,6,284,"zag","Contundido",0,14.7,0,3.7,"Grêmio",3,9,NA,NA,4,1,NA,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"7","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,6,264,"gol","Nulo",8.2,8.71,0.1,5.35,"Corinthians",2,NA,NA,NA,2,NA,NA,3,NA,NA,4,8,NA,4,NA,NA,NA,NA
"8","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,6,284,"zag","Provável",10.2,14.06,1.58,6.68,"Grêmio",1,2,NA,2,4,NA,NA,9,17,NA,2,NA,NA,NA,NA,NA,NA,NA
"9","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,6,284,"ata","Provável",7.8,17.31,0.34,6.68,"Grêmio",1,NA,3,4,4,3,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,6,262,"lat","Nulo",9.7,7.72,1.82,3.27,"Flamengo",1,2,1,NA,3,NA,NA,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"11","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,6,285,"ata","Provável",-0.5,15.63,-0.99,3.84,"Internacional",2,3,3,8,6,NA,NA,11,6,NA,NA,NA,NA,NA,2,NA,NA,NA
"12","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,6,283,"zag","Provável",4.2,15.6,0.66,5.72,"Cruzeiro",1,6,NA,2,7,2,NA,16,12,NA,1,NA,NA,NA,NA,NA,NA,NA
