"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FS","PE","RB","FF","SG","G","I","DD","GS","FT","DP","CV","PP","GC"
"1","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,7,262,"lat","Provável",0,7.72,0,3.27,"Flamengo",1,1,2,1,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,7,284,"zag","Provável",-0.5,12.07,-1.99,5.48,"Grêmio",NA,2,3,NA,4,10,18,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,7,284,"zag","Contundido",0,14.7,0,3.7,"Grêmio",NA,3,9,NA,4,3,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","Felipe Fernandes Sousa","felipe-sousa","Felipe Sousa",NA,101861,7,282,"ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png",83257,7,262,"ata","Provável",17.9,18.33,2.61,7.74,"Flamengo",NA,1,2,6,7,13,2,3,NA,4,5,NA,NA,NA,NA,NA,NA,NA
"6","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,7,262,"ata","Provável",0,20.56,0,6.8,"Flamengo",NA,2,6,6,8,7,NA,9,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"7","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,7,264,"gol","Nulo",0,8.71,0,5.35,"Corinthians",NA,2,NA,NA,2,3,NA,NA,4,NA,NA,8,4,NA,NA,NA,NA,NA
"8","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,7,262,"gol","Provável",8,5.26,1.06,2.5,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,5,NA,NA,NA,NA,NA
"9","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,7,264,"lat","Nulo",0,15.29,0,9.9,"Corinthians",2,1,1,1,10,20,14,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,7,282,"zag","Contundido",0,4.88,0,0.33,"Atlético-MG",NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,7,282,"mei","Provável",9.9,8.69,2.02,3.68,"Atlético-MG",1,2,12,2,9,21,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,7,284,"ata","Nulo",0,17.31,0,6.68,"Grêmio",NA,1,NA,3,4,9,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"13","Rafael Elias da Silva","papagaio","Papagaio","https://s.glbimg.com/es/sde/f/2019/03/29/6cce9b5a37d0722657f590f8d01229f4_FORMATO.png",102302,7,282,"ata","Nulo",0,1.45,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/29/188d8189b08f034c67505831cfe67554_FORMATO.png",71162,7,282,"mei","Nulo",3,3.32,0.47,0.35,"Atlético-MG",NA,NA,4,1,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/03/25/6756f079e2e35d2a22e59a73782daa41_FORMATO.png",73896,7,282,"ata","Nulo",-0.5,12.23,-0.72,3.73,"Atlético-MG",1,1,11,3,15,7,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Lucas Cândido Silva","lucas-candido","Lucas Cândido","https://s.glbimg.com/es/sde/f/2018/05/07/19488c44e682165da72638af463246ff_FORMATO.png",84851,7,282,"mei","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Martín Rea Zuccotti","martin-rea","Martín Rea","https://s.glbimg.com/es/sde/f/2018/08/15/112cfc233171e1ce071bc8982b37d432_FORMATO.png",103093,7,282,"zag","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Carlos Gabriel Moreira de Oliviera","hulk","Hulk","https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png",102700,7,282,"lat","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,7,283,"zag","Provável",5.7,15.74,0.14,5.72,"Cruzeiro",NA,1,7,1,7,17,15,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"20","Matheus Mancini","matheus-mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2018/05/07/6f7e5971bc24d9767f330971e875d599_FORMATO.png",80124,7,282,"zag","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,7,282,"mei","Nulo",0,6.73,0,2.93,"Atlético-MG",NA,1,3,NA,3,6,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","Miguel David Terans Pérez  ","terans","Terans","https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png",102878,7,282,"mei","Nulo",0,5,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,7,282,"gol","Contundido",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,7,282,"mei","Provável",0,5.07,0,2.6,"Atlético-MG",NA,1,3,NA,3,8,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/05/07/211b2cfc9413080da0e36bac586628df_FORMATO.png",89226,7,282,"zag","Nulo",0,3.19,0,-1.4,"Atlético-MG",NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2019/05/28/31576151f911825460540e32249a6735_FORMATO.png",89493,7,282,"zag","Provável",5,9.75,0.61,2.72,"Atlético-MG",NA,NA,4,NA,4,11,9,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"27","Michael Matias Fracaro","michael","Michael","https://s.glbimg.com/es/sde/f/2018/05/07/b00362ea5028e43dae1152d78fbf5ccc_FORMATO.png",93659,7,282,"gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/07/16/427506f9f329b3a83b0695351930c35f_FORMATO.png",91702,7,282,"ata","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,7,282,"mei","Contundido",0,9,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2018/05/07/8a0462ed1a379da917d8f4b4fa8cc04a_FORMATO.png",93882,7,282,"gol","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Alessandro Vinícius Gonçalves da Silva","alessandro-vinicius","Alessandro Vinícius","https://s.glbimg.com/es/sde/f/2019/03/30/ffa3db77225e133627999054dd742e50_FORMATO.png",94495,7,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,7,282,"mei","Nulo",0,5.47,0,3.7,"Atlético-MG",NA,1,1,2,1,4,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"33","Fernando Rodrigues Caixeta Barbosa","fernando","Fernando","https://s.glbimg.com/es/sde/f/2018/05/07/f73daae77a916904f7cc997667e506ad_FORMATO.png",97543,7,282,"gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Yimmi Javier Chará Zamora","chara","Chará","https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png",99891,7,282,"ata","Provável",11.8,13.02,1.64,5.95,"Atlético-MG",NA,NA,4,2,9,19,8,5,NA,3,1,NA,NA,1,NA,NA,NA,NA
"35","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2019/02/15/7f94dd0a492218c6dcc1fbc02473637c_FORMATO.png",98765,7,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,7,285,"zag","Provável",11.8,14.61,1.56,5.88,"Internacional",NA,2,7,NA,4,9,19,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Bruno Roberto Pereira da Silva","bruninho","Bruninho","https://s.glbimg.com/es/sde/f/2018/05/17/4db250b451ffbbeb0a3e8ec81fe6023a_FORMATO.png",101716,7,282,"mei","Nulo",0.5,1.69,-0.12,0.85,"Atlético-MG",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,7,285,"ata","Provável",0.7,15.14,-0.49,3.32,"Internacional",NA,2,6,4,6,11,7,8,NA,NA,1,NA,NA,2,NA,NA,NA,NA
"39","Antônio Fialho de Carvalho Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2019/03/30/845cad8021ef58fd85f953cdd5d0fae9_FORMATO.png",103706,7,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
