"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.37","1.68","1.2","275","86","58","284","0.03","1.2","0.86"
"1.1","2.02","1.16","277","92","49","283","-0.73","0.74","0.82"
"1.42","1.08","0.62","285","76","59","356","-0.06","1.28","0.75"
"1.27","0.98","0.31","263","37","55","264","1.07","1","2.11"
"1.28","1.26","0.68","354","55","67","276","1.14","1.41","1.55"
"0.89","2.01","0.83","262","85","63","267","-0.09","0.89","1.05"
"0.81","0.16","-2.91","341",0,"79","266","-0.03","1.27","0.77"
"0.74","0.54","-1.33","314","58","77","315","-0.58","1.09","0.61"
"0.64","0.77","-1.02","290","41","82","265","0.67","1.09","1.45"
"1.15","1.31","0.59","282","71","75","293","0.75","1.59","1.06"
