"team_name","strength","attack","defense","n_games"
"262",1.8,2.29,1.52,62
"284",1.24,2,1.18,62
"264",1.14,1.19,1.85,62
"275",1.03,1.68,1.22,62
"265",0.97,1.24,1.58,62
"277",0.95,1.54,1.25,62
"276",0.86,1.03,1.77,61
"293",0.83,1.62,1.1,62
"285",0.58,1.25,1.2,62
"356",0.17,1.27,0.88,24
"282",0.07,1.19,0.88,62
"263",0,0.99,1.01,62
"267",0,0.9,1.11,62
"354",-0.05,0.88,1.1,61
"266",-0.13,0.92,0.99,62
"290",-0.17,1.1,0.81,24
"341",-0.31,0.94,0.86,24
"283",-0.36,0.72,1.08,62
"315",-0.82,0.65,0.86,62
"314",-1.04,0.63,0.77,24
