"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"rafael-moura",37655,"Rafael Moura","290","ata",6.49,3.17142857142857,3.04285714285714,0,7,0,0,1.71428571428571,3.71428571428571,0.285714285714286,6.14285714285714,0,1.57142857142857,1.14285714285714,0.714285714285714,0.571428571428571,0,"Provável",-2.13,2.5
"jonathan",37662,"Jonathan","293","lat",9.64,3.775,0.65,0,8,0,0,0,0.75,0.5,4.75,0.25,0,0.25,0,0,0,"Provável",0.08,4.1
"cicero",37688,"Cícero","263","mei",4.72,0.366666666666667,0.366666666666667,0,3,0,0,0,0,0.333333333333333,1.33333333333333,0,0,0.333333333333333,0,0,0,"Nulo",-0.08,0.8
"rafael-sobis",37798,"Rafael Sobis","354","ata",5.74,1.6,1.6,0,14,0,0,1.5,0.571428571428571,0.357142857142857,2.35714285714286,0,0.142857142857143,0.142857142857143,0.785714285714286,0,0,"Provável",-0.84,-1.5
"anderson",38001,"Anderson","265","gol",0.76,0.975,0.975,-0.115859501391964,4,1.7,1.1,0,0,0,6.5,0,0,0.25,0,0,1,"Dúvida",-1.89,-7.7
"julio-cesar",38133,"Júlio César","280","gol",4.47,2.28571428571429,-1.42857142857143,0,9,0,0,0,0,0,11.4285714285714,0,0,0,0,0,0.714285714285714,"Provável",0.41,-0.9
"jo",38138,"Jô","264","ata",10.67,3.60769230769231,3.60769230769231,0,13,0,0,1.23076923076923,0.769230769230769,0,4.07692307692308,0.153846153846154,0.230769230769231,1,0.384615384615385,0.307692307692308,0,"Dúvida",-0.25,-0.4
"fernando-prass",38140,"Fernando Prass","354","gol",5.14,3.25625,1.69375,0,16,0,0,0,0.125,0,8.375,0,0,0.0625,0,0,1.4375,"Provável",-0.83,-5.2
"rafinha",38144,"Rafinha","262","lat",6.05,2.6,2.6,0.589378654263228,2,2.6,-0.9,0,1,3,9,0,0,5,0,0,0,"Nulo",-1.63,-0.9
"fred",38162,"Fred","266","ata",3.99,1.59,1.59,0,10,0,0,0.5,1.3,0.1,2.3,0,0.1,1.6,0.1,0.2,0,"Provável",0.84,4.8
"maicon",38196,"Maicon","284","mei",3.51,0.0625,0.0625,0,8,0,0,0.125,1,0.875,4,0,0,0.25,0,0,0,"Provável",0.41,2.7
"fabio-santos",38229,"Fábio Santos","282","lat",6.12,2.1,0.1,0,5,0,0,0,0.8,0.6,1,0,0,0,0,0,0,"Nulo",0.61,4.9
"thiago-neves",38277,"Thiago Neves","292","mei",4.89,2.36,2.36,0,10,0,0,1,0.4,0.4,4.8,0.2,0,0.3,0.6,0.1,0,"Provável",-0.11,3.7
"wellington-paulista",38279,"Wellington Paulista","356","ata",7.75,3.2,3.2,0,15,0,0,1,1.13333333333333,0.266666666666667,2,0.0666666666666667,0.266666666666667,1,0.333333333333333,0.266666666666667,0,"Nulo",-0.84,0.9
"thiago-heleno",38394,"Thiago Heleno","293","zag",5.5,1.79,0.29,0,10,0,0,0.4,1.4,1.2,4.8,0,0,1.1,0.4,0,0,"Provável",0.41,1.9
"diego-cavalieri",38431,"Diego Cavalieri","263","gol",6.76,0.85,-0.025,0,8,0,0,0,0.25,0,7.125,0,0,0,0,0,1,"Nulo",2.62,8.6
"wanderley",38449,"Wanderley","294","ata",3.26,0.5,0.5,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,"Nulo",-0.74,0.5
"leandro-castan",38505,"Leandro Castan","267","zag",12.58,3.83636363636364,2.01818181818182,0,11,0,0,0.0909090909090909,1.18181818181818,2.36363636363636,4.09090909090909,0,0,1.36363636363636,0,0,0,"Nulo",-0.84,-0.6
"diego-alves",38509,"Diego Alves","262","gol",10.72,0.0399999999999999,0.0399999999999999,2.03227970836236,5,2.93333333333333,-6.5,0,0.2,0,4.6,0,0,0.6,0,0,1,"Dúvida",4.14,16.5
"edilson",38523,"Edílson","290","lat",6.94,0.616666666666667,-0.216666666666667,0,6,0,0,0.666666666666667,1.5,0.666666666666667,7.33333333333333,0.166666666666667,0,0.333333333333333,0.5,0,0,"Provável",1.46,7.3
"felipe-melo",38545,"Felipe Melo","275","zag",5.79,0.52,0.52,0,5,0,0,0,1.2,1.8,3.8,0,0,0.6,0,0,0,"Suspenso",-0.67,-0.3
"elton",38588,"Elton","292","ata",10.7,3.525,3.875,2.37598198192305,8,10.7666666666667,-0.64,2.5,1.875,0.25,4.625,0,1.125,0.375,1.125,0.5,0,"Provável",-0.15,-1.2
"matheus-ferraz",38632,"Matheus Ferraz","266","zag",5.46,9.2,4.2,0,2,0,0,0,1,0,3,1,0,0,0,0,0,"Nulo",-1.12,1.1
"hernanes",38648,"Hernanes","276","mei",8.29,4.1,4.1,0,6,0,0,1.33333333333333,2,1.16666666666667,5.66666666666667,0,0,2.16666666666667,0.5,0.333333333333333,0,"Nulo",-0.26,0.8
"filipe-luis",38750,"Filipe Luís","262","lat",7.01,2.60833333333333,1.35833333333333,0,12,0,0,0.333333333333333,1.41666666666667,2.41666666666667,7.83333333333333,0,0.0833333333333333,1.25,0.0833333333333333,0.0833333333333333,0,"Provável",0.83,7.5
"mariano",38877,"Mariano","282","lat",7.98,2.95714285714286,2.24285714285714,0,7,0,0,0.142857142857143,0.714285714285714,2.42857142857143,9.28571428571429,0.142857142857143,0,0.428571428571429,0,0,0,"Dúvida",-1.08,-1.3
"diego",38909,"Diego","262","mei",6.55,1.59166666666667,1.59166666666667,0,12,0,0,0.5,1.83333333333333,0.75,3.75,0.166666666666667,0,2.66666666666667,0.333333333333333,0,0,"Nulo",0.33,8.4
"ricardo-oliveira",38910,"Ricardo Oliveira","294","ata",5.65,-0.6,-0.6,0,2,0,0,0,1,0,1,0,0,0,0,0,0,"Nulo",-0.46,-2
"nene",38913,"Nenê","266","mei",12.9,6.09285714285714,6.09285714285714,0,14,0,0,2.14285714285714,0.571428571428571,0.928571428571429,12,0.0714285714285714,0,1.92857142857143,1.07142857142857,0.5,0,"Provável",-1.81,-0.2
"daniel-alves",38939,"Daniel Alves","276","mei",10.74,4.44444444444444,4.44444444444444,0,9,0,0,1.88888888888889,2.33333333333333,2.55555555555556,11.8888888888889,0,0.333333333333333,2.66666666666667,1.33333333333333,0.222222222222222,0,"Nulo",-0.63,-2.8
"franco",39656,"Franco","282","mei",4.63,2.38461538461539,2.38461538461538,0,13,0,0,0.692307692307692,1.46153846153846,0.846153846153846,4.30769230769231,0,0.0769230769230769,0.923076923076923,0.307692307692308,0.230769230769231,0,"Dúvida",-0.61,-1.5
"willian",42116,"Willian","275","ata",10.24,2.85,3.85,0,14,0,0,1.28571428571429,0.714285714285714,0.428571428571429,1.78571428571429,0.142857142857143,0.357142857142857,1.07142857142857,0.785714285714286,0.285714285714286,0,"Nulo",-0.24,1
