,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.jogos_num,atletas.clube.id.full.name,CA,DS,FC,FD,FF,FS,G,I,PI,A,FT,SG,DD,GS,CV,DP,GC,PP
1,Hyuri Henrique de Oliveira Costa,hyuri,Hyuri,https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png,82758,10,373,ata,Nulo,-2.6,5.53,-0.6,1.13,9,Atlético-GO,1,7,11,1,3,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Luan Sales do Nascimento,luan-sales,Luan Sales,https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png,105521,10,373,lat,Nulo,0,1,0,0,0,Atlético-GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Vagner Carmo Mancini,vagner-mancini,Vagner Mancini,https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png,39850,10,373,tec,Provável,4.37,6.69,0.18,3.45,9,Atlético-GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Matheus de Vargas,matheus-vargas,Matheus Vargas,https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png,87929,10,373,mei,Nulo,-0.7,2.51,-0.74,0.88,5,Atlético-GO,NA,3,4,1,1,5,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jorge de Moura Xavier,jorginho,Jorginho,https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png,77544,10,293,mei,Nulo,0,10.61,0,5.84,5,Athlético-PR,NA,10,5,1,4,8,2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Maurício Kozlinski,mauricio-kozlinski,Maurício Kozlinski,https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png,72595,10,373,gol,Nulo,0,4,0,0,0,Atlético-GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Matheus Cotulio Bossa,matheuzinho,Matheuzinho,https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png,78424,10,373,mei,Nulo,0,4.47,-1.27,2.33,7,Atlético-GO,NA,6,3,NA,5,4,NA,1,17,1,1,NA,NA,NA,NA,NA,NA,NA
8,Leonardo Cittadini,leo-cittadini,Léo Cittadini,https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png,70986,10,293,mei,Nulo,0,13.09,0,3.8,8,Athlético-PR,1,15,12,1,12,15,1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Edson Felipe da Cruz,edson,Edson ,https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png,80370,10,373,mei,Provável,1,8.62,-0.36,4.96,9,Atlético-GO,1,30,19,2,4,20,1,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA
10,Willian Marlon Ferreira Moraes,willian-maranhao,Willian Maranhão,https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png,87262,10,373,mei,Nulo,0,3.05,0,1,3,Atlético-GO,NA,4,NA,NA,NA,1,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Gilvan Souza Correa,gilvan,Gilvan,https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png,82773,10,373,zag,Nulo,4.5,5.47,0.42,2.37,6,Atlético-GO,1,8,8,NA,1,5,NA,NA,11,NA,NA,2,NA,NA,NA,NA,NA,NA
12,Aderbar Melo dos Santos Neto,santos,Santos,https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png,69012,10,293,gol,Nulo,8.4,6.8,1.49,1.3,8,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,1,7,9,NA,NA,NA,NA
13,Lucas Fonseca da Silva,lucas-fonseca,Lucas Fonseca,https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png,80189,10,265,zag,Nulo,0,4.22,0,-0.45,2,Bahia,NA,NA,2,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Keisuke Honda,honda,Honda,https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png,69940,10,263,mei,Provável,-0.9,4.83,-1.26,2.2,6,Botafogo,NA,16,8,1,4,1,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,José Carlos Ferreira Júnior,juninho,Juninho,https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png,92182,10,265,zag,Suspenso,-2,7.93,-0.87,2.5,9,Bahia,NA,15,2,1,1,4,1,1,30,NA,NA,1,NA,NA,1,NA,NA,NA
16,Fernando Buttenbender Prass,fernando-prass,Fernando Prass,https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png,38140,10,354,gol,Provável,3.7,6,0.88,3.74,10,Ceará,1,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,4,13,12,NA,NA,NA,NA
17,Danilo Carvalho Barcelos,danilo-barcelos,Danilo Barcelos,https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png,84382,10,266,lat,Suspenso,-3.7,2.17,-1.06,-2,4,Fluminense,1,5,9,2,1,NA,NA,NA,47,NA,NA,NA,NA,NA,1,NA,NA,NA
18,Roberto Junior Fernández Torres,gatito-fernandez,Gatito Fernández,https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png,74061,10,263,gol,Nulo,0,12.8,0,4.36,7,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,2,10,7,NA,NA,NA,NA
19,Gustavo Henrique Ferrareis,gustavo-ferrareis,Gustavo Ferrareis,https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png,89815,10,373,mei,Provável,1.5,8.68,-0.09,3.34,8,Atlético-GO,1,14,19,2,7,17,1,2,43,1,NA,NA,NA,NA,NA,NA,NA,NA
20,Carlos Gilberto do Nascimento Silva,gil,Gil,https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png,68923,10,264,zag,Nulo,7.9,5.83,1.39,2.1,8,Corinthians,1,14,7,NA,NA,4,NA,NA,37,1,NA,1,NA,NA,NA,NA,NA,NA
21,Michel Custódio Gonçalves de Sousa,michel,Michel,https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png,105809,10,373,zag,Nulo,0,1,0,0,0,Atlético-GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Geuvânio Santos Silva,geuvanio,Geuvânio,https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png,73896,10,293,ata,Nulo,1,5.23,-0.96,2.91,8,Athlético-PR,2,7,12,3,2,7,1,NA,34,2,1,NA,NA,NA,NA,NA,NA,NA
23,Fernando Canesin Matos,fernando-canesin,Fernando Canesin,https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png,81585,10,293,mei,Nulo,0,1.44,0,-0.2,3,Athlético-PR,1,2,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Cássio Roberto Ramos,cassio,Cássio,https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png,42234,10,264,gol,Nulo,-4.8,8.07,-2.31,1.48,9,Corinthians,NA,1,NA,NA,NA,NA,NA,NA,47,NA,NA,1,10,14,NA,NA,NA,NA
25,Matheus Henrique Frizzo,matheus-frizzo,Matheus Frizzo,https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png,106628,10,373,mei,Nulo,0,1.23,0,-0.43,3,Atlético-GO,1,2,3,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Jandrei Chitolina Carniel,jandrei,Jandrei,https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png,86508,10,293,gol,Nulo,0,10.29,0,8.2,1,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,1,NA,NA,NA,NA,NA
27,Odair Marciano de Oliveira Filho,odair,Odair,,108745,10,373,zag,Nulo,0,2,0,0,0,Atlético-GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Luan Guilherme de Jesus Vieira,luan,Luan,https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png,86759,10,264,mei,Nulo,0,7.75,0,3.73,4,Corinthians,NA,4,4,1,2,3,1,NA,24,NA,1,NA,NA,NA,NA,NA,NA,NA
29,Carlos Eduardo Ferreira de Souza,carlos-eduardo,Carlos Eduardo,https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png,90917,10,293,ata,Nulo,2.4,4.53,0.31,1.83,6,Athlético-PR,NA,3,4,NA,2,3,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Vitor Benedito Leque da Silva,vitor,Vitor,,108714,10,373,ata,Nulo,0,1.26,0,1.7,1,Atlético-GO,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,José Ivaldo Almeida Silva,ze-ivaldo,Zé Ivaldo,https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png,91866,10,293,zag,Nulo,0,6.96,0,5.6,1,Athlético-PR,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
32,Danilo Alves da Silva,danilo,Danilo,,107981,10,373,zag,Nulo,0,1,0,0,0,Atlético-GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Alex Roberto Santana Rafael ,alex-muralha,Alex Muralha,https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png,79066,10,294,gol,Nulo,0,5,0,0,0,Coritiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Pedro Guilherme Abreu dos Santos,pedro,Pedro,https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png,94583,10,262,ata,Nulo,0,3.25,-0.61,2.45,8,Flamengo,1,3,8,4,4,2,2,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Wilson Rodrigues de Moura Júnior,wilson,Wilson,https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png,50284,10,294,gol,Provável,-2.6,8.21,-0.26,3.8,10,Coritiba,NA,1,NA,NA,NA,2,NA,NA,90,NA,NA,2,13,12,NA,1,NA,NA
36,Felipe Aguilar Mendoza,aguilar,Aguilar,https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png,95494,10,293,zag,Nulo,0,6.4,0,2.63,3,Athlético-PR,1,8,1,1,1,2,NA,NA,6,NA,NA,1,NA,NA,NA,NA,1,NA
37,Jonathan Cícero Moreira,jonathan,Jonathan,https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png,37662,10,293,lat,Nulo,5.1,9.85,0.98,2.72,5,Athlético-PR,1,3,2,NA,NA,2,NA,NA,24,1,NA,2,NA,NA,NA,NA,NA,NA
38,Matheus Galdezani,matheus-galdezani,Matheus Galdezani,https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png,82634,10,294,mei,Provável,1.7,11.04,-0.24,4.61,10,Coritiba,1,34,8,5,6,21,NA,NA,62,NA,1,NA,NA,NA,NA,NA,NA,NA
