"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","FC","FD","FS","G","GS","PI","SG","DS","FF","DP","I","A","CV","FT","GC","PP"
"1","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,12,373,"gol","Provável",1.8,8.02,0.56,3.42,11,"373",1,15,1,1,1,1,16,75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,12,373,"tec","Provável",2.41,6.65,-0.11,3.45,11,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,12,373,"zag","Provável",2,5.7,-0.92,3.22,8,"373",2,NA,12,NA,6,1,NA,11,2,15,1,NA,NA,NA,NA,NA,NA,NA
"4","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,12,293,"gol","Provável",10.6,7.69,0.89,2.33,9,"293",NA,7,1,NA,NA,NA,9,55,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"5","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,12,373,"ata","Provável",11.9,8.14,2.61,2.21,10,"373",1,NA,11,1,3,2,NA,11,NA,10,5,NA,4,NA,NA,NA,NA,NA
"6","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,12,293,"mei","Provável",1.9,12.35,-0.74,3.59,9,"293",1,NA,13,1,17,1,NA,35,NA,17,12,NA,NA,NA,NA,NA,NA,NA
"7","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,12,293,"mei","Nulo",-0.3,9.53,-1.08,4.82,6,"293",NA,NA,5,1,8,2,NA,30,NA,10,4,NA,NA,NA,NA,NA,NA,NA
"8","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,12,262,"zag","Nulo",0,5.24,0,2.21,7,"Flamengo",NA,NA,9,2,6,NA,NA,32,1,12,1,NA,NA,NA,NA,NA,NA,NA
"9","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,12,373,"mei","Provável",0,8.78,-1.3,3.6,10,"373",1,NA,21,3,19,2,NA,50,NA,14,8,NA,2,1,NA,NA,NA,NA
"10","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,12,293,"ata","Nulo",0.4,5.32,0.24,4.92,6,"293",1,NA,15,4,13,3,NA,24,NA,2,7,NA,3,NA,NA,NA,NA,NA
