"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","G","I","PI","DD","DP","GS","SG","CV","FT","GC","PP"
"1","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,21,293,"ata","Provável",7.9,8.14,-0.97,5.5,15,"293",1,2,10,26,13,14,25,7,10,57,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,21,293,"gol","Provável",3.9,5.67,0.99,0.95,15,"293",NA,NA,NA,1,NA,NA,1,NA,NA,98,9,1,17,3,NA,NA,NA,NA
"3","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,21,373,"mei","Provável",1.8,5.53,-0.37,1.81,17,"373",NA,2,31,22,9,11,15,NA,NA,103,NA,NA,NA,NA,1,1,NA,NA
"4","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,21,264,"tec","Provável",1.25,6.88,0.05,3.25,19,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,21,373,"zag","Nulo",0,3.26,0,0.92,17,"373",NA,3,10,18,1,2,10,NA,NA,71,NA,NA,NA,4,NA,NA,NA,NA
"6","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,21,293,"mei","Provável",2,4.52,-0.06,2.07,13,"293",1,4,30,27,7,10,3,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA
"7","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,21,293,"mei","Provável",2.3,11.97,0.39,3.23,16,"293",NA,3,30,32,6,17,26,2,NA,62,NA,NA,NA,NA,NA,NA,NA,NA
"8","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,21,262,"gol","Nulo",0,3.38,0,1.2,4,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,2,NA,NA,NA,NA
"9","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,21,373,"mei","Provável",1.3,8.13,0.15,2.22,18,"373",1,3,19,29,3,12,35,2,4,83,NA,NA,NA,NA,NA,NA,NA,NA
"10","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,21,293,"ata","Nulo",0,2.83,0,1.04,5,"293",NA,NA,1,3,2,1,2,NA,2,5,NA,NA,NA,NA,NA,1,NA,NA
