"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","GC","I","PI","SG","DD","DP","GS","CV","PP"
"1","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,23,262,"lat","Nulo",0,6.55,0,3.55,15,"Flamengo",1,3,45,20,2,1,17,1,1,1,1,129,3,NA,NA,NA,NA,NA
"2","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,23,293,"zag","Provável",1.1,5.83,-1.87,3.09,15,"293",1,3,16,12,2,9,14,NA,1,1,NA,73,5,NA,NA,NA,NA,NA
"3","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,23,266,"zag","Provável",4.4,5.48,0.02,4.9,3,"266",1,1,3,4,1,NA,1,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA
"4","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,23,275,"zag","Contundido",0,7.76,0,3.73,8,"275",NA,3,24,9,NA,1,8,NA,NA,NA,NA,35,3,NA,NA,NA,NA,NA
"5","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,23,267,"zag","Provável",0.7,11.8,-0.67,2.84,13,"267",NA,2,28,13,1,1,15,NA,NA,NA,NA,51,3,NA,NA,NA,NA,NA
"6","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,23,263,"gol","Nulo",0,5.01,0,0.79,11,"263",NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,73,1,10,1,17,NA,NA
"7","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,23,262,"gol","Nulo",0,7.92,0,1.37,6,"Flamengo",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,28,1,6,NA,7,1,NA
"8","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/11/13/4a17daa520fd623ffa34480bdabdead6_FORMATO.png",38311,23,292,"mei","Dúvida",-1.3,3.47,-0.99,0.67,6,"292",NA,NA,7,6,NA,NA,3,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
"9","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,23,262,"mei","Nulo",0,5.42,0,2.32,13,"Flamengo",2,3,10,17,2,4,31,NA,1,NA,NA,44,NA,NA,NA,NA,NA,NA
"10","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,23,282,"mei","Nulo",0,5.05,0,2.1,16,"282",NA,1,16,26,4,4,14,NA,3,NA,1,58,NA,NA,NA,NA,NA,NA
"11","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,23,264,"tec","Nulo",0,7.52,0,3.32,20,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2020/11/10/0f92efccde1103a2d235bd9cb9fa4deb_FORMATO.png",40006,23,285,"tec","Provável",2.85,9.86,-0.22,2.1,3,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,23,266,"mei","Provável",1.2,12.32,-0.4,5,18,"266",1,2,18,9,6,19,31,NA,7,NA,NA,186,NA,NA,NA,NA,NA,NA
"14","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png",38939,23,276,"mei","Provável",-3.7,9.63,-1.04,1.55,13,"276",1,5,25,32,4,11,21,NA,1,NA,2,149,NA,NA,NA,NA,NA,NA
"15","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,23,276,"mei","Nulo",-0.6,7.09,-0.17,1.82,10,"276",NA,3,9,12,5,4,14,NA,1,NA,NA,30,NA,NA,NA,NA,NA,NA
"16","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,23,284,"tec","Nulo",0,12.74,0,3.89,21,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,23,293,"mei","Nulo",0,5,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,23,275,"ata","Nulo",0,9.82,0,2.94,19,"275",2,NA,6,13,5,12,19,NA,4,NA,7,34,NA,NA,NA,NA,NA,1
"19","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,23,294,"mei","Nulo",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2020/08/07/365a7d563bd584a5940f937c9ed97ea4_FORMATO.png",42411,23,277,"tec","Provável",4.37,10.89,0.17,3.61,23,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,23,264,"gol","Contundido",0,8.25,0,0.69,17,"264",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,123,4,15,NA,25,1,NA
"22","Mariano Ferreira Filho","mariano","Mariano","https://s.glbimg.com/es/sde/f/2020/08/31/50061e6cc612276277686e788cb0ac4c_FORMATO.png",38877,23,282,"lat","Nulo",0,7.98,0,2.64,7,"282",1,1,18,8,1,NA,5,NA,NA,NA,NA,72,1,NA,NA,NA,NA,NA
"23","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,23,293,"lat","Contundido",0,2.88,0,0.18,6,"293",NA,1,6,9,NA,NA,4,NA,NA,NA,1,49,1,NA,NA,NA,NA,NA
"24","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2020/10/01/83becd84fed9fcf027e6ddd95ae3fea7_FORMATO.png",38910,23,294,"ata","Nulo",0,6.37,0,0.24,5,"Coritiba",NA,1,1,6,2,NA,2,1,NA,NA,1,7,NA,NA,NA,NA,NA,NA
"25","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2020/09/24/466b1e0c94a4b7fe9eab500c429d91be_FORMATO.png",54395,23,265,"mei","Nulo",0.7,6.49,-0.38,-0.23,7,"265",NA,2,7,14,NA,4,4,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA
"26","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,23,284,"ata","Nulo",0,9.66,0,3.08,15,"284",1,2,7,20,6,13,16,NA,5,NA,1,79,NA,NA,NA,NA,1,1
"27","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2020/07/20/8da72cb158360ebe2e1e03b6c12b81dd_FORMATO.png",60969,23,292,"lat","Provável",3.5,8.36,0.23,2.83,21,"292",4,2,37,29,2,9,24,1,1,NA,5,189,3,NA,NA,NA,1,NA
"28","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/09/12/25b06b2bbcc0a18b06542144db3ebc75_FORMATO.png",70666,23,264,"zag","Nulo",0,4.7,0,2.2,6,"264",NA,NA,5,5,1,NA,1,NA,NA,NA,NA,10,3,NA,NA,NA,1,NA
"29","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,23,266,"ata","Provável",0.1,3.72,-0.11,2.11,15,"266",1,5,12,9,1,4,27,NA,2,NA,2,39,NA,NA,NA,NA,NA,NA
"30","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,23,266,"lat","Nulo",0,9.3,0,4.22,11,"266",2,NA,43,14,5,1,6,NA,NA,NA,NA,143,1,NA,NA,NA,NA,NA
"31","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2020/09/11/8c1bbc63952b2e050b6b5662f996e79d_FORMATO.png",70916,23,284,"lat","Nulo",0,8.42,0,3.07,16,"284",1,1,34,11,1,6,15,NA,NA,NA,1,103,3,NA,NA,NA,NA,NA
"32","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2020/02/27/874b64215923c64744352951788dc4b4_FORMATO.png",60852,23,285,"lat","Provável",7.5,4.5,1.95,1.63,10,"285",NA,1,18,16,1,NA,5,NA,NA,NA,NA,104,3,NA,NA,NA,NA,NA
"33","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,23,282,"tec","Nulo",0,14.14,0,4.46,21,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
