"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","PI","DD","GS","SG","A","G","CV","GC","DP","I","FT","PP"
"1","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,24,284,"mei","Nulo",2.5,3.39,0.29,0.7,10,"284",1,9,8,3,3,3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2020/11/03/5017d907e4b43c79caf908b5d32626b2_FORMATO.png",37281,24,265,"tec","Provável",1.64,6.97,-0.11,2.95,11,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,24,354,"tec","Provável",7.4,9.9,0.73,3.79,23,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Marcelo Ribeiro Cabo","marcelo-cabo","Marcelo Cabo","https://s.glbimg.com/es/sde/f/2020/11/10/d68199419ff143b307ce4d3ea8cbbbaf_FORMATO.png",37333,24,373,"tec","Provável",0.34,8.43,-0.57,3.56,4,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,24,293,"tec","Provável",2.21,8.31,0.41,3.09,18,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,24,354,"gol","Nulo",0,5.57,0,2.7,21,"354",2,NA,1,NA,NA,2,176,28,32,6,NA,NA,NA,NA,NA,NA,NA,NA
"7","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,24,292,"mei","Provável",0.1,4.37,-0.18,2.21,16,"292",1,5,5,7,8,7,96,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"8","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,24,293,"zag","Suspenso",-5.9,4.69,-1.14,2.53,16,"293",3,16,14,2,9,15,77,NA,NA,5,1,1,1,1,NA,NA,NA,NA
"9","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,24,294,"mei","Provável",0.4,5.57,-1.43,0.4,1,"Coritiba",NA,1,2,NA,NA,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,24,265,"gol","Dúvida",-0.3,0.82,0.06,-1.04,5,"265",NA,NA,NA,NA,NA,1,37,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
