"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CV","DD","FS","GS","PI","SG","CA","DS","FC","FD","FF","G","I","A","FT","DP","GC","PP"
"1","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,28,264,"tec","Nulo",0,8.21,0,3.74,23,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,28,262,"gol","Contundido",0,9.26,0,1.86,9,"Flamengo",1,9,3,11,38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,28,282,"mei","Provável",0,5.22,0,2.19,18,"282",NA,NA,14,NA,63,NA,1,22,27,4,5,3,1,NA,NA,NA,NA,NA
"4","Luis Francisco Grando","chico","Chico","https://s.glbimg.com/es/sde/f/2020/10/29/ad8a8e68f1dce70d212df37ec08ea32a_FORMATO.png",50446,28,290,"zag","Nulo",0,2.8,0,-1.35,2,"290",NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Mauricio Aníbal Isla Isla","isla","Isla","https://s.glbimg.com/es/sde/f/2020/08/28/bfa17ba766cfaa70d4c11c51304fc336_FORMATO.png",69345,28,262,"lat","Provável",3.5,8.91,0,3.49,18,"Flamengo",NA,NA,12,NA,125,4,4,38,23,NA,1,1,6,5,NA,NA,NA,NA
"6","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,28,263,"ata","Provável",3,7.1,0.1,1.68,18,"263",NA,NA,16,NA,72,NA,NA,12,14,4,10,1,3,1,NA,NA,NA,NA
"7","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,28,292,"mei","Provável",7.8,5.84,1.06,2.68,20,"292",NA,NA,10,NA,137,NA,2,9,9,9,11,4,NA,2,NA,NA,NA,NA
"8","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,28,354,"lat","Provável",0,2.86,0,1.22,9,"354",1,NA,5,NA,62,1,1,10,10,1,NA,1,1,NA,1,NA,NA,NA
"9","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,28,264,"gol","Nulo",0,6.52,0,7.17,3,"264",NA,4,NA,NA,25,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2020/02/27/12e542636d28c0dc887fe6ae967dbe52_FORMATO.png",78865,28,285,"mei","Provável",0.3,4.66,-2,1.87,10,"285",NA,NA,9,NA,22,NA,2,14,11,NA,1,1,NA,NA,1,NA,NA,NA
"11","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2020/11/10/0f92efccde1103a2d235bd9cb9fa4deb_FORMATO.png",40006,28,285,"tec","Provável",6.76,11.05,0.51,3.44,8,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
