"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","A","DD","GS","SG","FT","PP","CV","DP","GC"
"1","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,29,290,"ata","Provável",-1.2,5.23,-1.21,1.75,19,"290",6,8,37,6,15,17,6,17,115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,29,266,"ata","Provável",0,4.31,0,2.3,19,"266",6,16,13,1,7,33,3,2,52,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,29,354,"tec","Provável",8.33,10.03,1.18,3.85,28,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Marcelo Ribeiro Cabo","marcelo-cabo","Marcelo Cabo","https://s.glbimg.com/es/sde/f/2020/11/10/d68199419ff143b307ce4d3ea8cbbbaf_FORMATO.png",37333,29,373,"tec","Provável",2.61,8.6,-0.48,3.32,8,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,29,284,"gol","Nulo",8.4,6.84,0.48,4.91,7,"284",NA,NA,NA,NA,NA,NA,NA,NA,46,1,6,5,4,NA,NA,NA,NA,NA
"6","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,29,264,"ata","Nulo",0,10.06,0,2.75,15,"264",NA,NA,13,7,6,18,4,8,64,1,NA,NA,NA,1,1,NA,NA,NA
"7","Leonardo de Matos Cruz","leo-matos","Léo Matos","https://s.glbimg.com/es/sde/f/2020/11/05/c691cbfaec7f0b947c51a8cf861340a1_FORMATO.png",37866,29,267,"lat","Provável",0,5.76,0,2.41,9,"267",5,11,18,4,4,6,1,1,88,1,NA,NA,3,NA,NA,NA,NA,NA
"8","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,29,263,"mei","Nulo",-1,4.19,-0.43,1.53,7,"263",NA,3,NA,NA,2,6,NA,1,14,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,29,293,"tec","Provável",4.08,8.7,-0.41,3.42,23,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,29,293,"lat","Nulo",0,9.38,0,3.49,10,"293",2,9,4,NA,NA,4,NA,NA,52,1,NA,NA,6,NA,NA,NA,NA,NA
