"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","G","I","PI","CA","FT","SG","GC","GS","DD","DP","CV","PP"
"1","Victor Hugo Baptista Mafra","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/11/13/34baa7b12bdf6a2ef09299749bfeae30_FORMATO.png",109326,30,275,"mei","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Gustavo Luis Silva Aguiar","gustavinho","Gustavinho","https://s.glbimg.com/es/sde/f/2020/12/12/8f258c9cac6102644cea3e06dc4416ad_FORMATO.png",107252,30,290,"lat","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Marco Antônio Amorim de Oliveira Montes","marcao","Marcão","https://s.glbimg.com/es/sde/f/2020/12/13/6cf188c290671bdbe31dab76f9bc6be0_FORMATO.png",110775,30,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Isaque Storoli Gavioli","isaque","Isaque","https://s.glbimg.com/es/sde/f/2020/11/18/cefca6722a542a9e72a0dc92197d4752_FORMATO.png",104413,30,282,"zag","Nulo",0,1,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Leandro Matheus dos Anjos Conceição de Oliveira","leandro","Leandro","https://s.glbimg.com/es/sde/f/2020/11/17/72cf2c656a1a49ffafa38dfb958d87cc_FORMATO.jpeg",107222,30,275,"gol","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Maximiliano Ezequiel Zalazar","maxi-salazar","Maxi Salazar","https://s.glbimg.com/es/sde/f/2020/11/24/dd71a83fb1643a92885b65d1a63f4131_FORMATO.png",110689,30,285,"ata","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Emerson Fabiano Kerber Júnior","emerson-junior","Emerson Júnior","https://s.glbimg.com/es/sde/f/2020/11/24/761d9353281e11362a025a163d079687_FORMATO.png",107740,30,285,"gol","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Murilo Gomes Barreto Neto","murilo","Murilo","https://s.glbimg.com/es/sde/f/2020/11/24/2921071a7cd4ff8857a5a839aad0fa4f_FORMATO.png",107755,30,285,"mei","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Gabriel Bernard Conceição da Silva","gabriel-bernard","Gabriel Bernard","",109618,30,373,"gol","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Lázaro Vinicius Marques","lazaro","Lázaro","https://s.glbimg.com/es/sde/f/2020/09/24/37e5fc1f9ead239d4e673aadc291e8db_FORMATO.png",110193,30,262,"ata","Nulo",0,2.35,0,0,1,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
