"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","G","GC","PI","SG","I","DD","GS","FT","DP","PP"
"1","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,32,293,"zag","Provável",0.9,6.16,-0.34,3.07,23,"293",1,3,1,28,18,2,11,20,1,1,116,9,NA,NA,NA,NA,NA,NA
"2","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,32,373,"lat","Provável",3.9,5.17,-0.06,2.28,27,"373",1,3,1,58,29,2,7,30,NA,1,223,6,3,NA,NA,NA,NA,NA
"3","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,32,293,"ata","Provável",2.8,6.41,0.52,3.8,24,"293",4,1,NA,26,26,5,9,31,5,NA,76,NA,2,NA,NA,NA,NA,NA
"4","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,32,293,"lat","Contundido",0,2.88,0,0.18,6,"293",NA,1,NA,6,9,NA,NA,4,NA,NA,49,1,1,NA,NA,NA,NA,NA
"5","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,32,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Danilo Alves da Silva","danilo","Danilo","",107981,32,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,32,373,"lat","Nulo",0,6.25,0,2.65,25,"373",3,1,NA,39,30,6,12,11,NA,NA,269,7,2,NA,NA,NA,NA,NA
"8","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,32,293,"lat","Suspenso",-2.1,8.03,-0.34,2.51,13,"293",1,3,NA,10,5,NA,NA,6,NA,NA,70,6,NA,NA,NA,NA,NA,NA
"9","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,32,373,"zag","Provável",6.6,4.4,0.84,2.64,21,"373",2,8,NA,37,24,1,1,24,NA,NA,74,6,NA,NA,NA,NA,NA,NA
"10","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,32,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,32,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,32,293,"ata","Nulo",0,2.71,0,0.21,15,"293",NA,1,NA,1,8,2,6,9,NA,NA,24,NA,2,NA,NA,NA,NA,NA
"13","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,32,293,"zag","Nulo",0,5.27,-0.1,1.72,9,"293",NA,2,NA,7,6,NA,3,2,NA,NA,29,3,NA,NA,NA,NA,NA,NA
"14","Vitor Benedito Leque da Silva","vitor","Vitor","https://s.glbimg.com/es/sde/f/2021/01/20/a04662c0c16a9801200893034e85e656_FORMATO.png",108714,32,373,"ata","Nulo",-0.5,1.1,-1.21,2.37,4,"373",NA,NA,NA,2,4,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"15","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,32,293,"zag","Nulo",0,5.89,0,2.13,9,"293",NA,1,NA,10,4,1,2,3,NA,1,11,3,NA,NA,NA,NA,NA,NA
"16","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,32,293,"mei","Contundido",0,4.18,0,2.03,17,"293",1,5,NA,42,36,7,13,5,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
"17","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,32,293,"lat","Provável",4.8,5.03,0.36,2.6,15,"293",1,2,NA,23,15,1,3,4,NA,NA,82,5,NA,NA,NA,NA,NA,NA
"18","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,32,373,"zag","Nulo",0,2.46,0,2.16,13,"373",NA,3,NA,10,13,NA,1,7,2,NA,47,3,NA,NA,NA,NA,NA,NA
"19","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,32,264,"gol","Nulo",2.8,7.64,-0.73,1.5,21,"264",NA,1,1,1,1,NA,NA,1,NA,NA,164,6,NA,20,28,NA,NA,NA
"20","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,32,264,"lat","Nulo",1.4,6.56,-0.61,4.94,13,"264",NA,NA,NA,25,10,NA,2,7,1,NA,90,8,NA,NA,NA,NA,NA,NA
"21","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,32,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,32,293,"zag","Nulo",0,3.19,0,1.18,8,"293",1,1,NA,5,9,1,1,4,NA,NA,31,1,NA,NA,NA,NA,NA,NA
"23","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,32,293,"lat","Provável",13.8,11.37,2.51,3.59,26,"293",2,3,NA,44,33,6,9,12,2,NA,239,10,1,NA,NA,NA,NA,NA
"24","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,32,264,"zag","Nulo",4.1,6.57,-0.36,3.31,21,"264",1,2,NA,35,16,1,2,13,1,1,84,7,1,NA,NA,1,NA,NA
"25","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,32,265,"zag","Provável",-0.8,7.17,-0.97,1.93,23,"265",NA,2,1,33,5,2,4,7,1,NA,92,3,1,NA,NA,NA,NA,NA
"26","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,32,282,"ata","Nulo",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,32,293,"ata","Nulo",0,1.99,0,0.42,10,"293",NA,NA,NA,2,7,2,1,3,NA,NA,10,NA,2,NA,NA,1,NA,NA
"28","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,32,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,32,293,"ata","Nulo",2.4,13.1,0.27,4.33,8,"293",1,1,NA,6,15,6,3,17,2,NA,34,NA,1,NA,NA,1,NA,NA
"30","Odair Marciano de Oliveira Filho","odair","Odair","",108745,32,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,32,354,"gol","Nulo",0,5.77,0,2.65,22,"354",NA,2,NA,NA,1,NA,NA,2,NA,NA,181,6,NA,29,33,NA,NA,NA
"32","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,32,293,"mei","Nulo",0,2.45,0,-0.19,11,"293",NA,1,NA,3,9,NA,2,3,NA,NA,32,NA,3,NA,NA,1,NA,NA
"33","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,32,262,"gol","Nulo",0,2.35,0,0.16,5,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,NA,NA,4,NA,NA,NA
"34","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,32,294,"gol","Provável",0.4,8.15,0.61,2.56,31,"Coritiba",NA,NA,NA,1,NA,NA,NA,3,NA,NA,267,8,NA,35,42,NA,1,NA
"35","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,32,265,"mei","Nulo",0.3,12.95,0.03,3.73,18,"265",1,2,NA,13,14,11,10,29,4,NA,92,NA,3,NA,NA,1,NA,NA
"36","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,32,264,"mei","Nulo",-0.7,6.35,-0.5,2.03,15,"264",1,1,NA,14,12,4,8,12,1,NA,88,NA,NA,NA,NA,1,NA,NA
"37","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,32,262,"mei","Provável",0.8,8.68,-0.32,4.21,26,"Flamengo",2,4,NA,38,27,10,17,54,6,NA,202,NA,1,NA,NA,1,NA,NA
"38","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,32,262,"gol","Nulo",0,9.26,0,1.86,9,"Flamengo",NA,NA,1,NA,NA,NA,NA,3,NA,NA,38,2,NA,9,11,NA,NA,NA
"39","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,32,262,"mei","Provável",2.2,7.28,0.3,1.28,26,"Flamengo",NA,4,NA,50,32,2,10,12,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
"40","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,32,293,"ata","Nulo",0,4.57,0,2.37,11,"293",2,4,NA,9,15,7,2,13,1,NA,44,NA,1,NA,NA,1,NA,NA
"41","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,32,293,"mei","Provável",1.1,1.21,0.22,-0.16,11,"293",NA,3,NA,7,7,1,1,3,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"42","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,32,262,"lat","Provável",6.8,7.74,0.17,4.06,23,"Flamengo",2,6,NA,74,36,2,1,28,2,1,213,6,1,NA,NA,1,NA,NA
"43","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,32,262,"zag","Contundido",0,8.75,0,3.23,17,"Flamengo",NA,1,NA,26,16,2,5,12,NA,NA,36,6,NA,NA,NA,NA,NA,NA
"44","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,32,293,"gol","Provável",-3.1,5.45,-0.16,2.29,25,"293",NA,NA,NA,1,1,NA,NA,1,NA,NA,210,8,NA,16,24,NA,3,NA
"45","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,32,262,"mei","Provável",3.4,5.84,0.41,2.35,20,"Flamengo",3,4,NA,21,23,2,6,46,1,NA,76,NA,NA,NA,NA,NA,NA,NA
"46","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,32,373,"gol","Provável",23.2,13.7,2.22,5.51,29,"373",NA,1,NA,1,1,1,1,8,3,NA,248,8,NA,42,33,NA,2,NA
"47","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,32,266,"lat","Nulo",0,3.67,0,0.74,17,"266",2,5,1,27,44,3,5,5,1,NA,244,4,2,NA,NA,NA,NA,NA
"48","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,32,262,"mei","Contundido",0,6.99,0,2.72,12,"Flamengo",2,4,NA,39,26,2,3,7,NA,NA,66,NA,NA,NA,NA,1,NA,NA
"49","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,32,262,"zag","Provável",8.9,6.41,0.5,2.01,17,"Flamengo",NA,4,1,17,22,2,5,7,2,1,45,5,NA,NA,NA,NA,NA,NA
"50","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,32,262,"ata","Nulo",4.3,6.99,0.83,2.52,24,"Flamengo",2,3,NA,26,23,15,16,14,2,NA,110,NA,2,NA,NA,NA,NA,NA
"51","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,32,262,"lat","Nulo",0,5,0,3.38,12,"Flamengo",1,3,NA,24,12,NA,1,8,1,NA,92,4,NA,NA,NA,NA,NA,NA
"52","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,32,265,"zag","Nulo",0,4.57,0,1.82,8,"265",NA,1,NA,8,5,1,1,4,NA,NA,30,2,NA,NA,NA,NA,NA,NA
"53","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,32,264,"tec","Nulo",1.11,7.4,-0.98,3.8,25,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,32,294,"mei","Provável",-1,10.01,-0.44,4.02,21,"Coritiba",1,5,NA,61,28,8,15,40,1,NA,127,NA,1,NA,NA,2,NA,NA
"55","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,32,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,NA,5,3,NA,NA,NA
"56","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,32,262,"zag","Nulo",0,5.1,0,2.26,12,"Flamengo",NA,1,NA,20,15,2,3,9,1,NA,56,1,NA,NA,NA,NA,NA,NA
"57","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,32,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,NA,NA,15,8,1,5,13,2,NA,39,NA,NA,NA,NA,NA,NA,NA
"58","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,32,373,"zag","Nulo",5.9,5.63,1.14,2.08,17,"373",NA,6,NA,20,25,1,3,11,1,NA,22,5,NA,NA,NA,NA,NA,NA
"59","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,32,373,"mei","Nulo",3.7,3.25,0.69,1.14,16,"373",NA,3,1,36,27,2,5,10,NA,NA,41,NA,1,NA,NA,NA,NA,NA
"60","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,32,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,3,NA,NA,NA
"61","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,32,293,"ata","Provável",9.1,8.88,1.67,4.89,25,"293",1,3,NA,15,43,17,19,39,11,NA,90,NA,20,NA,NA,2,NA,NA
"62","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,32,262,"mei","Provável",2.9,9.58,0.35,3.12,25,"Flamengo",2,6,NA,46,53,8,14,90,1,NA,117,NA,4,NA,NA,NA,NA,NA
"63","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,32,373,"zag","Provável",5.6,4.46,0.63,1.34,26,"373",NA,4,NA,23,33,2,4,11,NA,NA,90,7,1,NA,NA,NA,NA,NA
"64","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,32,373,"mei","Provável",1,5.24,0.05,1.62,23,"373",1,4,1,38,27,9,15,17,NA,NA,133,NA,NA,NA,NA,1,NA,NA
"65","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,32,262,"ata","Nulo",0.6,5.77,-0.7,4.08,25,"Flamengo",2,1,NA,6,24,18,13,22,9,NA,46,NA,5,NA,NA,NA,NA,2
"66","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,32,263,"gol","Contundido",0,14.9,0,5.6,8,"263",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,62,3,NA,13,7,NA,NA,NA
