"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","I","PI","SG","G","DD","DP","GS","FT","GC","PP"
"1","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,35,373,"mei","Suspenso",-6.1,1.72,-1.27,0.85,26,"373",1,3,1,19,37,4,15,41,1,90,NA,NA,NA,NA,NA,NA,NA,NA
"2","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2020/03/09/8bf582cd91832a1415dc460fd233c490_FORMATO.png",104580,35,277,"mei","Provável",0,1.23,0,0.75,14,"Santos",NA,4,1,33,20,NA,NA,10,NA,46,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png",104578,35,277,"ata","Nulo",0,2.21,0,0.63,11,"Santos",NA,NA,NA,6,7,2,NA,8,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
"4","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,35,293,"ata","Nulo",0,2.71,0,0.21,15,"293",NA,1,NA,1,8,2,6,9,2,24,NA,NA,NA,NA,NA,NA,NA,NA
"5","Danilo Alves da Silva","danilo","Danilo","",107981,35,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,35,293,"lat","Provável",0.1,8.25,-0.6,2.41,15,"293",1,3,NA,11,9,NA,NA,9,1,84,7,NA,NA,NA,NA,NA,NA,NA
"7","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/11/03/51e9f9ba46d806d46d4d256d45ac95e6_FORMATO.png",101727,35,262,"lat","Nulo",0,2.15,0.03,1.55,11,"Flamengo",1,1,NA,8,5,3,2,2,NA,26,1,NA,NA,NA,NA,NA,NA,NA
"8","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,35,284,"mei","Nulo",0,4.92,0,1.58,13,"284",1,1,NA,13,16,3,2,12,4,45,NA,1,NA,NA,NA,NA,NA,NA
"9","Vitor Benedito Leque da Silva","vitor","Vitor","https://s.glbimg.com/es/sde/f/2021/01/20/a04662c0c16a9801200893034e85e656_FORMATO.png",108714,35,373,"ata","Nulo",0.4,1.39,-0.25,2.47,7,"373",NA,1,NA,4,6,1,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA
"10","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,35,293,"gol","Provável",4.9,6.84,0.12,2.53,28,"293",NA,NA,NA,1,1,NA,NA,1,NA,235,10,NA,19,3,27,NA,NA,NA
