"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CV","DD","FS","GS","PI","SG","CA","DS","FC","FD","FF","FT","G","I","A","GC","DP","PP"
"1","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,38,262,"gol","Nulo",0,8.96,0,2.14,10,"Flamengo",1,9,3,11,41,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,38,293,"mei","Provável",13.3,13.77,1.59,4.04,29,"293",NA,NA,47,NA,102,NA,6,69,54,13,21,1,5,3,NA,NA,NA,NA
"3","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,38,262,"mei","Contundido",0,6.99,0,2.72,12,"Flamengo",NA,NA,7,NA,66,NA,4,39,26,2,3,1,NA,NA,2,NA,NA,NA
"4","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,38,293,"zag","Nulo",5,5.75,0.49,2.34,11,"293",NA,NA,4,NA,11,4,1,11,4,1,2,NA,NA,NA,NA,1,NA,NA
"5","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,38,293,"gol","Provável",9,7.44,1.14,2.55,31,"293",NA,21,2,29,257,11,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA
"6","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,38,373,"mei","Provável",-0.3,2.61,-0.9,1.07,22,"373",1,NA,14,NA,67,NA,5,49,33,2,5,NA,NA,1,NA,NA,NA,NA
"7","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,38,262,"gol","Nulo",0,2.35,0,0.16,5,"Flamengo",NA,NA,NA,4,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,38,373,"gol","Nulo",0,1.39,0,-5.05,2,"373",NA,NA,NA,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,38,373,"zag","Provável",7.6,5.82,0.93,2.13,21,"373",NA,NA,12,NA,26,5,6,21,26,1,4,NA,2,NA,NA,NA,NA,NA
"10","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,38,293,"mei","Nulo",3.8,4.57,0.39,2.13,18,"293",NA,NA,5,NA,58,NA,5,45,36,7,14,NA,NA,NA,1,NA,NA,NA
"11","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,38,262,"lat","Provável",4.4,7.66,-0.45,4.26,29,"Flamengo",NA,NA,37,NA,270,8,7,100,44,2,3,1,2,1,2,1,NA,NA
"12","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,38,262,"mei","Provável",-1.9,4.68,-0.18,1.73,25,"Flamengo",NA,NA,51,NA,93,NA,7,28,39,4,6,NA,1,NA,3,NA,NA,NA
