"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","PI","SG","FD","FS","DD","GS","FF","G","I","FT","CV","GC","DP","PP"
"1","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,6,293,"lat","Nulo",0,10.54,0,2.97,3,"Athlético-PR",1,1,3,1,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Vitor Benedito Leque da Silva","vitor","Vitor",NA,108714,6,373,"ata","Nulo",0,1.26,0,1.7,1,"Atlético-GO",NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Odair Marciano de Oliveira Filho","odair","Odair","",108745,6,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,6,373,"tec","Provável",1.98,5.5,0.18,3.2,5,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Moacir Costa da Silva","moacir","Moacir","https://s.glbimg.com/es/sde/f/2020/02/27/9937a66467916c4528d3b0575c53418f_FORMATO.png",60858,6,373,"mei","Nulo",0,1.71,0,0.38,4,"Atlético-GO",NA,1,6,5,10,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Danilo Alves da Silva","danilo","Danilo","",107981,6,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,6,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,6,373,"mei","Provável",-2.5,1.01,-0.88,-0.55,2,"Atlético-GO",NA,1,2,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,6,293,"gol","Provável",0,5.86,0,0.35,4,"Athlético-PR",NA,NA,NA,NA,26,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA
"10","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,6,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,6,293,"mei","Provável",0,12.95,0,3.96,5,"Athlético-PR",NA,1,9,6,14,NA,1,8,NA,NA,5,1,NA,NA,NA,NA,NA,NA
"12","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,6,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Wendell Maksinczuk Ortega","wendell","Wendell","https://s.glbimg.com/es/sde/f/2020/02/27/f22d57268e40f2e45144a79165d888e7_FORMATO.png",78738,6,373,"gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,6,373,"ata","Provável",1.5,6.97,0.24,2.68,5,"Atlético-GO",NA,NA,6,7,7,NA,1,3,NA,NA,3,1,3,NA,NA,NA,NA,NA
"15","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,6,293,"lat","Nulo",0,3.39,0,-1.4,1,"Athlético-PR",NA,NA,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
