"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FD","FF","FS","G","I","PI","CA","SG","DD","GS","A","CV","FT","DP","GC","PP"
"1","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,9,373,"ata","Nulo",-0.6,6.13,-0.22,1.6,8,"Atlético-GO",7,10,1,3,3,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,9,373,"zag","Provável",-0.8,3.28,-0.29,0.73,8,"Atlético-GO",5,7,1,NA,8,NA,NA,38,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,9,262,"gol","Provável",-2.6,1.56,-0.95,-0.9,3,"Flamengo",NA,NA,NA,NA,1,NA,NA,12,NA,NA,2,5,NA,NA,NA,NA,NA,NA
"4","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,9,293,"gol","Provável",1.6,5.31,0.52,0.29,7,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,40,NA,NA,6,9,NA,NA,NA,NA,NA,NA
"5","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,9,373,"mei","Provável",3,8.98,-1.08,5.46,8,"Atlético-GO",29,14,1,4,17,1,NA,22,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"6","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,9,373,"mei","Dúvida",3.8,3.25,0.67,1.27,4,"Atlético-GO",3,2,1,1,4,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,9,373,"mei","Provável",1.8,8.77,0.33,3.6,7,"Atlético-GO",12,16,2,7,15,1,2,43,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"8","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,9,373,"mei","Nulo",0,3.05,0,1,3,"Atlético-GO",4,NA,NA,NA,1,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,9,373,"mei","Contundido",0.3,5.45,-0.35,2,7,"Atlético-GO",16,10,4,6,7,NA,NA,51,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"10","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,9,373,"gol","Provável",9.4,8.58,2.28,3.14,8,"Atlético-GO",NA,1,1,NA,1,NA,NA,50,1,1,12,11,NA,NA,NA,NA,NA,NA
