"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","PI","SG","PC","DE","GS","FT","G","I","PP","CV","GC","PS","DP"
"1",102130,11,275,"lat","7",8.2,8.49,-0.12,7.73,6,NA,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",1,1,17,2,2,1,7,41,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",87228,11,282,"lat","7",0.8,11.29,-1.87,3.98,6,NA,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2021/05/02/282a160d63e94aaad12311a7c3bbf3f0_FORMATO.png","Atlético-MG",1,4,7,10,1,5,5,42,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",93882,11,280,"gol","7",4,10.02,-0.57,4.4,10,NA,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",NA,2,NA,NA,NA,NA,6,NA,3,1,39,10,NA,NA,NA,NA,NA,NA,NA,NA
"4",94509,11,275,"mei","5",0,15.94,0,6.25,7,NA,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras",3,NA,10,8,4,6,15,48,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA
"5",85004,11,266,"gol","6",0,7,0,0,0,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",96468,11,285,"gol","7",1,7.54,-0.31,3.72,11,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,1,NA,NA,NA,NA,2,NA,3,NA,36,10,NA,NA,NA,NA,NA,NA,NA,NA
"7",37656,11,266,"gol","7",4,10.07,0.71,3.45,11,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA,1,NA,NA,NA,NA,NA,NA,3,NA,38,14,NA,NA,NA,NA,NA,NA,NA,NA
"8",39148,11,282,"ata","7",4.2,20.38,-1.04,8.28,9,NA,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png","Atlético-MG",1,3,4,9,3,13,17,51,NA,NA,NA,NA,2,6,10,NA,NA,NA,NA,NA
"9",42234,11,264,"gol","7",7,12.25,-0.21,6.36,9,NA,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",NA,NA,1,NA,NA,NA,NA,NA,5,NA,36,5,NA,NA,NA,NA,NA,NA,NA,NA
"10",72372,11,286,"gol","6",0,7,0,0,0,NA,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",83257,11,262,"ata","7",0.7,9.43,0.11,2.61,9,NA,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo",NA,3,3,5,3,7,8,41,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA
"12",85425,11,277,"gol","6",0,13.07,-1.01,4.02,11,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA,2,1,NA,NA,NA,2,NA,3,NA,39,10,NA,NA,NA,NA,NA,NA,NA,NA
"13",74061,11,263,"gol","7",0,5.68,0.13,2.38,9,NA,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,1,NA,1,NA,30,14,NA,NA,NA,NA,NA,NA,NA,NA
"14",69012,11,262,"gol","6",0,11,0,0,0,NA,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",88916,11,373,"gol","6",0,5.03,0,2.25,2,NA,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA
"16",88423,11,280,"lat","3",3.8,7.85,-0.02,3.56,7,NA,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino",NA,3,18,21,NA,2,4,58,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"17",82453,11,290,"gol","7",4.5,7.36,0.42,4,11,NA,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,6,NA,2,NA,45,14,NA,NA,NA,NA,NA,NA,NA,NA
"18",71631,11,275,"gol","7",9,12.13,0.47,5.75,8,NA,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,26,5,NA,NA,NA,NA,NA,NA,NA,NA
"19",101708,11,277,"lat","6",1,4.23,0.01,0.4,3,NA,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA,NA,1,1,NA,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",86864,11,327,"lat","7",1.3,3.22,-0.18,1.97,7,NA,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",NA,1,13,8,2,4,10,60,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"21",42500,11,264,"lat","6",0,12,0,0,0,NA,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",90061,11,354,"lat","3",0.2,7.93,-1.38,3.27,9,NA,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",1,3,22,9,2,1,15,78,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"23",90285,11,262,"ata","7",10.3,15.71,1.24,5.99,7,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",1,3,13,11,7,4,19,39,NA,NA,NA,NA,1,1,6,NA,NA,NA,NA,NA
"24",104257,11,1371,"lat","7",9.6,6.86,1.53,2.69,8,NA,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,3,21,9,NA,1,10,88,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"25",68808,11,354,"lat","7",0,6.81,0,2.58,9,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,3,9,6,NA,1,8,56,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"26",90444,11,285,"lat","6",0,5.25,0,0.9,2,NA,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",NA,1,2,1,1,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",104250,11,264,"zag","6",0,6.25,0,3.33,7,NA,"joao-victor","João Victor","J. Victor","João Victor da Silva Marcelino","https://s.glbimg.com/es/sde/f/2022/04/27/f3e5573d52686895a481f6eb2b0189bb_FORMATO.png","Corinthians",NA,2,9,7,NA,1,5,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",89226,11,327,"zag","5",0,7.66,0,4.4,6,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA,1,4,9,NA,1,NA,15,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA
"29",38144,11,276,"lat","7",6.2,9.45,0.68,3.36,10,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",2,3,17,13,NA,1,10,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",90768,11,262,"zag","5",0,7,0,0,0,NA,"fabricio-bruno","Fabrício Bruno","F. Bruno","Fabrício Bruno Soares de Faria","https://s.glbimg.com/es/sde/f/2022/04/25/06fca89445e5f7bb29a42734c5fbb2e0_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",91573,11,276,"zag","2",0,6.24,0,2.78,6,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,NA,10,7,2,3,3,25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"32",110506,11,275,"tec","7",7.71,13.19,0.04,6.86,10,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",71684,11,275,"zag","7",0,16.64,0,7.63,6,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA,3,6,3,1,4,4,27,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA
"34",71071,11,282,"tec","7",4.14,12.32,-0.1,5.48,10,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",98484,11,263,"zag","7",2.6,3.65,-0.03,1.94,10,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA,2,12,7,1,4,6,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",95794,11,282,"zag","7",0,8.41,0,4.07,6,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png","Atlético-MG",NA,5,9,14,1,2,2,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",80692,11,275,"zag","6",6.5,7.78,0.33,6.67,3,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",NA,NA,6,9,NA,NA,4,14,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"38",97867,11,280,"zag","7",2.6,11.25,-0.7,6.64,5,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",NA,NA,10,3,NA,1,3,32,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"39",91708,11,266,"zag","2",0,13.3,0,4.6,7,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,1,10,4,1,2,13,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",89274,11,262,"mei","2",8.5,7.19,1.02,3.33,10,NA,"andreas-pereira","Andreas Pereira","A. Pereira","Andreas Hugo Hoelgebaum Pereira","https://s.glbimg.com/es/sde/f/2022/04/25/f1b80901d66489365ffcdbed4c29a086_FORMATO.png","Flamengo",1,2,10,12,3,9,6,78,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"41",87863,11,262,"mei","7",0,19.33,0,9.07,7,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://s.glbimg.com/es/sde/f/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png","Flamengo",3,NA,22,4,4,6,22,81,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA
"42",95638,11,356,"zag","2",6,6.67,1.01,2.24,9,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",NA,1,12,9,3,1,9,34,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",87999,11,275,"mei","7",6.1,11.25,-1.81,7.74,9,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",5,NA,8,3,11,16,19,73,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"44",63289,11,285,"mei","7",0,10.18,0,3.23,9,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",1,3,13,8,2,7,8,41,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
