"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","FT","G","I","PI","PP","CA","DE","GS","SG","PC","CV","GC","PS","DP"
"1",94509,12,275,"mei","5",0,15.94,0,6.25,7,NA,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras",3,10,8,4,6,15,1,1,1,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",85425,12,277,"gol","7",0,13.07,0,4.02,11,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,39,10,3,NA,NA,NA,NA,NA
"3",37656,12,266,"gol","7",8,10.82,0.75,3.83,12,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,14,4,NA,NA,NA,NA,NA
"4",85004,12,266,"gol","6",0,7,0,0,0,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",74061,12,263,"gol","7",7,6.89,1.21,2.84,10,NA,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,32,14,2,NA,NA,NA,NA,NA
"6",39148,12,282,"ata","7",2.7,19.8,-0.58,7.72,10,NA,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png","Atlético-MG",1,4,12,3,16,20,2,6,10,54,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"7",72372,12,286,"gol","6",0,7,0,0,0,NA,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",42234,12,264,"gol","7",1,11.19,-1.06,5.82,10,NA,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,6,5,NA,NA,NA,NA,NA
"9",93882,12,280,"gol","7",1,9.42,-0.6,4.09,11,NA,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,42,12,3,1,NA,NA,NA,NA
"10",96468,12,285,"gol","7",-1,7.02,-0.52,3.33,12,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,37,11,3,NA,NA,NA,NA,NA
