"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","PI","SG","CA","DE","FS","GS","PC","A","FC","FD","FF","G","I","FT","PP","CV","PS","DP","GC"
"1",42500,13,264,"lat","6",6.1,9.95,-2.05,6.1,1,5.18,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",74061,13,263,"gol","7",2,6.23,-0.66,2.76,11,1.88,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,NA,2,1,37,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",96468,13,285,"gol","6",0,7.05,0.03,3.07,13,0.48,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,NA,3,2,40,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",93882,13,280,"gol","7",2,9.53,0.11,3.92,12,2.1,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",NA,NA,3,2,46,6,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",42234,13,264,"gol","7",7,12.23,1.04,5.93,11,5.86,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",1,NA,6,NA,40,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",102130,13,275,"lat","7",1.3,7.55,-0.4,6.46,8,1.43,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",20,53,4,1,NA,10,NA,NA,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"7",37656,13,266,"gol","7",9,11.3,0.48,4.23,13,7.26,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA,NA,5,1,45,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",85004,13,266,"gol","6",0,7,0,0,0,9.71,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",83257,13,262,"ata","7",0,9.47,-1.43,2.99,11,0.7,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo",3,47,NA,3,NA,9,NA,NA,NA,6,4,8,3,9,NA,NA,NA,NA,NA,NA
"10",94509,13,275,"mei","5",0,15.94,0,6.25,7,8.41,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras",10,48,NA,NA,NA,15,NA,NA,3,8,4,6,1,1,1,1,NA,NA,NA,NA
"11",39148,13,282,"ata","7",6.7,20.41,0.61,7.63,11,6.26,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png","Atlético-MG",5,58,NA,3,NA,23,NA,NA,2,14,3,16,6,10,2,NA,NA,NA,NA,NA
"12",81091,13,282,"mei","5",5,8.23,0.67,4.51,11,4.15,"jair","Jair","Jair","Jair Rodrigues Júnior","https://s.glbimg.com/es/sde/f/2021/05/02/9f45c3d8021bc336ee9149455cd40768_FORMATO.png","Atlético-MG",26,36,NA,3,NA,7,NA,1,2,14,4,5,1,NA,NA,NA,NA,NA,NA,NA
"13",91203,13,327,"zag","7",3.1,3.07,-0.22,1.68,11,2.44,"eder","Éder","Éder","Éder Ferreira Graminho","https://s.glbimg.com/es/sde/f/2022/02/24/e0b5f4c6647fe1b42922ddb4458dade0_FORMATO.png","América-MG",12,44,2,2,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",71684,13,275,"zag","7",8,16.32,-1.71,9.49,8,6.92,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",10,39,3,3,NA,5,NA,NA,NA,7,3,5,6,2,NA,NA,NA,NA,NA,NA
"15",97867,13,280,"zag","7",0,10.83,0,5.73,6,2.39,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",12,39,3,1,NA,4,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"16",100943,13,327,"zag","7",0.8,3.8,-0.69,2.04,11,0.84,"conti","Conti","Conti","Germán Andrés Conti","https://s.glbimg.com/es/sde/f/2022/02/24/965b3ae2f778e96277a5b6c093927bc2_FORMATO.png","América-MG",13,28,2,NA,NA,1,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"17",42145,13,294,"lat","6",0,14.8,0,7.08,6,9.95,"egidio","Egídio","Egídio","Egídio de Araújo Pereira Júnior","https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png","Coritiba",16,62,2,NA,NA,7,NA,1,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA
