"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PP","PS","SG","CV","DE","GS","GC","PC","DP"
"1",94583,18,262,"ata","7",15.9,10.71,1.75,4.52,15,NA,"pedro","Pedro","Pedro","Pedro Guilherme Abreu dos Santos","https://s.glbimg.com/es/sde/f/2022/04/25/ee38c717eeb351fd94e1dfdd699c2e26_FORMATO.png","Flamengo",2,1,7,6,4,11,8,3,4,3,30,1,1,NA,NA,NA,NA,NA,NA,NA
"2",52827,18,262,"zag","7",3.8,4.91,0.44,1.42,10,NA,"david-luiz","David Luiz","D. Luiz","David Luiz Moreira Marinho","https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png","Flamengo",NA,3,9,16,2,2,1,NA,NA,2,31,NA,NA,2,NA,NA,NA,NA,NA,NA
"3",100084,18,276,"mei","7",2.1,5.52,0.43,1.57,16,NA,"igor-gomes","Igor Gomes","I. Gomes","Igor Silveira Gomes","https://s.glbimg.com/es/sde/f/2022/03/01/b6d68ea91db4955b888e119a851704eb_FORMATO.png","São Paulo",1,3,23,26,4,5,16,NA,NA,1,103,NA,NA,NA,1,NA,NA,NA,NA,NA
"4",40990,18,262,"tec","7",10.14,9.48,0.7,4.62,17,NA,"dorival-junior","Dorival Júnior","D. Júnior","Dorival Silvestre Júnior","https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",68808,18,354,"lat","7",0,6,0,2.46,14,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,5,17,14,NA,1,13,NA,1,1,120,NA,NA,4,NA,NA,NA,NA,NA,NA
"6",87999,18,275,"mei","7",8.1,12.52,1.09,7.25,16,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",7,NA,9,6,15,25,32,1,4,5,166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",107109,18,262,"mei","7",2.6,10.46,0.3,4.1,13,NA,"gomes","Gomes","Gomes","João Victor Gomes da Silva","https://s.glbimg.com/es/sde/f/2022/04/25/292ab6b7a59ffca1fbdc8fa86227fde5_FORMATO.png","Flamengo",1,3,36,24,3,3,27,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",90031,18,354,"ata","7",0,12.25,0,6.63,13,NA,"mendoza","Mendoza","Mendoza","John Stiven Mendoza Valencia","https://s.glbimg.com/es/sde/f/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png","Ceará",NA,3,6,13,12,12,27,NA,7,6,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",79631,18,266,"ata","7",9.2,14.21,1.36,6.63,18,NA,"cano","Cano","Cano","Germán Ezequiel Cano","https://s.glbimg.com/es/sde/f/2022/04/20/5bb8f223990a3b79975f90d376fb341a_FORMATO.png","Fluminense",1,NA,2,14,17,15,6,NA,11,11,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",69014,18,266,"zag","7",0.6,7.63,-1.68,5.24,14,NA,"manoel","Manoel","Manoel","Manoel Messias Silva Carvalho","https://s.glbimg.com/es/sde/f/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png","Fluminense",1,2,15,14,NA,2,13,NA,3,NA,55,NA,NA,6,NA,NA,NA,NA,NA,NA
