"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","SG","GS","CA","FD","FF","FS","G","I","PI","DS","FC","A","CV","FT","PP","GC","PS","PC"
"1",37424,2,1371,"tec","7",1.84,5.86,0.44,3.52,2,NA,"pintado","Pintado","Pintado","Luiz Carlos de Oliveira Preto","https://s.glbimg.com/es/sde/f/2019/10/22/4dc47f9ac81a1f2c7dfe2868232f8d29_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",72372,2,286,"gol","6",0,7,0,0,0,NA,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",37656,2,266,"gol","7",6,10.84,0.93,6,2,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/02/24/56c904be5b9993c05440bdcacbc5a608_FORMATO.png","Fluminense",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",96468,2,285,"gol","7",1,4.73,-1.21,1,2,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",42234,2,264,"gol","7",11,10.44,2.51,6.5,2,NA,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/02/22/346562c71804cbbf662b6110f942b41c_FORMATO.png","Corinthians",9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",83257,2,262,"ata","7",8.1,12.81,-0.86,4.4,2,NA,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/f347648036a61ed38e631faf7be83967_FORMATO.png","Flamengo",NA,NA,NA,1,1,1,2,1,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",102130,2,275,"lat","7",2.6,4.47,-0.53,2.6,1,NA,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,1,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA,NA
"8",94916,2,282,"mei","7",1.1,9.99,-4.01,1.1,1,NA,"nacho-fernandez","Nacho Fernández","N. Fernández","Ignacio Martín Fernández","https://s.glbimg.com/es/sde/f/2021/04/23/021bc265ea84999199e1b2449e23766c_FORMATO.png","Atlético-MG",NA,NA,NA,1,1,2,2,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA
"9",39148,2,282,"ata","2",0,23.05,0,18.9,1,NA,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,1,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",85004,2,266,"gol","6",0,7,0,0,0,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2021/08/19/35c8568b7efec2aed4607723d255050e_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
