"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PS","PP","SG","DE","GS","CV","PC","GC","DP"
"1", 38632,21, 266,"zag","6", 0.00, 3.00, 0.00, 0.00, 0, 3.76,NA,NA,"matheus-ferraz","Matheus Ferraz","M. Ferraz","Matheus Ferraz Pereira","https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 38225,21, 314,"ata","6",-1.00, 9.13,-0.30, 4.17,15,-0.07, 6.04444444, 1.36666667,"muriqui","Muriqui","Muriqui","Luiz Guilherme da Conceição Silva","https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png","Avaí", 1, 2,13,13, 1, 5,26, 1, 4, 6, 57, 1,NA,NA,NA,NA,NA,NA,NA,NA
"3", 38394,21, 293,"zag","6", 0.00, 6.30, 0.00, 0.50, 2, 3.32, 2.90000000,-1.90000000,"thiago-heleno","Thiago Heleno","T. Heleno","Thiago Heleno Henrique Ferreira","https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png","Athlético-PR",NA, 2, 2, 3, 1,NA,NA,NA,NA,NA,  7,NA, 1, 1,NA,NA,NA,NA,NA,NA
"4", 69010,21,1371,"gol","6", 0.00, 3.36, 0.00, 2.00, 1, 3.49,NA,NA,"joao-carlos","João Carlos","J. Carlos","João Carlos Heidemann","https://s.glbimg.com/es/sde/f/2021/05/28/9d5caf065f11413aa6bf28e1d6b8acf8_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4, 2,NA,NA,NA,NA
"5", 38279,21, 327,"ata","6",-0.40, 4.01,-0.14, 0.20, 8, 0.10, 0.46000000,-0.23333333,"wellington-paulista","Wellington Paulista","W. Paulista","Wellington Pereira do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png","América-MG",NA, 1, 1, 5,NA, 3, 4,NA,NA, 3, 12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6", 39850,21, 327,"tec","7", 6.05, 7.98, 0.19, 3.87,20, 5.40,NA,NA,"vagner-mancini","Vagner Mancini","V. Mancini","Vagner Carmo Mancini","https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7", 42145,21, 294,"lat","7", 0.00,12.24, 0.00, 4.62,12, 1.10,NA,NA,"egidio","Egídio","Egídio","Egídio de Araújo Pereira Júnior","https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png","Coritiba", 2,NA,28, 8, 5, 3,14,NA,NA, 1,120,NA,NA, 3,NA,NA, 1, 1,NA,NA
"8", 38398,21, 264,"mei","6", 7.20, 7.33, 0.26, 3.15,12, 6.47, 2.10000000, 4.20000000,"renato-augusto","Renato Augusto","R. Augusto","Renato Soares de Oliveira Augusto","https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png","Corinthians", 1,NA,19, 9, 3, 3,12,NA, 1, 1, 72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9", 42135,21, 264,"mei","7", 0.00,13.43, 0.00, 3.87,14, 3.41, 3.53750000, 4.28333333,"willian","Willian","Willian","Willian Borges da Silva","https://s.glbimg.com/es/sde/f/2022/04/27/d71030cb82eac8c28c465bac03535385_FORMATO.png","Corinthians", 2, 1,22, 6, 7, 6,30,NA,NA, 2, 76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10", 38229,21, 264,"lat","7", 0.90, 7.32,-0.92, 5.53,13, 1.35,NA,NA,"fabio-santos","Fábio Santos","F. Santos","Fábio Santos Romeu","https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png","Corinthians",NA, 1,22, 9,NA,NA, 6,NA, 3,NA, 78,NA,NA, 6,NA,NA,NA,NA,NA,NA
"11", 38141,21, 276,"zag","7", 2.00, 6.24, 0.17, 3.71, 9, 2.12,NA,NA,"miranda","Miranda","Miranda","João Miranda de Souza Filho","https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png","São Paulo",NA, 1,17, 9,NA, 2, 4,NA,NA,NA, 20,NA,NA, 3,NA,NA,NA,NA,NA,NA
"12", 39572,21, 314,"mei","2", 2.10, 3.58, 0.35, 1.93, 7, 1.95, 2.57500000, 1.06666667,"renato","Renato","Renato","José Renato da Silva Júnior","https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png","Avaí",NA, 1, 7, 5, 3, 2, 9,NA,NA, 2, 19,NA,NA,NA,NA,NA,NA,NA,NA,NA
