"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","DE","DP","GS","PC","SG","CV","PP","PS","GC"
"1", 39148,22, 282,"ata","7",-0.20,18.12,-0.47, 5.95,18, 1.22,NA,NA,NA,NA,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png","Atlético-MG", 2, 4, 8,30, 5,27,39, 3, 7,14,102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 72372,22, 276,"gol","7", 8.00, 7.04, 0.87, 6.75, 4, 6.97,  6.00000000,  6.00000000, 72.00000000, 94.00000000,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png","São Paulo",NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15, 1, 3, 1, 2,NA,NA,NA,NA
"3",102130,22, 275,"lat","7", 8.70, 8.90, 1.30, 6.10,13, 7.55,  7.40000000,  4.56666667, 72.00000000, 96.00000000,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras", 1, 4,35,12, 3, 6,14,NA,NA,NA, 96,NA,NA,NA, 1, 7,NA,NA,NA,NA
"4", 74061,22, 263,"gol","7", 7.00, 7.82, 0.54, 3.78,19, 6.16,  3.20000000,  4.00000000, 84.00000000,101.00000000,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA, 1,NA,NA,NA,NA, 4,NA,NA,NA,NA,69,NA,23,NA, 5,NA,NA,NA,NA
"5", 71631,22, 275,"gol","7", 9.50,12.34, 0.48, 5.02,19, 8.57,  3.30000000,  6.16666667, 83.00000000, 96.00000000,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,59,NA,14,NA,10,NA,NA,NA,NA
"6", 85004,22, 266,"gol","6", 0.00, 7.00, 0.00, 0.00, 0, 8.49,NA,NA,NA,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7", 71684,22, 275,"zag","7", 6.40,15.73, 0.45, 7.22,16, 6.29,NA,NA,NA,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA, 5,24,17, 3, 5,12,NA, 7, 4, 65,NA,NA,NA, 1, 7,NA,NA,NA,NA
"8",110506,22, 275,"tec","7", 4.65,13.42,-0.68, 6.28,21, 4.71,NA,NA,NA,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9", 89226,22, 327,"zag","7", 6.90, 7.65, 0.45, 3.46,12, 6.12,  5.38000000,  1.45714286, 73.00000000, 96.00000000,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA, 2, 8,16,NA, 1, 1,NA, 3,NA, 35,NA,NA,NA,NA, 4, 1,NA,NA,NA
"10", 42234,22, 264,"gol","7", 2.00,11.39,-0.05, 5.21,18, 2.43,  6.54545455,  2.88571429, 81.00000000, 96.00000000,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",NA,NA, 1,NA,NA,NA, 1,NA,NA,NA,NA,60,NA,13,NA, 9,NA,NA,NA,NA
"11", 90061,22, 354,"lat","7",-0.40, 8.15,-0.16, 3.98,16, 0.26,  3.36250000,  4.15000000, 70.00000000, 14.00000000,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará", 1, 4,38,15, 3, 3,25, 1, 1, 2,137,NA,NA,NA, 1, 2, 1,NA,NA,NA
"12", 37656,22, 266,"gol","7",-1.00, 9.64,-1.27, 3.53,22,-0.05,NA,NA,NA,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA, 1,NA,NA,NA,NA, 3,NA,NA,NA,NA,62,NA,25,NA, 8,NA,NA,NA,NA
"13", 42500,22, 264,"lat","7", 1.40, 8.85,-0.85, 3.76, 5, 1.97,  3.27500000,  5.70000000, 37.00000000, 36.00000000,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians", 1, 1, 6, 3,NA,NA, 2,NA,NA,NA, 25,NA,NA,NA,NA, 2,NA,NA,NA,NA
