"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","DP","DS","FS","GS","SG","CA","PC","A","FC","FD","FF","PI","FT","G","I","PS","PP","CV","GC"
"1", 97341,23, 276,"tec","7", 3.09,11.74,-0.63, 4.15,23, 3.94,NA,NA,NA,NA,"rogerio-ceni","Rogério Ceni","R. Ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 82453,23, 290,"gol","7",13.00, 9.93, 2.15, 4.55,23,11.41,  4.56363636,  4.54166667, 98.00000000, 98.00000000,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",91, 1, 1, 9,29, 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3", 88916,23, 356,"gol","6", 0.00, 5.03, 0.00, 2.25, 2, 5.60,NA,NA, 97.00000000, 94.00000000,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/07/29/8a9128472f54ae0e854e5a35d456eb76_FORMATO.png","Fortaleza", 9,NA,NA, 1, 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4", 71631,23, 275,"gol","7", 3.50,11.60,-0.74, 4.94,20, 4.41,  3.95454545,  6.16666667, 98.00000000, 98.00000000,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",63,NA,NA, 2,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5", 85004,23, 266,"gol","6", 0.00, 7.00, 0.00, 0.00, 0, 8.29,NA,NA,NA,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6", 85425,23, 277,"gol","7",11.00,14.61, 1.51, 4.69,21,10.65,  5.93333333,  3.00000000, 97.00000000,102.00000000,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",83,NA, 1, 4,19, 7, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7", 72372,23, 276,"gol","6", 0.00, 7.04, 0.00, 6.75, 4, 7.30,  7.00000000,  6.00000000, 96.00000000, 94.00000000,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png","São Paulo",15, 1,NA,NA, 3, 2, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8", 37656,23, 266,"gol","7",-1.00, 9.61,-0.03, 3.33,23, 0.12,  3.25000000,  3.40909091, 97.00000000, 95.00000000,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",63,NA,NA, 3,27, 8, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9", 96468,23, 285,"gol","7", 0.00, 8.37, 0.00, 4.25,19, 3.19,  4.42000000,  4.05555556, 98.00000000, 96.00000000,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",64,NA, 1, 5,19, 7, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",102130,23, 275,"lat","7", 3.00, 8.19,-0.71, 5.88,14, 3.39,  6.85000000,  4.56666667, 87.00000000, 98.00000000,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",NA,NA,38,15,NA, 7, 4, 1, 1,16, 3, 7,103,NA,NA,NA,NA,NA,NA,NA
"11", 39148,23, 282,"ata","7", 2.40,18.58, 0.46, 5.76,19, 4.10,  6.39090909,  4.90000000, 90.00000000, 80.00000000,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png","Atlético-MG",NA,NA, 8,42,NA,NA, 4,NA, 2,30, 6,28,113, 3, 7,14,NA,NA,NA,NA
"12", 42234,23, 264,"gol","7", 2.00,11.46, 0.07, 5.04,19, 2.94,  6.54545455,  2.96250000, 97.00000000,102.00000000,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",63,NA, 1, 1,14, 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13", 87863,23, 262,"mei","6", 1.80,17.35,-0.34, 6.73,17, 3.66,  8.27500000,  5.35555556, 69.00000000, 19.00000000,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png","Flamengo",NA,NA,30,34,NA,NA,NA,NA, 7, 7, 7,16,155, 2, 2, 2, 1,NA,NA,NA
"14", 94509,23, 275,"mei","7",13.90,16.22, 1.94, 5.03,17,12.96,  7.16000000,  2.02857143, 70.00000000, 91.00000000,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras",NA,NA,21,28,NA,NA,NA,NA, 3,14, 9,13, 80, 1, 3, 4,NA, 1,NA,NA
"15", 74061,23, 263,"gol","7", 1.50, 7.09,-0.73, 3.67,20, 2.05,  3.60000000,  3.75000000, 99.00000000, 98.00000000,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",72,NA,NA, 5,25, 5, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16", 89840,23, 276,"ata","7", 1.50,22.59,-0.82, 5.89,22, 3.74,  8.20000000,  3.59090909, 84.00000000, 35.00000000,"calleri","Calleri","Calleri","Jonathan Calleri","https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png","São Paulo",NA,NA,13,36,NA,NA, 3,NA, 1,29,13,20,111,NA,11,17,NA, 1,NA,NA
"17",101708,23, 277,"lat","2", 7.30, 5.85, 0.73, 2.96,13, 6.52,  3.94000000,  2.35000000, 82.00000000,102.00000000,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA,NA,16, 9,NA, 5, 2,NA,NA,11, 3, 2,100,NA,NA, 1,NA,NA,NA,NA
"18", 83257,23, 262,"ata","6",-0.20, 9.84, 0.00, 3.58,20, 1.13,  5.12500000,  2.56666667, 69.00000000, 19.00000000,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo",NA,NA, 5,13,NA,NA, 6,NA, 1, 8,11,13, 66, 1, 6,13,NA, 1,NA,NA
"19", 93882,23, 280,"gol","7", 1.00, 9.21, 0.47, 3.40,21, 1.76,  4.04545455,  2.70000000, 97.00000000,108.00000000,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",68,NA,NA, 7,26, 6, 3, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20", 42500,23, 264,"lat","7", 0.00, 8.85, 0.00, 3.76, 5, 1.63,  3.27500000,  5.70000000, 46.00000000, 35.00000000,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,NA, 6, 2,NA, 2, 1,NA, 1, 3,NA,NA, 25,NA,NA,NA,NA,NA,NA,NA
