,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
0,Guto Ferreira,G. Ferreira,37245,Coritiba,294,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,2,5.3,6.44,Augusto Sérgio Ferreira,7.34,6,10.82,24,guto-ferreira,7,1.24,,,,,,,,,,,,,,,,,,,,
1,Mano Menezes,M. Menezes,37281,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,21,5.14,7.49,Luis Antônio Venker de Menezes,8.49,6,10.2,24,mano-menezes,7,0.49,,,,,,,,,,,,,,,,,,,,
2,Fábio,Fábio,37656,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,24,3.19,0.62,Fábio Deivson Lopes Maciel,0.0,1,9.63,24,fabio,7,0.02,,1.0,,64.0,,,,,,3.0,,,,28.0,,,,,,8.0
3,Marcelo Boeck,M. Boeck,37788,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,11,2.59,6.18,Marcelo Boeck,0.0,1,4.6,24,marcelo-boeck,6,0.0,,2.0,,31.0,,,,,,3.0,,,,16.0,,1.0,,,,3.0
4,Júlio César,J. César,38133,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,0,0.0,5.99,Júlio César de Souza Santos,0.0,1,5.0,24,julio-cesar,6,0.0,,,,,,,,,,,,,,,,,,,,
5,Jô,Jô,38138,Ceará,354,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,5,2.76,2.17,João Alves de Assis Silva,2.0,5,4.74,24,jo,7,-0.69,,1.0,,,,2.0,5.0,3.0,1.0,6.0,,1.0,,,1.0,,14.0,,,
6,Miranda,Miranda,38141,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,11,3.64,4.29,João Miranda de Souza Filho,0.0,3,6.57,24,miranda,5,0.0,,2.0,,,,19.0,12.0,1.0,2.0,5.0,,,,,,,26.0,,,4.0
7,Rafinha,Rafinha,38144,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,20,3.18,2.68,Márcio Rafael Ferreira de Souza,0.0,2,8.59,24,rafinha,2,0.0,3.0,5.0,,,,35.0,21.0,,1.0,16.0,,,,,,,112.0,,,4.0
8,Muriqui,Muriqui,38225,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,18,3.79,3.34,Luiz Guilherme da Conceição Silva,3.3,5,9.65,24,muriqui,6,0.22,1.0,2.0,,,,17.0,13.0,1.0,7.0,26.0,1.0,4.0,,,6.0,,64.0,,1.0,
9,Fábio Santos,F. Santos,38229,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,14,5.56,5.35,Fábio Santos Romeu,6.0,2,8.04,24,fabio-santos,7,0.72,,1.0,,,,23.0,9.0,,,7.0,,3.0,,,,,85.0,,,7.0
10,Wellington Paulista,W. Paulista,38279,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,11,0.45,1.01,Wellington Pereira do Nascimento,0.8,5,4.16,24,wellington-paulista,2,0.06,,1.0,,,,1.0,7.0,1.0,3.0,5.0,1.0,,,,3.0,,20.0,,,
11,Thiago Heleno,T. Heleno,38394,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,3,0.47,1.43,Thiago Heleno Henrique Ferreira,0.0,3,5.83,24,thiago-heleno,6,0.0,,2.0,,,,3.0,4.0,1.0,,,,,,,,,12.0,1.0,,1.0
12,Renato Augusto,R. Augusto,38398,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,15,3.23,3.67,Renato Soares de Oliveira Augusto,4.0,4,7.02,24,renato-augusto,7,0.62,1.0,,,,,25.0,10.0,5.0,6.0,14.0,,1.0,,,1.0,,93.0,,,
13,Diego Alves,D. Alves,38509,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,3,1.0,3.38,Diego Alves Carreira,0.0,1,6.31,24,diego-alves,6,0.0,,,,3.0,,,,,,,,,,5.0,,,,,,1.0
14,Felipe Melo,F. Melo,38545,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,13,1.32,1.34,Felipe Melo de Carvalho,0.0,3,5.69,24,felipe-melo,6,0.0,,4.0,,,,7.0,12.0,,,10.0,,,,,,,37.0,,,3.0
15,Matheus Ferraz,M. Ferraz,38632,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,0,0.0,3.49,Matheus Ferraz Pereira,0.0,3,3.0,24,matheus-ferraz,6,0.0,,,,,,,,,,,,,,,,,,,,
16,Filipe Luís,F. Luís,38750,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,6,3.1,7.43,Filipe Luís Kasmirski,0.0,2,6.68,24,filipe-luis,6,0.0,,1.0,,,,11.0,4.0,,2.0,6.0,,,,,,,20.0,,,1.0
17,Mariano,Mariano,38877,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,15,4.71,4.75,Mariano Ferreira Filho,5.2,2,8.54,24,mariano,7,0.78,1.0,5.0,,,,39.0,13.0,,1.0,9.0,,,,,,,126.0,,,7.0
18,Diego,Diego,38909,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,13,1.97,2.96,Diego Ribas da Cunha,3.3,4,3.93,24,diego,7,0.39,,1.0,,,,15.0,12.0,1.0,1.0,12.0,,1.0,,,,,37.0,,,
19,Hulk,Hulk,39148,Atlético-MG,282,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,20,6.14,12.2,Givanildo Vieira de Souza,13.4,5,20.31,24,hulk,7,1.73,2.0,5.0,,,,9.0,31.0,9.0,30.0,45.0,3.0,8.0,,,14.0,,125.0,,,
20,Renato,Renato,39572,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,9,2.15,3.59,José Renato da Silva Júnior,4.1,4,3.96,24,renato,6,0.42,,1.0,,,,10.0,5.0,3.0,4.0,15.0,,,,,2.0,,42.0,,,
21,Vagner Mancini,V. Mancini,39850,América-MG,327,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,23,3.87,2.16,Vagner Carmo Mancini,2.12,6,7.57,24,vagner-mancini,7,-0.12,,,,,,,,,,,,,,,,,,,,
22,Dorival Júnior,D. Júnior,40990,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,23,5.13,4.31,Dorival Silvestre Júnior,4.68,6,9.57,24,dorival-junior,7,0.23,,,,,,,,,,,,,,,,,,,,
23,Willian,Willian,42116,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,20,1.85,0.27,Willian Gomes de Siqueira,-0.3,5,3.91,24,willian,6,-2.24,1.0,2.0,,,,7.0,6.0,3.0,,3.0,,3.0,,,2.0,,16.0,,,
24,Egídio,Egídio,42145,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,15,4.55,5.45,Egídio de Araújo Pereira Júnior,5.5,2,13.07,24,egidio,2,-0.46,2.0,1.0,1.0,,,30.0,12.0,6.0,3.0,16.0,,1.0,,,2.0,1.0,146.0,,,4.0
25,Cássio,Cássio,42234,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,20,5.29,8.88,Cássio Roberto Ramos,10.0,1,12.76,24,cassio,7,1.3,,,,68.0,,1.0,,,,1.0,,,,14.0,,,,,,10.0
26,Cuca,Cuca,42411,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,5,4.69,4.37,Alexi Stival,4.61,6,10.8,24,cuca,7,0.32,,,,,,,,,,,,,,,,,,,,
27,Fagner,Fagner,42500,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,6,4.22,5.99,Fagner Conserva Lemos,6.5,2,9.67,24,fagner,7,0.82,1.0,1.0,,,,9.0,4.0,,,2.0,,,,,,,43.0,,,3.0
28,Luiz Felipe Scolari,L. Scolari,43618,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,19,4.59,3.77,Luiz Felipe Scolari,3.97,6,9.51,24,luiz-felipe-scolari,7,0.17,,,,,,,,,,,,,,,,,,,,
29,David Braz,D. Braz,50317,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,8,1.53,2.67,David Braz de Oliveira Filho,0.0,3,5.2,24,david-braz,2,0.0,,2.0,2.0,,,9.0,10.0,1.0,4.0,2.0,,,,,,,30.0,,,2.0
30,Alan Kardec,A. Kardec,50347,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,5,4.6,2.9,Alan Kardec de Sousa Pereira Júnior,0.0,5,7.85,24,alan-kardec,6,0.0,,,,,,1.0,3.0,1.0,3.0,1.0,1.0,2.0,,,,,4.0,,,
31,Titi,Titi,50353,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,21,3.47,5.98,Christian Chagas Tarouco,6.9,3,6.67,24,titi,7,0.37,,2.0,,,,27.0,28.0,,2.0,17.0,,,,,2.0,,88.0,,,10.0
32,Dentinho,Dentinho,50428,Ceará,354,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,4,0.6,2.17,Bruno Ferreira Bonfim,0.0,5,3.79,24,dentinho,5,0.0,,,,,,3.0,3.0,,,,,,,,1.0,,2.0,,,
33,Eduardo,Eduardo,50645,América-MG,327,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,0,0.0,4.74,Carlos Eduardo Santos Oliveira,0.0,2,4.0,24,eduardo,6,0.0,,,,,,,,,,,,,,,,,,,,
34,Henrique,Henrique,50856,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,16,1.73,3.02,Henrique Adriano Buss,0.0,3,5.07,24,henrique,6,0.0,,4.0,1.0,,,18.0,12.0,3.0,6.0,4.0,1.0,,1.0,,1.0,2.0,66.0,,,3.0
35,Marlos,Marlos,50879,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,4,0.58,3.94,Marlos Romero Bonfim,0.0,4,4.03,24,marlos,6,0.0,,,,,,1.0,,1.0,,2.0,,,,,,,11.0,,,
36,Apodi,Apodi,51042,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,11,2.98,1.39,Luiz Diallison de Souza Alves,1.2,4,5.77,24,apodi,6,0.13,1.0,,,,,12.0,14.0,2.0,3.0,13.0,,1.0,,,1.0,,26.0,,1.0,
37,Walter,Walter,51413,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,22,4.1,5.65,Walter Leandro Capeloza Artune,6.0,1,12.62,24,walter,7,0.89,,,,76.0,,3.0,,,,3.0,,,,21.0,,,,,,6.0
38,Giuliano,Giuliano,51548,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,18,1.44,1.53,Giuliano Victor de Paula,0.0,4,4.84,24,giuliano,6,0.0,1.0,2.0,,,,15.0,7.0,2.0,8.0,7.0,,,,,2.0,,50.0,,,
39,Everton Ribeiro,E. Ribeiro,51772,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,22,4.23,1.1,Everton Augusto de Barros Ribeiro,0.7,4,8.56,24,everton-ribeiro,6,-0.04,4.0,,,,,29.0,20.0,8.0,4.0,43.0,2.0,2.0,,,1.0,,121.0,,,
40,Réver,Réver,52253,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,9,2.57,0.01,Réver Humberto Alves Araújo,-0.5,3,4.17,24,rever,7,-0.94,,1.0,,,,8.0,6.0,,1.0,3.0,,1.0,,,,1.0,30.0,,,2.0
41,David Luiz,D. Luiz,52827,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,11,1.22,0.45,David Luiz Moreira Marinho,0.0,3,4.13,24,david-luiz,7,0.0,,3.0,,,,9.0,17.0,2.0,2.0,2.0,,,,,2.0,,41.0,,,2.0
42,Léo Gamalho,L. Gamalho,53865,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,17,5.01,4.31,Leonardo Gamalho de Souza,0.0,5,12.97,24,leo-gamalho,6,0.0,,,,,,6.0,16.0,7.0,8.0,26.0,1.0,7.0,,,5.0,,46.0,,1.0,
