,atletas.preco_num,atletas.foto,atletas.posicao_id,atletas.media_num,atletas.apelido_abreviado,atletas.apelido,atletas.pontos_num,atletas.status_id,atletas.clube_id,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.rodada_id,atletas.nome,atletas.slug,atletas.minimo_para_valorizar,atletas.atleta_id,CA,DS,FC,FD,FF,FS,PI,SG,A,G,DE,DP,GS,GC,PC,FT,I,CV,PP,PS
0,10.37,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,6,4.54,G. Ferreira,Guto Ferreira,3.02,7,294,-0.45,Coritiba,3,25,Augusto Sérgio Ferreira,guto-ferreira,,37245,,,,,,,,,,,,,,,,,,,,
1,9.77,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,6,5.11,M. Menezes,Mano Menezes,4.43,7,285,-0.43,Internacional,22,25,Luis Antônio Venker de Menezes,mano-menezes,,37281,,,,,,,,,,,,,,,,,,,,
2,9.64,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,1,3.06,Fábio,Fábio,0.0,7,266,0.01,Fluminense,25,25,Fábio Deivson Lopes Maciel,fabio,,37656,1.0,,,,,3.0,,8.0,,,65.0,,29.0,,,,,,,
3,4.6,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,1,2.59,M. Boeck,Marcelo Boeck,0.0,6,356,0.0,Fortaleza,11,25,Marcelo Boeck,marcelo-boeck,,37788,2.0,,,,,3.0,,3.0,,,31.0,,16.0,,1.0,,,,,
4,5.0,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,1,0.0,J. César,Júlio César,0.0,6,280,0.0,Bragantino,0,25,Júlio César de Souza Santos,julio-cesar,,38133,,,,,,,,,,,,,,,,,,,,
5,5.38,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,5,3.18,Jô,Jô,5.3,3,354,0.64,Ceará,6,25,João Alves de Assis Silva,jo,,38138,1.0,2.0,7.0,3.0,2.0,7.0,17.0,,,2.0,,,,,,,2.0,1.0,,
6,6.57,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,3,3.64,Miranda,Miranda,0.0,5,276,0.0,São Paulo,11,25,João Miranda de Souza Filho,miranda,,38141,2.0,19.0,12.0,1.0,2.0,5.0,26.0,4.0,,,,,,,,,,,,
7,8.29,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,2,3.0,Rafinha,Rafinha,-0.6,7,276,-0.3,São Paulo,21,25,Márcio Rafael Ferreira de Souza,rafinha,,38144,5.0,35.0,22.0,,1.0,17.0,120.0,4.0,3.0,,,,,,,,,,,
8,9.19,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,5,3.59,Muriqui,Muriqui,0.0,6,314,-0.46,Avaí,19,25,Luiz Guilherme da Conceição Silva,muriqui,,38225,2.0,17.0,13.0,1.0,7.0,26.0,64.0,,1.0,4.0,,,,,,1.0,6.0,,,1.0
9,7.22,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,2,5.2,F. Santos,Fábio Santos,0.2,6,264,-0.82,Corinthians,15,25,Fábio Santos Romeu,fabio-santos,,38229,1.0,23.0,9.0,,,9.0,93.0,7.0,,3.0,,,,,,,,,,
10,4.16,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,5,0.45,W. Paulista,Wellington Paulista,0.0,6,327,0.0,América-MG,11,25,Wellington Pereira do Nascimento,wellington-paulista,,38279,1.0,1.0,7.0,1.0,3.0,5.0,20.0,,,,,,,,,1.0,3.0,,,
11,5.83,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,3,0.47,T. Heleno,Thiago Heleno,0.0,7,293,0.0,Athlético-PR,3,25,Thiago Heleno Henrique Ferreira,thiago-heleno,,38394,2.0,3.0,4.0,1.0,,,12.0,1.0,,,,,,,,,,,1.0,
