,atletas.status_id,atletas.minimo_para_valorizar,atletas.nome,atletas.clube.id.full.name,atletas.rodada_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.apelido,atletas.preco_num,atletas.slug,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.clube_id,atletas.variacao_num,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,PI,SG,PP,DE,GS,DP,GC,PS
0,7,5.85,Augusto Sérgio Ferreira,Coritiba,26,4,G. Ferreira,6,Guto Ferreira,11.36,guto-ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,37245,7.04,294,0.99,5.16,,,,,,,,,,,,,,,,,,,,
1,7,5.51,Luis Antônio Venker de Menezes,Internacional,26,23,M. Menezes,6,Mano Menezes,9.94,mano-menezes,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,37281,5.41,285,0.17,5.12,,,,,,,,,,,,,,,,,,,,
2,7,3.74,Fábio Deivson Lopes Maciel,Fluminense,26,26,Fábio,1,Fábio,10.03,fabio,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,37656,3.0,266,0.39,3.06,,1.0,,,,,,3.0,,,,,,8.0,,69.0,30.0,,,
3,6,6.47,Marcelo Boeck,Fortaleza,26,11,M. Boeck,1,Marcelo Boeck,4.6,marcelo-boeck,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,37788,0.0,356,0.0,2.59,,2.0,,,,,,3.0,,,,1.0,,3.0,,31.0,16.0,,,
4,6,4.9,Júlio César de Souza Santos,Bragantino,26,0,J. César,1,Júlio César,5.0,julio-cesar,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,38133,0.0,280,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,7,5.2,João Alves de Assis Silva,Ceará,26,6,Jô,5,Jô,5.38,jo,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,38138,0.0,354,0.0,3.18,,1.0,1.0,2.0,7.0,3.0,2.0,7.0,,2.0,2.0,,17.0,,,,,,,
6,3,1.16,João Miranda de Souza Filho,São Paulo,26,12,Miranda,3,Miranda,6.03,miranda,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,38141,0.5,276,-0.54,3.38,,3.0,,20.0,13.0,1.0,2.0,7.0,,,,,30.0,4.0,,,,,,
7,7,3.37,Márcio Rafael Ferreira de Souza,São Paulo,26,22,Rafinha,2,Rafinha,8.74,rafinha,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,38144,2.8,276,0.45,2.99,3.0,5.0,,38.0,23.0,,1.0,18.0,,,,,130.0,4.0,,,,,,
8,6,2.17,Luiz Guilherme da Conceição Silva,Avaí,26,20,Muriqui,5,Muriqui,9.3,muriqui,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,38225,1.4,314,0.11,3.48,1.0,2.0,,17.0,13.0,1.0,9.0,26.0,1.0,4.0,6.0,,66.0,,,,,,,1.0
9,7,1.3,Fábio Santos Romeu,Corinthians,26,15,F. Santos,2,Fábio Santos,7.22,fabio-santos,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,38229,0.0,264,0.0,5.2,,1.0,,23.0,9.0,,,9.0,,3.0,,,93.0,7.0,,,,,,
10,6,1.46,Wellington Pereira do Nascimento,América-MG,26,11,W. Paulista,5,Wellington Paulista,4.16,wellington-paulista,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,38279,0.0,327,0.0,0.45,,1.0,,1.0,7.0,1.0,3.0,5.0,1.0,,3.0,,20.0,,,,,,,
