,atletas.clube.id.full.name,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,GC,PI,FT,G,I,CV,PP,PC,PS,DP
0,Coritiba,7,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,6,guto-ferreira,37245,5,4.46,10.51,G. Ferreira,Guto Ferreira,3.53,27,-0.85,1.66,Augusto Sérgio Ferreira,294,,,,,,,,,,,,,,,,,,,,
1,Internacional,7,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,6,mano-menezes,37281,24,5.08,9.86,M. Menezes,Mano Menezes,5.47,27,-0.08,4.27,Luis Antônio Venker de Menezes,285,,,,,,,,,,,,,,,,,,,,
2,Fluminense,7,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,1,fabio,37656,27,3.06,10.08,Fábio,Fábio,4.43,27,0.05,3.0,Fábio Deivson Lopes Maciel,266,74.0,,3.0,31.0,8.0,,2.0,,,,,,,,,,,,,
3,Fortaleza,6,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,1,marcelo-boeck,37788,12,2.87,4.64,M. Boeck,Marcelo Boeck,5.88,27,0.04,6.0,Marcelo Boeck,356,38.0,,3.0,17.0,3.0,,2.0,,,,,,,,,,,1.0,,
4,Bragantino,6,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,1,julio-cesar,38133,0,0.0,5.0,J. César,Júlio César,4.51,27,0.0,0.0,Júlio César de Souza Santos,280,,,,,,,,,,,,,,,,,,,,
5,Ceará,7,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,5,jo,38138,7,2.71,4.54,Jô,Jô,0.91,27,-0.84,-0.1,João Alves de Assis Silva,354,,3.0,8.0,,,,2.0,9.0,3.0,2.0,,19.0,,2.0,2.0,1.0,,,,
6,São Paulo,6,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,3,miranda,38141,12,3.38,6.03,Miranda,Miranda,2.03,27,0.0,0.0,João Miranda de Souza Filho,276,,20.0,7.0,,4.0,,3.0,13.0,1.0,2.0,,30.0,,,,,,,,
7,São Paulo,6,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,2,rafinha,38144,23,3.06,9.13,Rafinha,Rafinha,5.66,27,0.39,4.7,Márcio Rafael Ferreira de Souza,276,,38.0,18.0,,5.0,3.0,5.0,23.0,,1.0,,133.0,,,,,,,,
8,Avaí,6,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,5,muriqui,38225,20,3.48,9.3,Muriqui,Muriqui,4.98,27,0.0,0.0,Luiz Guilherme da Conceição Silva,314,,17.0,26.0,,,1.0,2.0,13.0,1.0,9.0,,66.0,1.0,4.0,6.0,,,,1.0,
9,Corinthians,7,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,2,fabio-santos,38229,15,5.2,7.22,F. Santos,Fábio Santos,2.1,27,0.0,0.0,Fábio Santos Romeu,264,,23.0,9.0,,7.0,,1.0,9.0,,,,93.0,,3.0,,,,,,
10,América-MG,6,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,5,wellington-paulista,38279,11,0.45,4.16,W. Paulista,Wellington Paulista,1.14,27,0.0,0.0,Wellington Pereira do Nascimento,327,,1.0,5.0,,,,1.0,7.0,1.0,3.0,,20.0,1.0,,3.0,,,,,
