,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.posicao_id,atletas.foto,atletas.rodada_id,atletas.slug,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.jogos_num,atletas.variacao_num,atletas.media_num,CA,DS,FC,FD,FF,FS,PI,SG,A,G,I,FT,DE,GS,GC,PP,CV,DP,PC,PS
0,5.76,11.07,Augusto Sérgio Ferreira,6,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,28,guto-ferreira,G. Ferreira,Guto Ferreira,Coritiba,5.25,37245,294,6,6,0.56,4.68,,,,,,,,,,,,,,,,,,,,
1,4.81,9.79,Luis Antônio Venker de Menezes,6,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,28,mano-menezes,M. Menezes,Mano Menezes,Internacional,4.43,37281,285,7,25,-0.07,5.07,,,,,,,,,,,,,,,,,,,,
2,8.0,10.72,Fábio Deivson Lopes Maciel,1,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,28,fabio,Fábio,Fábio,Fluminense,7.04,37656,266,7,28,0.64,3.24,2.0,,,,,3.0,,9.0,,,,,77.0,31.0,,,,,,
3,0.0,4.64,Marcelo Boeck,1,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,28,marcelo-boeck,M. Boeck,Marcelo Boeck,Fortaleza,5.48,37788,356,6,12,0.0,2.87,2.0,,,,,3.0,,3.0,,,,,38.0,17.0,,,,,1.0,
4,0.0,5.0,Júlio César de Souza Santos,1,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,28,julio-cesar,J. César,Júlio César,Bragantino,1.74,38133,280,6,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,1.4,4.66,João Alves de Assis Silva,5,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,28,jo,Jô,Jô,Ceará,1.59,38138,354,7,8,0.12,2.55,2.0,3.0,9.0,4.0,3.0,8.0,24.0,,,2.0,3.0,,,,,,1.0,,,
6,0.0,6.03,João Miranda de Souza Filho,3,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,28,miranda,Miranda,Miranda,São Paulo,1.48,38141,276,6,12,0.0,3.38,3.0,20.0,13.0,1.0,2.0,7.0,30.0,4.0,,,,,,,,,,,,
7,0.0,9.13,Márcio Rafael Ferreira de Souza,2,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,28,rafinha,Rafinha,Rafinha,São Paulo,5.3,38144,276,6,23,0.0,3.06,5.0,38.0,23.0,,1.0,18.0,133.0,5.0,3.0,,,,,,,,,,,
8,0.0,9.3,Luiz Guilherme da Conceição Silva,5,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,28,muriqui,Muriqui,Muriqui,Avaí,2.7,38225,314,7,20,0.0,3.48,2.0,17.0,13.0,1.0,9.0,26.0,66.0,,1.0,4.0,6.0,1.0,,,,,,,,1.0
9,0.4,6.95,Fábio Santos Romeu,2,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,28,fabio-santos,F. Santos,Fábio Santos,Corinthians,0.67,38229,264,7,16,-0.27,4.9,1.0,24.0,9.0,,,9.0,101.0,7.0,,3.0,,,,,,,,,,
10,0.0,4.16,Wellington Pereira do Nascimento,5,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,28,wellington-paulista,W. Paulista,Wellington Paulista,América-MG,1.5,38279,327,6,11,0.0,0.45,1.0,1.0,7.0,1.0,3.0,5.0,20.0,,,,3.0,1.0,,,,,,,,
11,2.0,5.88,Thiago Heleno Henrique Ferreira,3,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,28,thiago-heleno,T. Heleno,Thiago Heleno,Athlético-PR,1.93,38394,293,7,6,-0.19,1.18,2.0,7.0,5.0,1.0,2.0,3.0,31.0,1.0,,,,,,,,1.0,,,,
12,3.5,6.82,Renato Soares de Oliveira Augusto,4,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,28,renato-augusto,R. Augusto,Renato Augusto,Corinthians,3.16,38398,264,7,18,0.17,3.0,,28.0,11.0,6.0,9.0,17.0,121.0,,1.0,1.0,1.0,,,,,,,,,
13,0.0,6.31,Diego Alves Carreira,1,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,28,diego-alves,D. Alves,Diego Alves,Flamengo,0.81,38509,262,6,3,0.0,1.0,,,,,,,,1.0,,,,,3.0,5.0,,,,,,
14,6.5,6.57,Felipe Melo de Carvalho,3,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,28,felipe-melo,F. Melo,Felipe Melo,Fluminense,5.67,38545,266,6,17,0.76,1.54,4.0,10.0,13.0,,,12.0,40.0,4.0,,,,,,,,,,,,
15,0.0,3.0,Matheus Ferraz Pereira,3,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,28,matheus-ferraz,M. Ferraz,Matheus Ferraz,Fluminense,1.11,38632,266,5,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,-0.1,5.48,Filipe Luís Kasmirski,2,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,28,filipe-luis,F. Luís,Filipe Luís,Flamengo,0.2,38750,262,2,8,-1.08,3.08,1.0,16.0,4.0,,2.0,7.0,25.0,1.0,,,,,,,,,,,,
17,2.5,8.08,Mariano Ferreira Filho,2,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,28,mariano,Mariano,Mariano,Atlético-MG,2.47,38877,282,6,18,0.25,4.43,5.0,44.0,15.0,,1.0,11.0,149.0,8.0,1.0,,,,,,,,,,,
18,-0.9,3.22,Diego Ribas da Cunha,4,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,28,diego,Diego,Diego,Flamengo,-0.53,38909,262,6,15,-0.59,1.78,2.0,16.0,13.0,1.0,2.0,14.0,43.0,,,1.0,,,,,,,,,,
19,5.9,19.14,Givanildo Vieira de Souza,5,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,28,hulk,Hulk,Hulk,Atlético-MG,5.74,39148,282,7,22,-1.97,6.56,5.0,10.0,32.0,14.0,32.0,52.0,141.0,,2.0,9.0,14.0,4.0,,,,,,,,
20,0.0,3.88,José Renato da Silva Júnior,4,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,28,renato,Renato,Renato,Avaí,3.17,39572,314,6,10,0.0,2.25,1.0,11.0,7.0,3.0,5.0,20.0,50.0,,,,2.0,,,,,,,,,
21,2.06,7.81,Vagner Carmo Mancini,6,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,28,vagner-mancini,V. Mancini,Vagner Mancini,América-MG,2.0,39850,327,7,27,-0.87,4.08,,,,,,,,,,,,,,,,,,,,
