,atletas.preco_num,atletas.jogos_num,atletas.apelido,atletas.clube_id,atletas.status_id,atletas.nome,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.pontos_num,atletas.posicao_id,atletas.foto,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,PC,PI,SG,DE,GS,CV,FT,G,I,PP,PS,DP,GC
0,11.07,6,Guto Ferreira,294,7,Augusto Sérgio Ferreira,37245,guto-ferreira,G. Ferreira,0.0,6,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,0.0,29,4.68,Coritiba,,,,,,,,,,,,,,,,,,,,,
1,10.35,26,Mano Menezes,285,7,Luis Antônio Venker de Menezes,37281,mano-menezes,M. Menezes,7.17,6,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,0.56,29,5.15,Internacional,,,,,,,,,,,,,,,,,,,,,
2,9.77,29,Fábio,266,7,Fábio Deivson Lopes Maciel,37656,fabio,Fábio,1.0,1,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,-0.95,29,3.16,Fluminense,,,2.0,,,,,3.0,,,9.0,80.0,33.0,,,,,,,,
3,4.64,12,Marcelo Boeck,356,6,Marcelo Boeck,37788,marcelo-boeck,M. Boeck,0.0,1,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,0.0,29,2.87,Fortaleza,,,2.0,,,,,3.0,1.0,,3.0,38.0,17.0,,,,,,,,
4,5.0,0,Júlio César,280,6,Júlio César de Souza Santos,38133,julio-cesar,J. César,0.0,1,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,0.0,29,0.0,Bragantino,,,,,,,,,,,,,,,,,,,,,
5,4.06,9,Jô,354,7,João Alves de Assis Silva,38138,jo,Jô,-2.4,5,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,-0.6,29,2.0,Ceará,,,2.0,3.0,10.0,5.0,4.0,8.0,,25.0,,,,1.0,,2.0,3.0,1.0,,,
6,6.03,12,Miranda,276,6,João Miranda de Souza Filho,38141,miranda,Miranda,0.0,3,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,0.0,29,3.38,São Paulo,,,3.0,20.0,13.0,1.0,2.0,7.0,,30.0,4.0,,,,,,,,,,
7,9.13,23,Rafinha,276,7,Márcio Rafael Ferreira de Souza,38144,rafinha,Rafinha,0.0,2,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,0.0,29,3.06,São Paulo,,3.0,5.0,38.0,23.0,,1.0,18.0,,133.0,5.0,,,,,,,,,,
8,9.3,21,Muriqui,314,7,Luiz Guilherme da Conceição Silva,38225,muriqui,Muriqui,2.6,5,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,0.0,29,3.44,Avaí,,1.0,2.0,19.0,13.0,1.0,10.0,26.0,,72.0,,,,,1.0,4.0,6.0,,1.0,,
9,6.95,16,Fábio Santos,264,6,Fábio Santos Romeu,38229,fabio-santos,F. Santos,0.0,2,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,0.0,29,4.9,Corinthians,,,1.0,24.0,9.0,,,9.0,,101.0,7.0,,,,,3.0,,,,,
10,4.16,11,Wellington Paulista,327,6,Wellington Pereira do Nascimento,38279,wellington-paulista,W. Paulista,0.0,5,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,0.0,29,0.45,América-MG,,,1.0,1.0,7.0,1.0,3.0,5.0,,20.0,,,,,1.0,,3.0,,,,
11,6.6,7,Thiago Heleno,293,6,Thiago Heleno Henrique Ferreira,38394,thiago-heleno,T. Heleno,5.8,3,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,0.72,29,1.84,Athlético-PR,,,2.0,8.0,6.0,1.0,2.0,4.0,,37.0,2.0,,,,,,,1.0,,,
12,8.47,19,Renato Augusto,264,6,Renato Soares de Oliveira Augusto,38398,renato-augusto,R. Augusto,12.5,4,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,1.65,29,3.5,Corinthians,,3.0,,29.0,11.0,7.0,9.0,19.0,,130.0,,,,,,1.0,1.0,,,,
13,6.31,3,Diego Alves,262,6,Diego Alves Carreira,38509,diego-alves,D. Alves,0.0,1,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,0.0,29,1.0,Flamengo,,,,,,,,,,,1.0,3.0,5.0,,,,,,,,
