,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.nome,atletas.atleta_id,atletas.foto,atletas.status_id,atletas.media_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,PC,PI,SG,DE,GS,GC,FT,G,I,PP,CV,PS,DP
0,,-0.58,6,294,7,Guto Ferreira,guto-ferreira,Augusto Sérgio Ferreira,37245,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,7,4.35,30,G. Ferreira,Coritiba,2.35,10.49,,,,,,,,,,,,,,,,,,,,
1,,0.03,6,285,27,Mano Menezes,mano-menezes,Luis Antônio Venker de Menezes,37281,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,7,5.19,30,M. Menezes,Internacional,6.33,10.38,,,,,,,,,,,,,,,,,,,,
2,,0.35,1,266,30,Fábio,fabio,Fábio Deivson Lopes Maciel,37656,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,7,3.15,30,Fábio,Fluminense,3.0,10.12,,2.0,,,,,3.0,,,9.0,86.0,36.0,,,,,,,,
3,,0.0,1,356,12,Marcelo Boeck,marcelo-boeck,Marcelo Boeck,37788,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,6,2.87,30,M. Boeck,Fortaleza,0.0,4.64,,2.0,,,,,3.0,1.0,,3.0,38.0,17.0,,,,,,,,
4,,0.0,1,280,0,Júlio César,julio-cesar,Júlio César de Souza Santos,38133,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,6,0.0,30,J. César,Bragantino,0.0,5.0,,,,,,,,,,,,,,,,,,,,
5,,0.53,5,354,10,Jô,jo,João Alves de Assis Silva,38138,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,7,1.91,30,Jô,Ceará,1.1,4.59,,2.0,3.0,10.0,6.0,4.0,9.0,,30.0,,,,,,2.0,4.0,1.0,1.0,,
6,,0.45,3,276,13,Miranda,miranda,João Miranda de Souza Filho,38141,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,6,3.43,30,Miranda,São Paulo,4.0,6.48,,4.0,23.0,13.0,2.0,2.0,8.0,,33.0,4.0,,,,,,,,,,
7,,-0.65,2,276,24,Rafinha,rafinha,Márcio Rafael Ferreira de Souza,38144,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,2,2.99,30,Rafinha,São Paulo,1.3,8.48,3.0,5.0,40.0,25.0,,1.0,18.0,,138.0,5.0,,,,,,,,,,
8,,-0.44,5,314,22,Muriqui,muriqui,Luiz Guilherme da Conceição Silva,38225,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,7,3.27,30,Muriqui,Avaí,-0.3,8.86,1.0,2.0,19.0,13.0,1.0,10.0,26.0,,75.0,,,,,1.0,4.0,6.0,,,1.0,
9,,0.0,2,264,16,Fábio Santos,fabio-santos,Fábio Santos Romeu,38229,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,6,4.9,30,F. Santos,Corinthians,0.0,6.95,,1.0,24.0,9.0,,,9.0,,101.0,7.0,,,,,3.0,,,,,
10,,-0.23,5,327,12,Wellington Paulista,wellington-paulista,Wellington Pereira do Nascimento,38279,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,6,0.43,30,W. Paulista,América-MG,0.2,3.93,,1.0,1.0,8.0,1.0,3.0,6.0,,20.0,,,,,1.0,,3.0,,,,
11,,-0.57,3,293,8,Thiago Heleno,thiago-heleno,Thiago Heleno Henrique Ferreira,38394,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,3,1.82,30,T. Heleno,Athlético-PR,1.7,6.03,,3.0,10.0,8.0,1.0,5.0,4.0,,52.0,2.0,,,,,,,1.0,,,
12,,0.0,4,264,19,Renato Augusto,renato-augusto,Renato Soares de Oliveira Augusto,38398,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,6,3.5,30,R. Augusto,Corinthians,0.0,8.47,3.0,,29.0,11.0,7.0,9.0,19.0,,130.0,,,,,,1.0,1.0,,,,
13,,0.0,1,262,3,Diego Alves,diego-alves,Diego Alves Carreira,38509,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,6,1.0,30,D. Alves,Flamengo,0.0,6.31,,,,,,,,,,1.0,3.0,5.0,,,,,,,,
14,,0.2,3,266,19,Felipe Melo,felipe-melo,Felipe Melo de Carvalho,38545,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,6,1.24,30,F. Melo,Fluminense,-0.5,5.51,,5.0,10.0,15.0,,,12.0,,49.0,4.0,,,,,,,,,,
15,,0.0,3,266,0,Matheus Ferraz,matheus-ferraz,Matheus Ferraz Pereira,38632,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,5,0.0,30,M. Ferraz,Fluminense,0.0,3.0,,,,,,,,,,,,,,,,,,,,
16,,1.0,2,262,9,Filipe Luís,filipe-luis,Filipe Luís Kasmirski,38750,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,6,3.37,30,F. Luís,Flamengo,5.7,6.48,,1.0,17.0,4.0,,2.0,8.0,,35.0,2.0,,,,,,,,,,
17,,0.0,2,282,19,Mariano,mariano,Mariano Ferreira Filho,38877,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,5,4.58,30,Mariano,Atlético-MG,0.0,8.99,1.0,5.0,46.0,15.0,,1.0,11.0,,150.0,9.0,,,,,,,,,,
18,,0.0,4,262,15,Diego,diego,Diego Ribas da Cunha,38909,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,2,1.78,30,Diego,Flamengo,0.0,3.22,,2.0,16.0,13.0,1.0,2.0,14.0,,43.0,,,,,,1.0,,,,,
19,,-1.61,5,282,24,Hulk,hulk,Givanildo Vieira de Souza,39148,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,7,7.22,30,Hulk,Atlético-MG,8.4,20.27,2.0,5.0,11.0,34.0,16.0,34.0,57.0,,160.0,,,,,4.0,12.0,15.0,,,,
20,,0.0,4,314,10,Renato,renato,José Renato da Silva Júnior,39572,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,6,2.25,30,Renato,Avaí,0.0,3.88,,1.0,11.0,7.0,3.0,5.0,20.0,,50.0,,,,,,,2.0,,,,
21,,-0.16,6,327,29,Vagner Mancini,vagner-mancini,Vagner Carmo Mancini,39850,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,7,4.05,30,V. Mancini,América-MG,2.83,8.12,,,,,,,,,,,,,,,,,,,,
22,,-0.2,6,262,29,Dorival Júnior,dorival-junior,Dorival Silvestre Júnior,40990,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,7,4.97,30,D. Júnior,Flamengo,4.85,9.91,,,,,,,,,,,,,,,,,,,,
23,,0.4,5,266,26,Willian,willian,Willian Gomes de Siqueira,42116,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,6,1.61,30,Willian,Fluminense,2.4,4.27,1.0,2.0,10.0,8.0,5.0,,3.0,,19.0,,,,,,3.0,2.0,,,,
24,,-0.91,2,294,17,Egídio,egidio,Egídio de Araújo Pereira Júnior,42145,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,6,4.09,30,Egídio,Coritiba,-0.8,11.75,2.0,1.0,31.0,12.0,7.0,3.0,17.0,1.0,162.0,4.0,,,,,1.0,2.0,,1.0,,
25,,0.0,1,264,25,Cássio,cassio,Cássio Roberto Ramos,42234,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,6,4.94,30,Cássio,Corinthians,0.0,12.61,,,1.0,,,,2.0,,,11.0,85.0,19.0,,,,,,,,
26,,-0.5,6,282,10,Cuca,cuca,Alexi Stival,42411,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,7,4.65,30,Cuca,Atlético-MG,3.58,11.07,,,,,,,,,,,,,,,,,,,,
27,,0.0,2,264,10,Fagner,fagner,Fagner Conserva Lemos,42500,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,6,3.55,30,Fagner,Corinthians,0.0,9.77,1.0,1.0,16.0,4.0,,,4.0,,84.0,4.0,,,,,,1.0,,,,
28,,-0.54,6,293,25,Luiz Felipe Scolari,luiz-felipe-scolari,Luiz Felipe Scolari,43618,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,7,4.43,30,L. Scolari,Athlético-PR,2.54,9.58,,,,,,,,,,,,,,,,,,,,
29,,0.0,3,266,9,David Braz,david-braz,David Braz de Oliveira Filho,50317,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,6,1.01,30,D. Braz,Fluminense,0.0,4.07,,2.0,9.0,10.0,1.0,4.0,2.0,,32.0,2.0,,,,,,,,3.0,,
30,,-0.32,5,282,8,Alan Kardec,alan-kardec,Alan Kardec de Sousa Pereira Júnior,50347,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,6,3.03,30,A. Kardec,Atlético-MG,-0.5,6.85,,,1.0,6.0,2.0,4.0,2.0,,8.0,,,,,1.0,2.0,,,,,
31,,-0.44,3,356,26,Titi,titi,Christian Chagas Tarouco,50353,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,7,3.29,30,Titi,Fortaleza,2.3,6.11,,2.0,35.0,34.0,,2.0,21.0,,109.0,11.0,,,,,,2.0,,,,
32,,0.0,5,354,5,Dentinho,dentinho,Bruno Ferreira Bonfim,50428,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,6,0.36,30,Dentinho,Ceará,0.0,3.31,,,3.0,5.0,,,,,2.0,,,,,,,1.0,,,,
33,,0.0,2,327,0,Eduardo,eduardo,Carlos Eduardo Santos Oliveira,50645,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,6,0.0,30,Eduardo,América-MG,0.0,4.0,,,,,,,,,,,,,,,,,,,,
34,,0.0,3,294,16,Henrique,henrique,Henrique Adriano Buss,50856,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,6,1.73,30,Henrique,Coritiba,0.0,5.07,,4.0,18.0,12.0,3.0,6.0,4.0,2.0,66.0,3.0,,,1.0,1.0,,1.0,,1.0,,
35,,0.0,4,293,6,Marlos,marlos,Marlos Romero Bonfim,50879,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,6,0.48,30,Marlos,Athlético-PR,0.0,3.15,,,2.0,1.0,1.0,,2.0,,14.0,,,,,,,,,,,
36,,0.0,4,290,14,Apodi,apodi,Luiz Diallison de Souza Alves,51042,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,6,2.35,30,Apodi,Goiás,0.0,5.58,1.0,2.0,13.0,18.0,3.0,4.0,14.0,,30.0,,,,,,1.0,1.0,,,1.0,
37,,0.0,1,1371,23,Walter,walter,Walter Leandro Capeloza Artune,51413,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,5,3.92,30,Walter,Cuiabá,0.0,11.76,,,3.0,,,,3.0,,,6.0,76.0,21.0,,,,,,,,
38,,0.0,4,264,23,Giuliano,giuliano,Giuliano Victor de Paula,51548,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,7,1.56,30,Giuliano,Corinthians,0.0,4.77,2.0,2.0,19.0,13.0,2.0,9.0,12.0,,65.0,,,,,,,2.0,,,,
39,,-0.12,4,262,27,Everton Ribeiro,everton-ribeiro,Everton Augusto de Barros Ribeiro,51772,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,6,4.07,30,E. Ribeiro,Flamengo,3.5,9.08,4.0,,41.0,26.0,10.0,5.0,53.0,,161.0,,,,,2.0,2.0,1.0,,,,
40,,-0.85,3,282,11,Réver,rever,Réver Humberto Alves Araújo,52253,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,6,2.56,30,Réver,Atlético-MG,0.0,4.29,,1.0,8.0,6.0,,1.0,4.0,1.0,34.0,3.0,,,,,1.0,,,,,
41,,0.68,3,262,16,David Luiz,david-luiz,David Luiz Moreira Marinho,52827,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,6,1.41,30,D. Luiz,Flamengo,4.0,4.83,,4.0,12.0,23.0,5.0,3.0,4.0,,61.0,3.0,,,,,,2.0,,,,
42,,0.24,5,294,20,Léo Gamalho,leo-gamalho,Leonardo Gamalho de Souza,53865,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,6,4.35,30,L. Gamalho,Coritiba,1.1,12.34,,,6.0,17.0,8.0,9.0,28.0,,55.0,,,,,1.0,7.0,5.0,,,1.0,
