,atletas.status_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.preco_num,atletas.apelido,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.foto,atletas.nome,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PI,PS,SG,FT,PP,CV,PC,DE,DP,GS,GC
0,7,G. Ferreira,6,294,37245,10.88,Guto Ferreira,31,,0.39,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Augusto Sérgio Ferreira,8,guto-ferreira,4.41,Coritiba,4.81,,,,,,,,,,,,,,,,,,,,
1,7,M. Menezes,6,285,37281,10.44,Mano Menezes,31,,0.06,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,Luis Antônio Venker de Menezes,28,mano-menezes,5.23,Internacional,6.45,,,,,,,,,,,,,,,,,,,,
2,7,Fábio,1,266,37656,10.25,Fábio,31,,0.13,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Fábio Deivson Lopes Maciel,31,fabio,3.18,Fluminense,4.0,,2.0,,,,,3.0,,,,,9.0,,,,,92.0,,38.0,
3,6,M. Boeck,1,356,37788,4.64,Marcelo Boeck,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,Marcelo Boeck,12,marcelo-boeck,2.87,Fortaleza,0.0,,2.0,,,,,3.0,,,,,3.0,,,,1.0,38.0,,17.0,
4,6,J. César,1,280,38133,5.0,Júlio César,31,,0.0,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,Júlio César de Souza Santos,0,julio-cesar,0.0,Bragantino,0.0,,,,,,,,,,,,,,,,,,,,
5,7,Jô,5,354,38138,4.73,Jô,31,,0.14,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,João Alves de Assis Silva,11,jo,1.93,Ceará,2.1,,2.0,3.0,10.0,7.0,5.0,10.0,2.0,4.0,34.0,,,,1.0,1.0,,,,,
6,7,Miranda,3,276,38141,5.92,Miranda,31,,-0.56,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,João Miranda de Souza Filho,14,miranda,3.23,São Paulo,0.6,,4.0,24.0,14.0,2.0,2.0,8.0,,,36.0,,4.0,,,,,,,,
7,3,Rafinha,2,276,38144,8.17,Rafinha,31,,-0.31,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Márcio Rafael Ferreira de Souza,25,rafinha,2.87,São Paulo,-0.1,3.0,6.0,42.0,26.0,,1.0,18.0,,,150.0,,5.0,,,,,,,,
8,6,Muriqui,5,314,38225,8.86,Muriqui,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,Luiz Guilherme da Conceição Silva,22,muriqui,3.27,Avaí,0.0,1.0,2.0,19.0,13.0,1.0,10.0,26.0,4.0,6.0,75.0,1.0,,1.0,,,,,,,
9,6,F. Santos,2,264,38229,6.95,Fábio Santos,31,,0.0,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,Fábio Santos Romeu,16,fabio-santos,4.9,Corinthians,0.0,,1.0,24.0,9.0,,,9.0,3.0,,101.0,,7.0,,,,,,,,
